name,type,article,issue,context
bad infinity,concept,"Franchise Everything! / Bad Infinity: Hollywood Macrofranchises and the Macroeconomy",79.2,"Hegelian/Marxian incompletable infinitude applied to franchise overproduction and the macroeconomy"
macrofranchise,concept,"Bad Infinity: Hollywood Macrofranchises and the Macroeconomy",79.2,"Connor's industrial-economic category for Hollywood's interconnected franchise systems"
parcelamento,concept,"On the Next Installment: The Brazilian Film Franchise and the Art of Parcelamento",79.2,"Brazilian installment ('parceling') logic as analytic for non-Hollywood franchise form"
must-see blackness,concept,"Must-See Blackness",79.2,"Martin's coinage: Black fans' civic-duty consumption of blackness across media forms"
industrial forgetting,concept,"Hierarchies of Value: Female Film Franchises and Industrial Forgetting",79.2,"cycles of forgetting/remembering women's franchises within Conglomerate Hollywood"
Conglomerate Hollywood,concept,"Hierarchies of Value: Female Film Franchises and Industrial Forgetting",79.2,"industry-studies framework read through a gendered lens"
shared universe,concept,"When Stars Align: The Shared Universes of Hindi Franchise Cinema",79.2,"Hindi shared cinematic universe (YRF Spy Universe) historicized within Indian franchises"
media mix,concept,"Anime Franchising in Japan: Animation and the Diversity of Media Mix Practice",79.2,"Japanese transmedia franchising practice (media mix) aligned with wider franchise theory"
Thomas Pynchon,theorist,"Infrastructures of Escape: One Battle After Another",79.3,"Vineland (1990) as source-text; Anderson thinks 'alongside' Pynchon the comic antifascist fabulist"
Paul Thomas Anderson,theorist,"Infrastructures of Escape: One Battle After Another",79.3,"director whose film is read as a riff/reading of Pynchon's antifascism (filmmaker as case study)"
fascism / antifascism,concept,"Infrastructures of Escape: One Battle After Another",79.3,"central frame: 'fascism' as apt name for the carceral, racist security state turning inward"
the sociopathic antipathy to the human,concept,"Infrastructures of Escape: One Battle After Another",79.3,"Coviello's own coined phrase for the logic of the amassed forces of security"
collective endeavor / solidarity,concept,"Infrastructures of Escape: One Battle After Another",79.3,"affirmative counter-frame: ordinary people in countermobilization against state violence"
analog horror,concept,"The Surprising Folklore of Analog Horror",79.3,"named subgenre: digitally fabricated analog-video aesthetics circulated free on YouTube"
folklore,concept,"The Surprising Folklore of Analog Horror",79.3,"folk/fairy-story functions (reinforcing norms, articulating preoccupations) surviving in analog horror"
uncanny nostalgia,concept,"The Surprising Folklore of Analog Horror",79.3,"characteristic tone of dark/uncanny nostalgia produced by anachronistic media aesthetics"
habitation,concept,"City of Many Worlds: Habitation as Storytelling Device",79.3,"architectural concept of habitation used to analyze how lived city space drives plot/characterization"
animality,concept,"Yugoslav Horror Cinema: Animality and Existential Fear",79.3,"animality as analytic for The She-Butterfly and The Rat Savior (named in title/abstract)"
existential fear,concept,"Yugoslav Horror Cinema: Animality and Existential Fear",79.3,"existential fear as the affective frame of Kadijevic's and Papic's horror films"
crimesploitation,concept,"Predators: Prestige Documentary Meets Crimesploitation Television",79.3,"reality-based crimesploitation contrasted with prestige documentary form"
the witch,concept,"The New Witch Triad of Longlegs, Bring Her Back, and Weapons",79.3,"the witch/witch-film as organizing genre category across three 2025 horror films"
Pierre Bourdieu,theorist,"Review: Man of Taste: The Erotic Cinema of Radley Metzger, by Rob King",79.3,"reviewed book framed via Bourdieu's theory of taste/distinction ('Bourdieu meets Boogie Nights')"
taste / distinction,concept,"Review: Man of Taste: The Erotic Cinema of Radley Metzger, by Rob King",79.3,"Bourdieusian taste and class distinction as the reviewed book's analytic"
modernization theory,concept,"Review: The Development Film in the Americas, by Molly Geidel",79.3,"reviewed book centers the 'development film' and capitalist modernization"
