name,type,article,issue,context
Foucauldian discourse analysis,concept,Movies under the Influence: A Conversation with Jocelyn Szczepaniak-Gillece,78.1,"Method of reading between the lines of trade papers to uncover discursive practices around substance use"
psychoactive cinema,concept,Movies under the Influence: A Conversation with Jocelyn Szczepaniak-Gillece,78.1,"Films theorized as capable of intoxicating/influencing viewers like substances, requiring regulation"
intoxicated spectator,concept,Movies under the Influence: A Conversation with Jocelyn Szczepaniak-Gillece,78.1,"Intellectual history of ""the idea of the intoxicated spectator"" rather than actual intoxicated viewers"
matrilineal kinship,concept,"A Path into Filmmaking, the Cayuga Language, and Fancy Dance: An Interview with Erica Tremblay",78.1,"Cayuga matrilineal system embedded in language (e.g. ""little mother"") shaping the film's kinship structure"
language revitalization,concept,"A Path into Filmmaking, the Cayuga Language, and Fancy Dance: An Interview with Erica Tremblay",78.1,"Filmmaking as a tool of Indigenous (Cayuga) language revitalization for a near-extinct language"
two-spirit,concept,"A Path into Filmmaking, the Cayuga Language, and Fancy Dance: An Interview with Erica Tremblay",78.1,"Jax described as a two-spirit / queer Native character central to the film's representation"
settler colonialism,concept,"A Path into Filmmaking, the Cayuga Language, and Fancy Dance: An Interview with Erica Tremblay",78.1,"Critique of persisting settler/colonial institutions, white-savior complex and ""poverty porn"" representation"
Stanley Cavell,theorist,Suspicious Minds and Dead Bodies: Queer Romance and Skepticism in Rose Glass's Love Lies Bleeding,78.2,"Central interlocutor; comedies of remarriage, skepticism and acknowledgment applied to a queer couple"
comedy of remarriage,concept,Suspicious Minds and Dead Bodies: Queer Romance and Skepticism in Rose Glass's Love Lies Bleeding,78.2,"Cavell's genre of couples overcoming doubt through conversation; tested via Love Lies Bleeding's central couple"
skepticism (acknowledgment),concept,Suspicious Minds and Dead Bodies: Queer Romance and Skepticism in Rose Glass's Love Lies Bleeding,78.2,"Cavellian skeptical doubt and mutual acknowledgment reframed around love, desire and conflict between two women"
Brian R. Jacobson,theorist,Evil Does Not Exist: Downstream Environmental Form,78.2,"Proposes ""the downstream"" as a formal approach to environmental criticism reading Hamaguchi's film"
the downstream,concept,Evil Does Not Exist: Downstream Environmental Form,78.2,"Jacobson's named formal/environmental concept for tracing downstream effects of human action and ecological precarity"
environmental form,concept,Evil Does Not Exist: Downstream Environmental Form,78.2,"Formal environmental criticism turning an ecological parable into aesthetic ambiguity and disorientation"
Pema Chodron,theorist,No Bad Parts: Forms of Self-Compassion in Inside Out 2,78.2,"Cited for the Tibetan Buddhist concept of shenpa / egoic overattachment underlying the film"
Gabor Mate,theorist,No Bad Parts: Forms of Self-Compassion in Inside Out 2,78.2,"Holistic-medicine framework (The Myth of Normal) on authenticity vs belonging and ""compassionate inquiry"""
Richard Schwartz,theorist,No Bad Parts: Forms of Self-Compassion in Inside Out 2,78.2,"Psychologist; creator of the Internal Family Systems (IFS) model of ""parts"" the film visually translates"
Walter Benjamin,theorist,No Bad Parts: Forms of Self-Compassion in Inside Out 2,78.2,"Cited (notes on Mickey Mouse) for film theory's reading of animation's liberatory potential against modernity"
Sergei Eisenstein,theorist,No Bad Parts: Forms of Self-Compassion in Inside Out 2,78.2,"Cited for celebration of the anarchic kinetic potential of Disney's Silly Symphonies"
shenpa,concept,No Bad Parts: Forms of Self-Compassion in Inside Out 2,78.2,"Tibetan Buddhist concept of egoic overattachment to outcomes, one of three frameworks synthesized by the film"
internal family systems (IFS),concept,No Bad Parts: Forms of Self-Compassion in Inside Out 2,78.2,"Schwartz's multiplicitous ""parts"" model of the psyche that the film literalizes through emotion avatars"
compassionate inquiry,concept,No Bad Parts: Forms of Self-Compassion in Inside Out 2,78.2,"Mate's curious, nonpathologizing attention to the origins of feelings and attachments"
the protector,concept,No Bad Parts: Forms of Self-Compassion in Inside Out 2,78.2,"IFS term for a psychic part that defends the self but overperforms, mapped onto Joy/Anxiety"
David Cronenberg,theorist,Life-Affirming Horror and the Films of Jane Schoenbrun,78.2,"Cited for the Videodrome theory that media technologies terrify by revealing new potentialities of being human (the New Flesh)"
Samuel Veissiere,theorist,Life-Affirming Horror and the Films of Jane Schoenbrun,78.2,"Psychiatry professor cited on ""tulpamancers"" and the tulpa as functional rather than psychotic"
Eliza Steinbock,theorist,Life-Affirming Horror and the Films of Jane Schoenbrun,78.2,"Trans cinema theorist; co-author of cinematic/trans*/bodies framing of trans* as prepositional"
Cael M. Keegan,theorist,Life-Affirming Horror and the Films of Jane Schoenbrun,78.2,"Co-author cited on trans* as a speculative prepositional element (over, across, beyond)"
Laura Horak,theorist,Life-Affirming Horror and the Films of Jane Schoenbrun,78.2,"Co-author of the cited cinematic/trans*/bodies framework used to read Owen's gender incongruity"
tulpa,concept,Life-Affirming Horror and the Films of Jane Schoenbrun,78.2,"Autonomous consciousness within a creator's body; Slenderman fandom example of horror as coping mechanism"
the New Flesh,concept,Life-Affirming Horror and the Films of Jane Schoenbrun,78.2,"Cronenberg's notion (Videodrome) of media-tissue merger, evoked by Owen's televisual self-revelation"
egg-crack,concept,Life-Affirming Horror and the Films of Jane Schoenbrun,78.2,"Fandom term for the moment a person realizes they are trans, applied to I Saw the TV Glow"
cisheteropatriarchy,concept,Life-Affirming Horror and the Films of Jane Schoenbrun,78.2,"The structural violence the films figure through horror media (asphyxiation/closet metaphors)"
Julia Kristeva,theorist,Editor's Notebook,78.2,"Cited from Powers of Horror on the abject and ""bedazzlement""; abjection used as a lens on the body politic of 2024 cinema"
Eliza Steinbock,theorist,Editor's Notebook,78.2,"Cited for the theory of ""the shimmer"" as a way of locating I Saw the TV Glow's glow"
Ben Walters,theorist,Editor's Notebook,78.2,"Cited for the concept of ""homemade mutant hope machines"" from his study of the collective Duckie"
Seung-hoon Jeong,theorist,Editor's Notebook,78.2,"Referenced (via Rossouw's review) for the theory that cinema can ""shed light on abject lives"" / biopolitical ethics"
abjection,concept,Editor's Notebook,78.2,"Kristeva's concept threaded through the issue as a collective study of the abject body and body politic"
the shimmer,concept,Editor's Notebook,78.2,"Steinbock's theory invoked alongside Kristeva's ""bedazzlement"" to describe trans cinematic visuality"
homemade mutant hope machines,concept,Editor's Notebook,78.2,"Walters's concept of queer performance as futurity-making, informing the editor's thinking about hope"
biopolitical ethics,concept,Editor's Notebook,78.2,"Jeong's framework (via the book review) on cinema, biopolitics and abject lives"
ger toshav / nonbinary inheritance,concept,A Conversation with Sandi DuBowski,78.2,"""Resident outsider"" category and a nonbinary/nonlinear frame for hybridity, interfaith identity and Jewish tradition"
Shekhinah,concept,A Conversation with Sandi DuBowski,78.2,"Kabbalistic divine female presence revived by Jewish feminists to challenge patriarchal theology, anchoring the film"
Patricia Highsmith,theorist,The Untalented Mr. Ripley,78.2,"Highsmith's 1955 novel and amoral hustler figure used as the analytic touchstone for the deglamorized Netflix Ripley"
