OldTrueMajor,NewMajorNo,NewMajorName,NewSub,Action,Note
"IV. Constitutional Theory & Public Law",5,"Constitutional Theory & Public Law","A. Constitutionalism, Judicial Review & Rights",DEDUP,"Constitutionalism; duplicate of IV"
"X. Constitutional Interpretation Theories",5,"Constitutional Theory & Public Law","B. Constitutional Interpretation (Originalism/Textualism/Living)",MERGE,"Originalism/Textualism/Living/Activism"
"XI. Administrative Law Theories",5,"Constitutional Theory & Public Law","C. Administrative Law & Public Governance",MERGE,"Delegation Doctrine/Agency Discretion"
"XLVIII. Law and Global Governance",5,"Constitutional Theory & Public Law","C. Administrative Law & Public Governance",MERGE,"Global Administrative Law; high-num singleton"
"V. International Law Theories",6,"International & Human Rights Law","A. International Law Theory (Positivism/Realism/TWAIL)",MERGE,"Intl Positivism/Sovereignty/Realism/TWAIL"
"XVIII. Human Rights Law Theories",6,"International & Human Rights Law","B. Human Rights Theory (Universalism/Indivisibility)",MERGE,"Universalism vs Relativism/Indivisibility"
"LXVI. Law and Human Rights (Cultural Relativism)",6,"International & Human Rights Law","B. Human Rights Theory (Universalism/Indivisibility)",MERGE,"Cultural Relativism in HR Law; high-num singleton"
"XCIX. Law and Global Governance (Human Rights)",6,"International & Human Rights Law","B. Human Rights Theory (Universalism/Indivisibility)",MERGE,"Human Rights Governance; high-num singleton"
"XXII. Global Justice Theories (Legal)",6,"International & Human Rights Law","C. Global Justice, Constitutionalism & Development",MERGE,"Global Distributive Justice (Legal)"
"LVII. Law and Global Justice",6,"International & Human Rights Law","C. Global Justice, Constitutionalism & Development",MERGE,"Global Constitutionalism; high-num singleton"
"LIX. Law and Development",6,"International & Human Rights Law","C. Global Justice, Constitutionalism & Development",MERGE,"Law and Development (Critical Theory)"
"XC. Law and Global Supply Chains",6,"International & Human Rights Law","C. Global Justice, Constitutionalism & Development",MERGE,"Global Supply Chain Law; high-num singleton"
"XII. Criminal Law Theories",7,"Criminal Law, Punishment & Restorative Justice","A. Punishment Theory (Retribution/Deterrence/Rehabilitation)",MERGE,"Retributive/Deterrence/Rehabilitative/Restorative"
"XIX. Transitional Justice Theories",7,"Criminal Law, Punishment & Restorative Justice","B. Restorative & Transitional Justice",MERGE,"Transitional Justice/Justice vs Peace"
"XXVII. Restorative Justice (Advanced)",7,"Criminal Law, Punishment & Restorative Justice","B. Restorative & Transitional Justice",MERGE,"Transformative Justice Theory"
"XLI. Law and Social Justice",7,"Criminal Law, Punishment & Restorative Justice","B. Restorative & Transitional Justice",MERGE,"Transformative Justice (Legal); high-num singleton"
"LXXXIV. Law and Narrative (Criminal Justice)",7,"Criminal Law, Punishment & Restorative Justice","C. Criminal Justice, Forensics & Neuroscience",MERGE,"Narrative in Criminal Justice; high-num singleton"
"XCVI. Law and Neuroscience (Criminal Justice)",7,"Criminal Law, Punishment & Restorative Justice","C. Criminal Justice, Forensics & Neuroscience",MERGE,"Criminal Neuroscience; high-num singleton"
"LXXX. Law and Human Development (Juvenile Justice)",7,"Criminal Law, Punishment & Restorative Justice","C. Criminal Justice, Forensics & Neuroscience",MERGE,"Developmental Psych in Juvenile Justice; high-num singleton"
"XIII. Tort Law Theories",8,"Private Law (Torts, Contracts, Property)","A. Tort Theory (Corrective/Distributive Justice)",MERGE,"Corrective Justice/Distributive Justice (Tort)"
"XV. Contract Law Theories",8,"Private Law (Torts, Contracts, Property)","B. Contract Theory (Will/Reliance)",MERGE,"Will Theory/Reliance Theory of Contract"
"XIV. Property Law Theories",8,"Private Law (Torts, Contracts, Property)","C. Property Theory & The Commons",MERGE,"Labor/Utilitarian/Tragedy of Commons"
"LXXXVI. Law and the Commons",8,"Private Law (Torts, Contracts, Property)","C. Property Theory & The Commons",MERGE,"Commons Governance; high-num singleton"
"VI. Legal History",9,"Legal History & Historical Jurisprudence","A. Historical Jurisprudence & Legal Evolution",MERGE,"Legal Evolutionism/Critical Legal History"
"VI. Legal History & Historical Jurisprudence",9,"Legal History & Historical Jurisprudence","A. Historical Jurisprudence & Legal Evolution",DEDUP,"Historical School of Law; duplicate VI"
"XVI. Legal History",9,"Legal History & Historical Jurisprudence","B. Legal Exceptionalism & Law-in-History",MERGE,"Legal Exceptionalism Theory"
"XVI. Legal History (Specific Approaches)",9,"Legal History & Historical Jurisprudence","B. Legal Exceptionalism & Law-in-History",DEDUP,"Law and Society in History; duplicate XVI"
"XLII. Legal History (Microhistory)",9,"Legal History & Historical Jurisprudence","C. Microhistory, Memory & Legal Geography",MERGE,"Legal Microhistory; high-num singleton"
"LXVII. Law and Memory",9,"Legal History & Historical Jurisprudence","C. Microhistory, Memory & Legal Geography",MERGE,"Law and Collective Memory; high-num singleton"
"XXIX. Legal Geographies",9,"Legal History & Historical Jurisprudence","C. Microhistory, Memory & Legal Geography",MERGE,"Spatial Justice (Legal)"
"XXXIX. Legal Geographies (Advanced)",9,"Legal History & Historical Jurisprudence","C. Microhistory, Memory & Legal Geography",MERGE,"Law and Space Theory"
"LVIII. Law and Urbanism",9,"Legal History & Historical Jurisprudence","C. Microhistory, Memory & Legal Geography",MERGE,"Law and the City; high-num singleton"
"XX. Law and Technology Theories",10,"Digital, Technology & AI Law","A. Cyberlaw & Technology Regulation",MERGE,"Cyberlaw Theory/Regulation of Technology"
"LXXIX. Law and Technology (Ethics)",10,"Digital, Technology & AI Law","A. Cyberlaw & Technology Regulation",MERGE,"Legal Tech Ethics; high-num singleton"
"LXXXVIII. Law and Design",10,"Digital, Technology & AI Law","A. Cyberlaw & Technology Regulation",MERGE,"Legal Design Theory; high-num singleton"
"XLVII. Law and Artificial Intelligence",10,"Digital, Technology & AI Law","B. AI, Algorithms & Automated Decision-Making",MERGE,"AI and Law Theory; high-num singleton"
"LXII. Law and AI Ethics",10,"Digital, Technology & AI Law","B. AI, Algorithms & Automated Decision-Making",MERGE,"AI Ethics (Legal); high-num singleton"
"XXXV. Law and Technology (Algorithms)",10,"Digital, Technology & AI Law","B. AI, Algorithms & Automated Decision-Making",MERGE,"Algorithmic Governance (Legal)"
"LXXIV. Law and Posthumanism (Rights)",10,"Digital, Technology & AI Law","B. AI, Algorithms & Automated Decision-Making",MERGE,"Rights of AI/Robots; high-num singleton"
"LVI. Law and Posthumanism",10,"Digital, Technology & AI Law","B. AI, Algorithms & Automated Decision-Making",MERGE,"Posthuman Law; high-num singleton"
"LXXXIX. Law and Technology (Privacy)",10,"Digital, Technology & AI Law","C. Privacy, Data Governance & Platform Regulation",MERGE,"Privacy by Design; high-num singleton"
"LXI. Law and Data",10,"Digital, Technology & AI Law","C. Privacy, Data Governance & Platform Regulation",MERGE,"Data Governance Theory; high-num singleton"
"XCIII. Law and the Sharing Economy (Regulation)",10,"Digital, Technology & AI Law","C. Privacy, Data Governance & Platform Regulation",MERGE,"Platform Regulation; high-num singleton"
"LXXXII. Law and the Sharing Economy",10,"Digital, Technology & AI Law","C. Privacy, Data Governance & Platform Regulation",MERGE,"Law of Sharing Economy; high-num singleton"
"XCVII. Law and Social Media",10,"Digital, Technology & AI Law","C. Privacy, Data Governance & Platform Regulation",MERGE,"Social Media Law; high-num singleton"
"LIV. Law and Media",10,"Digital, Technology & AI Law","C. Privacy, Data Governance & Platform Regulation",MERGE,"Media Law; high-num singleton"
"LXXXIII. Law and Post-Truth",10,"Digital, Technology & AI Law","C. Privacy, Data Governance & Platform Regulation",MERGE,"Law and Post-Truth; high-num singleton"
"XVII. Environmental Law Theories",11,"Environmental, Climate & Anthropocene Law","A. Environmental Law & Sustainable Development",MERGE,"Ecocentric Legal Theory/Sustainable Development"
"LXX. Law and Environmental Justice",11,"Environmental, Climate & Anthropocene Law","A. Environmental Law & Sustainable Development",MERGE,"Environmental Justice Law; high-num singleton"
"LXXV. Law and Climate Change",11,"Environmental, Climate & Anthropocene Law","B. Climate Change & Climate Justice Law",MERGE,"Climate Change Law; high-num singleton"
"XCVIII. Law and Climate Justice",11,"Environmental, Climate & Anthropocene Law","B. Climate Change & Climate Justice Law",MERGE,"Climate Justice Law; high-num singleton"
"XLV. Law and the Environment (Rights of Nature)",11,"Environmental, Climate & Anthropocene Law","C. Rights of Nature, Anthropocene & Animal Law",MERGE,"Rights of Nature; high-num singleton"
"XCII. Law and the Anthropocene",11,"Environmental, Climate & Anthropocene Law","C. Rights of Nature, Anthropocene & Animal Law",MERGE,"Anthropocene Law; high-num singleton"
"XCIV. Law and Human-Animal Studies",11,"Environmental, Climate & Anthropocene Law","C. Rights of Nature, Anthropocene & Animal Law",MERGE,"Animal Law; high-num singleton"
"IX. Psychology of Law",12,"Law, Psychology, Neuroscience & Emotion","A. Legal & Forensic Psychology",MERGE,"Eyewitness Memory/Forensic Psychology"
"IX. Psychology of Law & Legal Psychology",12,"Law, Psychology, Neuroscience & Emotion","A. Legal & Forensic Psychology",DEDUP,"Behavioral Legal Psychology; duplicate IX"
"LXXI. Law and Political Science (Behavioral)",12,"Law, Psychology, Neuroscience & Emotion","A. Legal & Forensic Psychology",MERGE,"Behavioral Political Science; high-num singleton"
"XXXVIII. Law and Neuroscience",12,"Law, Psychology, Neuroscience & Emotion","B. NeuroLaw & Free Will",MERGE,"NeuroLaw Theory"
"LXXVIII. Law and the Neurosciences",12,"Law, Psychology, Neuroscience & Emotion","B. NeuroLaw & Free Will",MERGE,"Free Will and Law; high-num singleton"
"XLVI. Law and Genetics",12,"Law, Psychology, Neuroscience & Emotion","B. NeuroLaw & Free Will",MERGE,"Genoethics (Law); high-num singleton"
"LXVIII. Law and the Body",12,"Law, Psychology, Neuroscience & Emotion","B. NeuroLaw & Free Will",MERGE,"Corporeal Jurisprudence; high-num singleton"
"XXVIII. Law and Emotion",12,"Law, Psychology, Neuroscience & Emotion","C. Law & Emotion / Affective Jurisprudence",MERGE,"Law and Emotion Theory"
"XLIII. Law and Emotion (Jurisprudence)",12,"Law, Psychology, Neuroscience & Emotion","C. Law & Emotion / Affective Jurisprudence",MERGE,"Affective Jurisprudence; high-num singleton"
"LX. Law and Emotion (Regulation)",12,"Law, Psychology, Neuroscience & Emotion","C. Law & Emotion / Affective Jurisprudence",MERGE,"Regulation of Emotion; high-num singleton"
"LXXVII. Law and Emotion (Procedural Justice)",12,"Law, Psychology, Neuroscience & Emotion","C. Law & Emotion / Affective Jurisprudence",MERGE,"Emotional Justice; high-num singleton"
"XCV. Law and Emotions (Decision-Making)",12,"Law, Psychology, Neuroscience & Emotion","C. Law & Emotion / Affective Jurisprudence",MERGE,"Judicial Emotion; high-num singleton"
"LXXXVII. Law and Behavioral Ethics",12,"Law, Psychology, Neuroscience & Emotion","C. Law & Emotion / Affective Jurisprudence",MERGE,"Behavioral Ethics in Law; high-num singleton"
"XXIV. Law and Social Movements",13,"Law, Social Movements & Narrative","A. Law as a Tool/Site of Struggle",MERGE,"Law as Tool for Change/Site of Struggle"
"XXI. Law and Literature Theories",13,"Law, Social Movements & Narrative","B. Law & Literature / Legal Storytelling",MERGE,"Law as Narrative/Legal Storytelling"
"XXXII. Legal Storytelling (Advanced)",13,"Law, Social Movements & Narrative","B. Law & Literature / Legal Storytelling",MERGE,"Counter-Narratives (Legal)"
"XXXVII. Law and Literature (Narrative)",13,"Law, Social Movements & Narrative","B. Law & Literature / Legal Storytelling",MERGE,"Forensic Narrative Theory"
"LXIII. Law and Complexity Theory",13,"Law, Social Movements & Narrative","C. Legal Complexity & Systems",MERGE,"Law as a Complex System; high-num singleton"
"L. Law and Disaster",14,"Applied & Public-Welfare Law","A. Public Health, Disaster & Global Health Law",MERGE,"Disaster Law; high-num singleton"
"LIII. Law and Public Health",14,"Applied & Public-Welfare Law","A. Public Health, Disaster & Global Health Law",MERGE,"Public Health Law; high-num singleton"
"LXXXI. Law and Global Health",14,"Applied & Public-Welfare Law","A. Public Health, Disaster & Global Health Law",MERGE,"Global Health Law; high-num singleton"
"LI. Law and Poverty",14,"Applied & Public-Welfare Law","B. Poverty, Social Work & Therapeutic Jurisprudence",MERGE,"Poverty Law; high-num singleton"
"LII. Law and Social Work",14,"Applied & Public-Welfare Law","B. Poverty, Social Work & Therapeutic Jurisprudence",MERGE,"Therapeutic Jurisprudence; high-num singleton"
"XCI. Law and Trauma",14,"Applied & Public-Welfare Law","B. Poverty, Social Work & Therapeutic Jurisprudence",MERGE,"Trauma-Informed Legal Practice; high-num singleton"
"LXIX. Law and Migration",14,"Applied & Public-Welfare Law","C. Migration, Childhood & Vulnerable Populations",MERGE,"Migration Law; high-num singleton"
"XLIV. Law and Human Development",14,"Applied & Public-Welfare Law","C. Migration, Childhood & Vulnerable Populations",MERGE,"Law and Childhood Development; high-num singleton"
