OldTrueMajor,NewMajorNo,NewMajorName,NewSub,Action,Note
"XXIX. Memory Studies (Advanced)","VII","Memory & Oral History","A. Collective & Cultural Memory",merge,"Memory politics. Advanced variant merged."
"LXX. History of Memory (Specific Types)","VII","Memory & Oral History","A. Collective & Cultural Memory",merge,"Cultural memory. High-number singleton merged."
"LXXXVIII. History of Memory (Theoretical Nuances)","VII","Memory & Oral History","A. Collective & Cultural Memory",merge,"Contested memories. High-number singleton merged."
"LVI. History of Memory & Heritage (Advanced)","VII","Memory & Oral History","A. Collective & Cultural Memory",merge,"Collective trauma (history). Folded to memory; trauma overlap noted."
"X. Oral History","VII","Memory & Oral History","B. Oral History & Testimony",relabel,"Life narratives (historical). Oral history sub root."
"X. Oral History & Life Narratives","VII","Memory & Oral History","B. Oral History & Testimony",merge,"Oral history. Variant deduped."
"XL. Post-Holocaust","VII","Memory & Oral History","C. Trauma & Post-Holocaust",relabel,"Testimony (historical). Post-Holocaust/witnessing sub."
"XL. Post-Holocaust & Genocide Studies","VII","Memory & Oral History","C. Trauma & Post-Holocaust",merge,"Witnessing (historical). Variant deduped."
"LXXXII. History of War (Specific Aspects)","VII","Memory & Oral History","C. Trauma & Post-Holocaust",merge,"History of war trauma. High-number singleton merged to trauma sub."
"XIV. Intellectual History","VIII","Intellectual History","A. History of Ideas",relabel,"History of ideas, episteme, paradigm shift. Intellectual history backbone root."
"XIV. Intellectual History & History of Ideas","VIII","Intellectual History","B. Conceptual History",merge,"Conceptual history (Begriffsgeschichte). Variant mapped to conceptual sub."
"XLIII. History of Ideas","VIII","Intellectual History","A. History of Ideas",merge,"History of postmodernity. Folded to history of ideas."
"XLIII. History of Ideas (Deep Dive)","VIII","Intellectual History","A. History of Ideas",merge,"History of modernity. Variant deduped."
"XCIV. History of Ideas (Reception & Impact)","VIII","Intellectual History","C. Reception & Knowledge",merge,"Reception history (intellectual). High-number singleton to reception sub."
"LXI. History of Knowledge","VIII","Intellectual History","C. Reception & Knowledge",merge,"Social history of knowledge. Singleton folded to knowledge sub."
"LXXXI. History of Knowledge Production (A. Disciplines & Institutions)","VIII","Intellectual History","C. Reception & Knowledge",merge,"History of universities (social role). Folded to knowledge sub."
"LXXXI. History of Knowledge Production (Advanced)","VIII","Intellectual History","C. Reception & Knowledge",merge,"History of disciplines. Variant deduped."
"XXIII. History of Philosophy","VIII","Intellectual History","A. History of Ideas",merge,"History of Western/political philosophy. Folded to history of ideas."
"LIII. History of Disease (Advanced)","XI","Gender, Body & Emotions History","C. Body, Senses & Health",merge,"Disease narratives (history). Folded to body/health sub."
"VII. Environmental History","IX","Environmental, Science & Technology History","A. Environmental History",relabel,"Anthropocene, ecological imperialism, climate history. Environmental backbone root."
"LVII. Environmental History (Advanced)","IX","Environmental, Science & Technology History","A. Environmental History",merge,"Political ecology (historical). Advanced variant merged."
"XCII. History of the Environment (Specific Aspects)","IX","Environmental, Science & Technology History","A. Environmental History",merge,"History of urban environments. High-number singleton merged."
"XLI. History of Science & Environment (Intersections)","IX","Environmental, Science & Technology History","A. Environmental History",merge,"Environmental humanities (history). Intersection folded to environmental."
"XIII. History of Science","IX","Environmental, Science & Technology History","B. History of Science",relabel,"ANT, laboratory studies, social shaping of technology, technological determinism. Science sub root."
"XIII. History of Science & Technology","IX","Environmental, Science & Technology History","B. History of Science",merge,"Social construction of science (historical). Variant deduped."
"XXII. History of Science","IX","Environmental, Science & Technology History","B. History of Science",merge,"Scientific revolution, history of medicine. Folded to science sub."
"LI. History of Science","IX","Environmental, Science & Technology History","B. History of Science",merge,"History of experimentation. Folded to science sub."
"LI. History of Science (Specific Focus)","IX","Environmental, Science & Technology History","B. History of Science",merge,"History of scientific instruments. Variant deduped."
"LX. History of Science (Specific Branches)","IX","Environmental, Science & Technology History","B. History of Science",merge,"History of biology. Singleton folded to science sub."
"XLI. History of Science","IX","Environmental, Science & Technology History","A. Environmental History",merge,"History of conservation. Folded to environmental sub."
"LXXI. History of Science & Religion","IX","Environmental, Science & Technology History","B. History of Science",merge,"History of science and religion. Singleton folded to science sub."
"XCV. History of Science (Institutions & Practices)","IX","Environmental, Science & Technology History","B. History of Science",merge,"History of scientific institutions. High-number singleton merged."
"XXVII. Post-Humanist","IX","Environmental, Science & Technology History","C. History of Technology & Things",relabel,"History of ecologies, technology-as-actor, history of things, material culture. Post-humanist/tech sub."
"XXVII. Post-Humanist & Environmental Approaches","IX","Environmental, Science & Technology History","C. History of Technology & Things",merge,"Animal history. Variant deduped."
"LXXX. History of Technology (Specific Technologies)","IX","Environmental, Science & Technology History","C. History of Technology & Things",merge,"History of the Internet. Singleton folded to technology sub."
"XCIII. History of Technology (Broader Context)","IX","Environmental, Science & Technology History","C. History of Technology & Things",merge,"History of technology and society. High-number singleton merged."
"LXVI. History of Animals (Advanced)","IX","Environmental, Science & Technology History","C. History of Technology & Things",merge,"History of pets. Singleton folded to post-humanist/material sub."
"LXIV. History of Infrastructure","IX","Environmental, Science & Technology History","C. History of Technology & Things",merge,"History of infrastructure. Singleton folded to technology sub."
"LXV. History of Food","XIII","Specialized Social Histories","C. Consumption, Food & Material",merge,"History of food. Singleton folded to consumption/material sub."
"XCIX. History of Disasters","IX","Environmental, Science & Technology History","A. Environmental History",merge,"History of disasters. High-number singleton merged to environmental."
"XI. Digital History","X","Digital History","A. Digital Methods",relabel,"Historiography (methodology), micro-archives. Digital history backbone root."
"XI. Digital History & Historiography","X","Digital History","A. Digital Methods",merge,"Digital history. Variant deduped."
"XLVI. Digital History","X","Digital History","B. Spatial & Network Analysis",relabel,"Geospatial history. Spatial/network sub."
"XLVI. Digital History (Advanced)","X","Digital History","B. Spatial & Network Analysis",merge,"Network analysis (history). Variant deduped."
"XXVIII. Digital History","X","Digital History","C. Archives & Data",relabel,"Algorithm history, digital archival theory. Archives/data sub."
"XXVIII. Digital History & Archives","X","Digital History","C. Archives & Data",merge,"History of data. Variant deduped."
"XV. Spatial History","X","Digital History","B. Spatial & Network Analysis",relabel,"History of cartography. Spatial history mapped to digital spatial sub."
"XV. Spatial History & Cartographic History","X","Digital History","B. Spatial & Network Analysis",merge,"Spatial history. Variant deduped."
"LXIX. History of Space (Advanced)","X","Digital History","B. Spatial & Network Analysis",merge,"History of landscape. High-number singleton merged to spatial sub."
"XII. Gender History","XI","Gender, Body & Emotions History","A. Gender & Sexuality",relabel,"History of sexuality, women's history, queer history. Gender backbone root."
"XII. Gender History & Queer History","XI","Gender, Body & Emotions History","A. Gender & Sexuality",merge,"Gender history. Variant deduped."
"LXXIV. History of Gender (Intersection with other factors)","XI","Gender, Body & Emotions History","A. Gender & Sexuality",merge,"Gender and class (history). High-number singleton merged."
"LXXXV. History of Sexuality (Specific Focus)","XI","Gender, Body & Emotions History","A. Gender & Sexuality",merge,"History of deviance (sexual). High-number singleton merged."
"XXXII. Emotion","XI","Gender, Body & Emotions History","B. History of Emotions",relabel,"History of melancholy. Emotions sub root."
"XXXII. Emotion & Affective History","XI","Gender, Body & Emotions History","B. History of Emotions",merge,"Shame and guilt (historical). Variant deduped."
"XLIV. History of Emotions","XI","Gender, Body & Emotions History","B. History of Emotions",merge,"Emotional communities. Folded to emotions sub."
"XLIV. History of Emotions (Advanced)","XI","Gender, Body & Emotions History","B. History of Emotions",merge,"Affective regimes (history). Variant deduped."
"LVIII. History of Emotions (Specific Emotions)","XI","Gender, Body & Emotions History","B. History of Emotions",merge,"History of fear. Singleton folded to emotions sub."
"LXXIX. History of Emotions (Specific Manifestations)","XI","Gender, Body & Emotions History","B. History of Emotions",merge,"History of crying/laughter. Folded to emotions sub."
"XC. History of Emotions (Methodological)","XI","Gender, Body & Emotions History","B. History of Emotions",merge,"Emotions and historical sources. High-number singleton merged."
"C. History of Emotions (Cross-Cultural)","XI","Gender, Body & Emotions History","B. History of Emotions",merge,"Cross-cultural history of emotions. Singleton folded to emotions sub."
"XXXIII. Sensory","XI","Gender, Body & Emotions History","C. Body, Senses & Health",relabel,"History of dirt/cleanliness. Senses/body sub root."
"XXXIII. Sensory & Material History","XI","Gender, Body & Emotions History","C. Body, Senses & Health",merge,"History of the senses. Variant deduped."
"XLVIII. History of the Senses","XI","Gender, Body & Emotions History","C. Body, Senses & Health",merge,"Auditory history. Folded to senses sub."
"XLVIII. History of the Senses (Advanced)","XI","Gender, Body & Emotions History","C. Body, Senses & Health",merge,"Olfactory history. Variant deduped."
"LIX. History of Body & Health","XI","Gender, Body & Emotions History","C. Body, Senses & Health",merge,"Social history of medicine. Singleton folded to body/health sub."
"XXXIV. Public Health","XI","Gender, Body & Emotions History","C. Body, Senses & Health",relabel,"Social history of disease. Public health/disease folded to body/health sub."
"XXXIV. Public Health & Disease History","XI","Gender, Body & Emotions History","C. Body, Senses & Health",merge,"History of epidemics. Variant deduped."
"LXXXVI. History of Public Health (Specific Diseases)","XI","Gender, Body & Emotions History","C. Body, Senses & Health",merge,"History of AIDS epidemic. High-number singleton merged."
"LXXIII. History of the Family (Advanced)","XIII","Specialized Social Histories","A. Childhood & Family",merge,"History of adolescence. High-number singleton merged to childhood/family."
"XVII. Political History","XII","Political, Legal & Global History","A. Political & State",relabel,"History of the state, constitutional history, history of political thought, genocide. Political backbone root."
"LXXXIX. History of the State (Advanced)","XII","Political, Legal & Global History","A. Political & State",merge,"History of state building. High-number singleton merged."
"LXIII. History of Public Opinion","XII","Political, Legal & Global History","A. Political & State",merge,"History of public opinion. Singleton folded to political sub."
"XXIV. Legal History","XII","Political, Legal & Global History","B. Legal & Human Rights",relabel,"Legal history, history of human rights. Legal sub root."
"LXXVII. History of Human Rights (Advanced)","XII","Political, Legal & Global History","B. Legal & Human Rights",merge,"Philosophical history of human rights. High-number singleton merged."
"XXI. History of Religion","XII","Political, Legal & Global History","A. Political & State",relabel,"History of Christianity, Islam, religious revival, secularization. Religion folded to political/institutional sub."
"VIII. Global","XII","Political, Legal & Global History","C. Global & Transnational",relabel,"Global history, transnational history, big history, world history. Global sub root."
"VIII. Global & Transnational History","XII","Political, Legal & Global History","C. Global & Transnational",merge,"Connected histories. Variant deduped."
"XLV. Global History","XII","Political, Legal & Global History","C. Global & Transnational",merge,"Entangled history (Verflechtungsgeschichte). Folded to global sub."
"XLV. Global History (Advanced)","XII","Political, Legal & Global History","C. Global & Transnational",merge,"Comparative history. Variant deduped."
"XXXVII. Global","XII","Political, Legal & Global History","C. Global & Transnational",merge,"Trans-imperial history. Folded to global sub."
"XXXVII. Global & Transnational Approaches (Deep Dive)","XII","Political, Legal & Global History","C. Global & Transnational",merge,"Global commodity chains (history). Variant deduped."
"XCI. History of Global Connections","XII","Political, Legal & Global History","C. Global & Transnational",merge,"History of transnational networks. High-number singleton merged."
"LV. Comparative History (Advanced)","XII","Political, Legal & Global History","C. Global & Transnational",merge,"Global comparisons (history). Singleton folded to global sub."
"LXXVIII. History of Migration","XII","Political, Legal & Global History","C. Global & Transnational",merge,"History of migration. Singleton folded to global/transnational sub."
"XXVI. Specialised Historical Fields","XIII","Specialized Social Histories","A. Childhood & Family",relabel,"Masculinities, disability history, childhood, oral history (advanced). Largest singleton-style bucket; routed to specialized social histories."
"L. History of Childhood","XIII","Specialized Social Histories","A. Childhood & Family",relabel,"History of child labor. Childhood/family sub root."
"L. History of Childhood (Specific Focus)","XIII","Specialized Social Histories","A. Childhood & Family",merge,"History of children's rights. Variant deduped."
"XCVII. History of Childhood (Legal/Social)","XIII","Specialized Social Histories","A. Childhood & Family",merge,"History of child welfare. High-number singleton merged."
"XXXVI. History of Violence","XIII","Specialized Social Histories","B. Crime, Violence & Policing",relabel,"History of torture. Crime/violence sub root."
"XXXVI. History of Violence & Conflict","XIII","Specialized Social Histories","B. Crime, Violence & Policing",merge,"History of violence. Variant deduped."
"XLII. History of Crime","XIII","Specialized Social Histories","B. Crime, Violence & Policing",merge,"History of prisons. Folded to crime/violence sub."
"XLII. History of Crime & Punishment","XIII","Specialized Social Histories","B. Crime, Violence & Policing",merge,"History of punishment. Variant deduped."
"LXII. History of Crime & Policing","XIII","Specialized Social Histories","B. Crime, Violence & Policing",merge,"History of policing. Singleton folded to crime sub."
"XCVI. History of Crime (Specific)","XIII","Specialized Social Histories","B. Crime, Violence & Policing",merge,"History of surveillance. High-number singleton merged."
"LXXV. History of Consumption (Specific)","XIII","Specialized Social Histories","C. Consumption, Food & Material",relabel,"History of luxury, history of fashion. Consumption/material sub root."
"LXXVI. History of Urban Planning","XIII","Specialized Social Histories","C. Consumption, Food & Material",merge,"History of urban planning. Singleton folded to material/built-environment sub."
"IV. Post-Structuralist","XIV","Post-Structuralist & Genealogical History","A. Genealogy & Archaeology",relabel,"Archaeology of knowledge, discourse, death of the author, historiographic metafiction. Foucauldian/postmodern historiography backbone root."
"IV. Post-Structuralist & Postmodern Approaches","XIV","Post-Structuralist & Genealogical History","A. Genealogy & Archaeology",merge,"Genealogy (historical). Variant deduped into genealogy/archaeology sub."
