OldTrueMajor,NewMajorNo,NewMajorName,NewSub,Action,Note
"CXXIV. Operations Management (Lean)",8,"Operations, Quality & Supply Chain","A. Behavioral & Human Factors Operations",MERGE,"Lean management (human factors)"
"XCIV. Operations Management (Behavioral Operations)",8,"Operations, Quality & Supply Chain","A. Behavioral & Human Factors Operations",MERGE,"Behavioral queuing theory"
"LIV. Operations Management (Quality)",8,"Operations, Quality & Supply Chain","B. Quality Management",MERGE,"Total quality management (TQM)"
"XLV. Operations Management (Service)",8,"Operations, Quality & Supply Chain","C. Service Operations",MERGE,"Service-dominant logic, SERVQUAL"
"CIV. Operations Management (Service Innovation)",8,"Operations, Quality & Supply Chain","C. Service Operations",MERGE,"Service innovation theory"
"LXXIV. Operations Management (Service Encounter)",8,"Operations, Quality & Supply Chain","C. Service Operations",MERGE,"Service encounter theory"
"XX. Operations Management (Supply Chain Behavior)",8,"Operations, Quality & Supply Chain","D. Supply Chain Management",MERGE,"Behavioral supply chain, bullwhip effect"
"XXXVI. Supply Chain Management (Behavioral)",8,"Operations, Quality & Supply Chain","D. Supply Chain Management",MERGE,"Behavioral supply chain, trust; dedup with XX"
"LXXXIV. Operations Management (Behavioral Supply Chain)",8,"Operations, Quality & Supply Chain","D. Supply Chain Management",MERGE,"Behavioral game theory in supply chain; dedup with XX"
"VIII. International Business",9,"International Business & Cross-Cultural Management","A. Cross-Cultural Management",MERGE,"Cultural intelligence theory"
"VIII. International Business & Globalization",9,"International Business & Cross-Cultural Management","A. Cross-Cultural Management",MERGE,"Cultural dimensions theory; dedup with VIII Intl Business"
"XXV. International Management",9,"International Business & Cross-Cultural Management","A. Cross-Cultural Management",MERGE,"Cross-cultural management, GLOBE project"
"LXXVI. International Business (Cultural Competence)",9,"International Business & Cross-Cultural Management","A. Cross-Cultural Management",MERGE,"Cross-cultural competence theory"
"LVI. International Business (Cultural Distance)",9,"International Business & Cross-Cultural Management","A. Cross-Cultural Management",MERGE,"Psychic distance theory"
"XXXVIII. International Business (Entry Mode)",9,"International Business & Cross-Cultural Management","B. Internationalization & Entry Mode",MERGE,"Uppsala model, OLI eclectic paradigm"
"CXXVI. International Business (Born Global)",9,"International Business & Cross-Cultural Management","B. Internationalization & Entry Mode",MERGE,"Born global firms theory"
"XCVI. International Business (Liability of Foreignness)",9,"International Business & Cross-Cultural Management","B. Internationalization & Entry Mode",MERGE,"Liability of foreignness theory"
"CVI. International Business (Emerging Markets)",9,"International Business & Cross-Cultural Management","B. Internationalization & Entry Mode",MERGE,"Emerging market strategies"
"XLVII. International Business (MNC Behavior)",9,"International Business & Cross-Cultural Management","C. MNC Behavior & Cognition",MERGE,"Organizational slack, managerial discretion"
"LXVI. International Business (Behavioral)",9,"International Business & Cross-Cultural Management","C. MNC Behavior & Cognition",MERGE,"Behavioral international business"
"LXXXVI. International Business (Managerial Cognition)",9,"International Business & Cross-Cultural Management","C. MNC Behavior & Cognition",MERGE,"Managerial cognition in IB"
"CXVI. International Business (Non-Market Strategy)",9,"International Business & Cross-Cultural Management","C. MNC Behavior & Cognition",MERGE,"Non-market strategy (IB)"
"IX. Corporate Social Responsibility (CSR) & Ethics",10,"Business Ethics, CSR & Governance","A. CSR Frameworks & Shared Value",MERGE,"Stakeholder theory, Carroll's pyramid"
"IX. Corporate Social Responsibility (CSR)",10,"Business Ethics, CSR & Governance","C. Business Ethics & Behavioral Ethics",MERGE,"Ethical decision-making models"
"XXXIX. Corporate Social Responsibility (Advanced)",10,"Business Ethics, CSR & Governance","A. CSR Frameworks & Shared Value",MERGE,"Creating shared value, social license to operate"
"CXXVII. Corporate Social Responsibility (Governance)",10,"Business Ethics, CSR & Governance","A. CSR Frameworks & Shared Value",MERGE,"Shared value (CSV) governance; dedup with XXXIX"
"CVII. Corporate Social Responsibility (Measurement)",10,"Business Ethics, CSR & Governance","A. CSR Frameworks & Shared Value",MERGE,"CSR measurement theory"
"XLVIII. Corporate Social Responsibility (Behavioral)",10,"Business Ethics, CSR & Governance","A. CSR Frameworks & Shared Value",MERGE,"Behavioral CSR theory"
"LXVII. Corporate Social Responsibility (Managerial)",10,"Business Ethics, CSR & Governance","A. CSR Frameworks & Shared Value",MERGE,"CSR as managerial discretion"
"LXXXVII. Corporate Social Responsibility (Stakeholder Salience)",10,"Business Ethics, CSR & Governance","B. Stakeholder Theory & Engagement",MERGE,"Stakeholder salience theory"
"XCVII. Corporate Social Responsibility (Stakeholder Engagement)",10,"Business Ethics, CSR & Governance","B. Stakeholder Theory & Engagement",MERGE,"Stakeholder engagement theory"
"LVII. Corporate Social Responsibility (Theory of the Firm)",10,"Business Ethics, CSR & Governance","B. Stakeholder Theory & Engagement",MERGE,"Theory of the firm (CSR integration)"
"CXVII. Corporate Social Responsibility (Ethical Leadership)",10,"Business Ethics, CSR & Governance","C. Business Ethics & Behavioral Ethics",MERGE,"Ethical leadership (CSR)"
"XXII. Business Ethics",10,"Business Ethics, CSR & Governance","C. Business Ethics & Behavioral Ethics",MERGE,"Virtue ethics, deontology"
"LXXVII. Corporate Social Responsibility (Ethics)",10,"Business Ethics, CSR & Governance","C. Business Ethics & Behavioral Ethics",MERGE,"Business ethics theory; dedup with XXII"
"XIX. Finance (Corporate Governance)",10,"Business Ethics, CSR & Governance","D. Corporate Governance",MERGE,"Corporate governance, stakeholder governance"
"XLIII. Finance (Behavioral Corporate Governance)",10,"Business Ethics, CSR & Governance","D. Corporate Governance",MERGE,"Behavioral corporate governance"
"LII. Finance (Corporate Governance - Behavioral)",10,"Business Ethics, CSR & Governance","D. Corporate Governance",MERGE,"Behavioral agency theory; dedup with XLIII"
"IV. Finance",11,"Behavioral Finance & Decision Making","A. Behavioral Asset Pricing & Markets",MERGE,"Prospect theory, EMH critique, mental accounting, disposition effect"
"XXXIV. Finance (Behavioral Investment)",11,"Behavioral Finance & Decision Making","A. Behavioral Asset Pricing & Markets",MERGE,"Investor biases, herding behavior"
"LXII. Finance (Behavioral Investment)",11,"Behavioral Finance & Decision Making","A. Behavioral Asset Pricing & Markets",MERGE,"Narrow framing; dedup with XXXIV"
"CII. Finance (Market Microstructure)",11,"Behavioral Finance & Decision Making","A. Behavioral Asset Pricing & Markets",MERGE,"Behavioral market microstructure"
"CXII. Finance (Behavioral Asset Pricing)",11,"Behavioral Finance & Decision Making","A. Behavioral Asset Pricing & Markets",MERGE,"Representativeness heuristic"
"XCII. Finance (Behavioral Asset Pricing)",11,"Behavioral Finance & Decision Making","A. Behavioral Asset Pricing & Markets",MERGE,"Limited attention theory; dedup with CXII"
"XXVIII. Finance (Behavioral Corporate Finance)",11,"Behavioral Finance & Decision Making","B. Behavioral Corporate Finance",MERGE,"Behavioral corporate finance, managerial empire building"
"CXXII. Finance (Behavioral Corporate Finance)",11,"Behavioral Finance & Decision Making","B. Behavioral Corporate Finance",MERGE,"Myopic loss aversion; dedup with XXVIII"
"LXXII. Finance (Behavioral Corporate Finance)",11,"Behavioral Finance & Decision Making","B. Behavioral Corporate Finance",MERGE,"Capital budgeting (behavioral); dedup with XXVIII"
"LXXXII. Finance (Behavioral Households)",11,"Behavioral Finance & Decision Making","C. Household & Applied Behavioral Finance",MERGE,"Household finance (behavioral)"
"XI. Knowledge Management",12,"Knowledge Management & Organizational Learning","A. Knowledge Creation & Absorptive Capacity",MERGE,"SECI model, absorptive capacity"
"XXIV. Knowledge Management (Advanced)",12,"Knowledge Management & Organizational Learning","B. Communities of Practice & Tacit Knowledge",MERGE,"Communities of practice, explicit vs tacit knowledge"
"XII. Crisis Management",13,"Change, Crisis & Organizational Development","B. Crisis Management & Communication",MERGE,"SCCT, image repair theory"
"XIII. Change Management",13,"Change, Crisis & Organizational Development","A. Change Management",MERGE,"Lewin's model, resistance to change"
"XXIII. Organizational Change (Advanced)",13,"Change, Crisis & Organizational Development","A. Change Management",MERGE,"Kotter's 8-step, appreciative inquiry"
"XXXI. Organizational Development",13,"Change, Crisis & Organizational Development","C. Organizational Development",MERGE,"Action research (OD), appreciative inquiry (OD)"
