OldTrueMajor,NewMajorNo,NewMajorName,NewSub,Action,Note
"X. Theoretical Frameworks (LLL. Family & Theory)",2,"가족체계·사이버네틱스 이론 (Family Systems & Cybernetics)","B. 의사소통·구조적 가족치료 (Communication & Structural Therapy)",FOLD,"Family Communication Patterns Theory → 단발 병합 Major2 B"
"X. Theoretical Frameworks (N. Communication Studies)",2,"가족체계·사이버네틱스 이론 (Family Systems & Cybernetics)","B. 의사소통·구조적 가족치료 (Communication & Structural Therapy)",FOLD,"Family Rules Theory → 단발 병합 Major2 B"
"X. Theoretical Frameworks (SSS. Family & Theory)",2,"가족체계·사이버네틱스 이론 (Family Systems & Cybernetics)","C. 항상성·하위체계 (Homeostasis & Subsystems)",FOLD,"Scapegoating (Family Dynamics) → 단발 병합 Major2 C"
"X. Theoretical Frameworks (SS. Family & Psychology)",2,"가족체계·사이버네틱스 이론 (Family Systems & Cybernetics)","C. 항상성·하위체계 (Homeostasis & Subsystems)",FOLD,"Scapegoat Theory (Family) → 단발 병합 Major2 C"
"X. Theoretical Frameworks (NNN. Family & Theory)",2,"가족체계·사이버네틱스 이론 (Family Systems & Cybernetics)","C. 항상성·하위체계 (Homeostasis & Subsystems)",FOLD,"Interparental Conflict Theory → 단발 병합 Major2 C"
"X. Theoretical Frameworks (E. Psychodynamic)",3,"보웬 세대간 가족이론 (Bowenian Multigenerational Theory)","A. 분화·정서적 삼각관계 (Differentiation & Emotional Triangles)",FOLD,"Genogram/Emotional Triangles/Undifferentiated Ego Mass/Societal Emotional Process → 백본 Major3 A"
"VII. Specialized Family Theories (Added)",3,"보웬 세대간 가족이론 (Bowenian Multigenerational Theory)","B. 다세대 전수·정서적 단절 (Transmission & Emotional Cutoff)",FOLD,"Multigenerational Transmission/Emotional Cutoff/Ambiguous Loss/Family Coping → Major3 B"
"X. Theoretical Frameworks (UUU. Family & Theory)",3,"보웬 세대간 가족이론 (Bowenian Multigenerational Theory)","C. 세대간 양가성·연대 (Intergenerational Ambivalence & Solidarity)",FOLD,"Intergenerational Ambivalence → 단발 병합 Major3 C"
"X. Theoretical Frameworks (P. Aging Studies)",3,"보웬 세대간 가족이론 (Bowenian Multigenerational Theory)","C. 세대간 양가성·연대 (Intergenerational Ambivalence & Solidarity)",FOLD,"Intergenerational Solidarity Theory → 단발 병합 Major3 C"
"III. Psychological",4,"애착·심리역동 가족이론 (Attachment & Psychodynamic)","A. 애착·내적작동모델 (Attachment & Internal Working Models)",FOLD,"Attachment/Internal Working Models/Social Learning/Transference → 백본 Major4 A"
"III. Psychological & Psychodynamic Theories (Family Context)",4,"애착·심리역동 가족이론 (Attachment & Psychodynamic)","B. 대상관계·내적가족체계 (Object Relations & IFS)",FOLD,"Object Relations Theory (Family) → Major4 B"
"X. Theoretical Frameworks (BBB. Family & Therapy)",4,"애착·심리역동 가족이론 (Attachment & Psychodynamic)","B. 대상관계·내적가족체계 (Object Relations & IFS)",FOLD,"Internal Family Systems (IFS) → 단발 병합 Major4 B"
"IX. Advanced Family Dynamics",4,"애착·심리역동 가족이론 (Attachment & Psychodynamic)","C. 정서조절·표출정서 (Emotion Regulation & Expressed Emotion)",FOLD,"Expressed Emotion/Family Cohesion/Adaptability/Power → Major4 C"
"IX. Advanced Family Dynamics & Processes",4,"애착·심리역동 가족이론 (Attachment & Psychodynamic)","C. 정서조절·표출정서 (Emotion Regulation & Expressed Emotion)",FOLD,"Emotion Regulation Theory (Family) → Major4 C"
"X. Theoretical Frameworks (B. Social Learning)",4,"애착·심리역동 가족이론 (Attachment & Psychodynamic)","A. 애착·내적작동모델 (Attachment & Internal Working Models)",FOLD,"Vicarious Learning (Family) → 단발 병합 Major4 A"
"X. Theoretical Frameworks (T. Sociology of Emotions)",4,"애착·심리역동 가족이론 (Attachment & Psychodynamic)","C. 정서조절·표출정서 (Emotion Regulation & Expressed Emotion)",FOLD,"Affective Practices in Families → 단발 병합 Major4 C"
"X. Theoretical Frameworks (O. Social Psychology)",4,"애착·심리역동 가족이론 (Attachment & Psychodynamic)","C. 정서조절·표출정서 (Emotion Regulation & Expressed Emotion)",FOLD,"Group Cohesion Theory (Family) → 단발 병합 Major4 C"
"V. Specific Family Phenomenon Theories",5,"결혼·친밀성·짝짓기 이론 (Marriage, Intimacy & Mating)","A. 짝짓기·동질혼 (Mating & Homogamy)",FOLD,"Assortative Mating/Social Homogamy/Marital Quality/Divorce Process → 백본 Major5 A"
"X. Theoretical Frameworks (F. Rational Choice)",5,"결혼·친밀성·짝짓기 이론 (Marriage, Intimacy & Mating)","B. 결혼 질·합리적 선택 (Marital Quality & Rational Choice)",FOLD,"Bargaining Theory (Family) → 단발 병합 Major5 B"
"X. Theoretical Frameworks (NN. Family & Identity)",5,"결혼·친밀성·짝짓기 이론 (Marriage, Intimacy & Mating)","C. 가족 정체성·의례 (Family Identity & Rituals)",FOLD,"Family Identity Theory → 단발 병합 Major5 C"
"X. Theoretical Frameworks (KKK. Family & Theory)",5,"결혼·친밀성·짝짓기 이론 (Marriage, Intimacy & Mating)","C. 가족 정체성·의례 (Family Identity & Rituals)",FOLD,"Family Rituals → 단발 병합 Major5 C"
"X. Theoretical Frameworks (YYY. Family & Theory)",5,"결혼·친밀성·짝짓기 이론 (Marriage, Intimacy & Mating)","C. 가족 정체성·의례 (Family Identity & Rituals)",FOLD,"Family Meaning-Making → 단발 병합 Major5 C"
"X. Theoretical Frameworks (DD. Family & Cultural Studies)",5,"결혼·친밀성·짝짓기 이론 (Marriage, Intimacy & Mating)","C. 가족 정체성·의례 (Family Identity & Rituals)",FOLD,"Family Narratives (Cultural) → 단발 병합 Major5 C"
"X. Theoretical Frameworks (AA. Family & Law)",6,"이혼·재구성가족·법 (Divorce, Stepfamily & Law)","A. 이혼·무책주의 이혼 (Divorce & No-Fault)",FOLD,"No-Fault Divorce Theory → 단발 병합 Major6 A"
"X. Theoretical Frameworks (R. Legal Studies)",6,"이혼·재구성가족·법 (Divorce, Stepfamily & Law)","B. 아동 최선이익·양육권 (Best Interests & Custody)",FOLD,"Best Interests of the Child Doctrine → 단발 병합 Major6 B"
"X. Theoretical Frameworks (PPP. Family & Theory)",6,"이혼·재구성가족·법 (Divorce, Stepfamily & Law)","C. 부모 소외·재구성가족 (Parental Alienation & Reconstitution)",FOLD,"Parental Alienation Theory → 단발 병합 Major6 C"
"X. Theoretical Frameworks (Z. Family & Social Change)",6,"이혼·재구성가족·법 (Divorce, Stepfamily & Law)","A. 이혼·무책주의 이혼 (Divorce & No-Fault)",FOLD,"Second Demographic Transition Theory (Family) → 단발 병합 Major6 A"
"X. Theoretical Frameworks (D. Critical)",7,"젠더·돌봄노동·페미니즘 가족이론 (Gender, Care Labor & Feminist)","A. 가부장제·젠더 역할 (Patriarchy & Gender Roles)",FOLD,"Patriarchy/Gender Roles (Family) → 백본 Major7 A"
"X. Theoretical Frameworks (I. Feminist)",7,"젠더·돌봄노동·페미니즘 가족이론 (Gender, Care Labor & Feminist)","B. 돌봄노동·가사분담 (Care Labor & Division of Labor)",FOLD,"Dual-Earner Household Theory → 단발 병합 Major7 B"
"X. Theoretical Frameworks (L. Gender Studies)",7,"젠더·돌봄노동·페미니즘 가족이론 (Gender, Care Labor & Feminist)","B. 돌봄노동·가사분담 (Care Labor & Division of Labor)",FOLD,"Household Division of Labor Theory → 단발 병합 Major7 B"
"X. Theoretical Frameworks (W. Gender and Work)",7,"젠더·돌봄노동·페미니즘 가족이론 (Gender, Care Labor & Feminist)","B. 돌봄노동·가사분담 (Care Labor & Division of Labor)",FOLD,"Gendered Division of Labor (Family) → 단발 병합 Major7 B"
"X. Theoretical Frameworks (MM. Family & Care)",7,"젠더·돌봄노동·페미니즘 가족이론 (Gender, Care Labor & Feminist)","B. 돌봄노동·가사분담 (Care Labor & Division of Labor)",FOLD,"Care Economy (Family) → 단발 병합 Major7 B"
"VIII. Emerging",7,"젠더·돌봄노동·페미니즘 가족이론 (Gender, Care Labor & Feminist)","C. 돌봄윤리·에코페미니즘 (Care Ethics & Ecofeminism)",FOLD,"Care Ethics/Ecofeminist/Climate Change/Incarceration → Major7 C"
"VIII. Emerging & Intersectional Family Theories",7,"젠더·돌봄노동·페미니즘 가족이론 (Gender, Care Labor & Feminist)","C. 돌봄윤리·에코페미니즘 (Care Ethics & Ecofeminism)",FOLD,"Disability and Family Theory → Major7 C"
"X. Theoretical Frameworks (LL. Family & Reproduction)",7,"젠더·돌봄노동·페미니즘 가족이론 (Gender, Care Labor & Feminist)","C. 돌봄윤리·에코페미니즘 (Care Ethics & Ecofeminism)",FOLD,"Reproductive Justice (Family) → 단발 병합 Major7 C"
"X. Theoretical Frameworks (KK. Family & Social Justice)",7,"젠더·돌봄노동·페미니즘 가족이론 (Gender, Care Labor & Feminist)","C. 돌봄윤리·에코페미니즘 (Care Ethics & Ecofeminism)",FOLD,"Family Abolition (Critical Theory) → 단발 병합 Major7 C"
"X. Theoretical Frameworks (Q. Childhood Studies)",8,"모성·부성·양육 이론 (Motherhood, Fatherhood & Parenting)","A. 아동중심·양육 (Child-Centered & Parenting)",FOLD,"Child-Centered Family Theory → 단발 병합 Major8 A"
"X. Theoretical Frameworks (U. Sociology of Childhood)",8,"모성·부성·양육 이론 (Motherhood, Fatherhood & Parenting)","A. 아동중심·양육 (Child-Centered & Parenting)",FOLD,"Sociology of Childhood (Family) → 단발 병합 Major8 A"
"X. Theoretical Frameworks (QQ. Family & Migration)",8,"모성·부성·양육 이론 (Motherhood, Fatherhood & Parenting)","B. 모성·부성 (Motherhood & Fatherhood)",FOLD,"Transnational Motherhood Theory → 단발 병합 Major8 B"
"X. Theoretical Frameworks (OO. Family & Education)",8,"모성·부성·양육 이론 (Motherhood, Fatherhood & Parenting)","A. 아동중심·양육 (Child-Centered & Parenting)",FOLD,"Parental Involvement Theory (Education) → 단발 병합 Major8 A"
"X. Theoretical Frameworks (OOO. Family & Theory)",8,"모성·부성·양육 이론 (Motherhood, Fatherhood & Parenting)","C. 부모-자녀 상호작용·자율성 (Parent-Child Interaction & Autonomy)",FOLD,"Parent-Child Coercion Theory → 단발 병합 Major8 C"
"X. Theoretical Frameworks (QQQ. Family & Theory)",8,"모성·부성·양육 이론 (Motherhood, Fatherhood & Parenting)","C. 부모-자녀 상호작용·자율성 (Parent-Child Interaction & Autonomy)",FOLD,"Adolescent Autonomy Granting Theory → 단발 병합 Major8 C"
"X. Theoretical Frameworks (GG. Family & Crime)",8,"모성·부성·양육 이론 (Motherhood, Fatherhood & Parenting)","C. 부모-자녀 상호작용·자율성 (Parent-Child Interaction & Autonomy)",FOLD,"Family Risk Factors for Delinquency → 단발 병합 Major8 C"
"X. Theoretical Frameworks (M. Cultural Anthropology)",9,"친족·인류학 (Kinship & Anthropology)","A. 친족체계 (Kinship Systems)",FOLD,"Kinship Systems Theory → 단발 병합 Major9 A"
"X. Theoretical Frameworks (III. Family & Theory)",9,"친족·인류학 (Kinship & Anthropology)","B. 신친족연구·선택가족 (New Kinship & Chosen Families)",FOLD,"New Kinship Studies → 단발 병합 Major9 B"
"X. Theoretical Frameworks (HHH. Family & Theory)",9,"친족·인류학 (Kinship & Anthropology)","B. 신친족연구·선택가족 (New Kinship & Chosen Families)",FOLD,"Chosen Families → 단발 병합 Major9 B"
"X. Theoretical Frameworks (EE. Family & Aging)",9,"친족·인류학 (Kinship & Anthropology)","C. 효·세대 문화 (Filial Piety & Generational Culture)",FOLD,"Filial Piety (Family) → 단발 병합 Major9 C"
"X. Theoretical Frameworks (PP. Family & History)",9,"친족·인류학 (Kinship & Anthropology)","C. 효·세대 문화 (Filial Piety & Generational Culture)",FOLD,"Historical Demography (Family) → 단발 병합 Major9 C"
"VI. Advanced",10,"탈식민·초국가·교차성 가족이론 (Decolonial, Transnational & Intersectional)","A. 토착·탈식민 가족연구 (Indigenous & Decolonizing)",FOLD,"Indigenous Family/Decolonizing Family Studies/Transnational Families/Social Construction of Illness → 백본 Major10 A"
"VI. Advanced & Interdisciplinary Family Theories",10,"탈식민·초국가·교차성 가족이론 (Decolonial, Transnational & Intersectional)","B. 교차성·서사적 가족치료 (Intersectionality & Narrative)",FOLD,"Narrative Family Therapy → Major10 B"
"X. Theoretical Frameworks (X. Global & Transnational)",10,"탈식민·초국가·교차성 가족이론 (Decolonial, Transnational & Intersectional)","A. 토착·탈식민 가족연구 (Indigenous & Decolonizing)",FOLD,"Remittance Economy (Family) → 단발 병합 Major10 A"
"X. Theoretical Frameworks (CCC. Family & Theory)",10,"탈식민·초국가·교차성 가족이론 (Decolonial, Transnational & Intersectional)","B. 교차성·서사적 가족치료 (Intersectionality & Narrative)",FOLD,"Critical Family Studies → 단발 병합 Major10 B"
"X. Theoretical Frameworks (VVV. Family & Theory)",10,"탈식민·초국가·교차성 가족이론 (Decolonial, Transnational & Intersectional)","B. 교차성·서사적 가족치료 (Intersectionality & Narrative)",FOLD,"Family Microaggressions → 단발 병합 Major10 B"
"X. Theoretical Frameworks (II. Family & Sexuality)",10,"탈식민·초국가·교차성 가족이론 (Decolonial, Transnational & Intersectional)","C. 퀴어·LGBTQ+ 가족 (Queer & LGBTQ+ Family)",FOLD,"LGBTQ+ Parenting Theory → 단발 병합 Major10 C"
"X. Theoretical Frameworks (AAA. Family & Therapy)",11,"가족치료 실천 모델 (Family Therapy Practice Models)","A. 전략적·구조적 가족치료 (Strategic & Structural)",FOLD,"Narrative Exposure Therapy (Family Context) → 단발 병합 Major11 A"
"X. Theoretical Frameworks (YY. Family & Therapy)",11,"가족치료 실천 모델 (Family Therapy Practice Models)","A. 전략적·구조적 가족치료 (Strategic & Structural)",FOLD,"Strategic Family Therapy → 단발 병합 Major11 A"
"X. Theoretical Frameworks (ZZ. Family & Therapy)",11,"가족치료 실천 모델 (Family Therapy Practice Models)","A. 전략적·구조적 가족치료 (Strategic & Structural)",FOLD,"Milan Systemic Family Therapy → 단발 병합 Major11 A"
"X. Theoretical Frameworks (XX. Family & Therapy)",11,"가족치료 실천 모델 (Family Therapy Practice Models)","A. 전략적·구조적 가족치료 (Strategic & Structural)",FOLD,"Conjoint Family Therapy → 단발 병합 Major11 A"
"X. Theoretical Frameworks (WWW. Family & Theory)",11,"가족치료 실천 모델 (Family Therapy Practice Models)","B. 서사·이야기 치료 (Narrative & Storytelling Therapy)",FOLD,"Family Storytelling (Therapy) → 단발 병합 Major11 B"
"X. Theoretical Frameworks (TTT. Family & Theory)",11,"가족치료 실천 모델 (Family Therapy Practice Models)","C. 가족생활교육·강점 (Family Life Education & Strengths)",FOLD,"Family Life Education Theory → 단발 병합 Major11 C"
"X. Theoretical Frameworks (ZZZ. Family & Theory)",11,"가족치료 실천 모델 (Family Therapy Practice Models)","C. 가족생활교육·강점 (Family Life Education & Strengths)",FOLD,"Family Strengths Perspective → 단발 병합 Major11 C"
"X. Theoretical Frameworks (C. Ecological)",12,"생태·정책·사회자본 가족이론 (Ecological, Policy & Social Capital)","A. 생태체계 (Ecological Systems)",FOLD,"Exosystem/Macrosystem/Chronosystem (Family) → 백본 Major12 A"
"X. Theoretical Frameworks (H. Lifespan Development)",12,"생태·정책·사회자본 가족이론 (Ecological, Policy & Social Capital)","A. 생태체계 (Ecological Systems)",FOLD,"Transitions and Trajectories (Family) → 단발 병합 Major12 A"
"X. Theoretical Frameworks (A. Social Capital (Family))",12,"생태·정책·사회자본 가족이론 (Ecological, Policy & Social Capital)","B. 사회자본·지지망 (Social Capital & Networks)",FOLD,"Collective Efficacy (Family) → 단발 병합 Major12 B"
"X. Theoretical Frameworks (Applied to Family)",12,"생태·정책·사회자본 가족이론 (Ecological, Policy & Social Capital)","B. 사회자본·지지망 (Social Capital & Networks)",FOLD,"Bridging and Bonding Social Capital (Family) → 단발 병합 Major12 B"
"X. Theoretical Frameworks (TT. Family & Social Capital)",12,"생태·정책·사회자본 가족이론 (Ecological, Policy & Social Capital)","B. 사회자본·지지망 (Social Capital & Networks)",FOLD,"Bonding Capital (Family) → 단발 병합 Major12 B"
"X. Theoretical Frameworks (UU. Family & Social Capital)",12,"생태·정책·사회자본 가족이론 (Ecological, Policy & Social Capital)","B. 사회자본·지지망 (Social Capital & Networks)",FOLD,"Bridging Capital (Family) → 단발 병합 Major12 B"
"X. Theoretical Frameworks (MMM. Family & Theory)",12,"생태·정책·사회자본 가족이론 (Ecological, Policy & Social Capital)","B. 사회자본·지지망 (Social Capital & Networks)",FOLD,"Social Support Networks (Family) → 단발 병합 Major12 B"
"X. Theoretical Frameworks (S. Public Policy)",12,"생태·정책·사회자본 가족이론 (Ecological, Policy & Social Capital)","C. 복지국가·가족정책 (Welfare State & Family Policy)",FOLD,"Welfare State and Family Theory → 단발 병합 Major12 C"
"X. Theoretical Frameworks (RR. Family & Policy)",12,"생태·정책·사회자본 가족이론 (Ecological, Policy & Social Capital)","C. 복지국가·가족정책 (Welfare State & Family Policy)",FOLD,"Familialism → 단발 병합 Major12 C"
"X. Theoretical Frameworks (FF. Family & Policy)",12,"생태·정책·사회자본 가족이론 (Ecological, Policy & Social Capital)","C. 복지국가·가족정책 (Welfare State & Family Policy)",FOLD,"Universal Basic Income (UBI) and Family → 단발 병합 Major12 C"
"X. Theoretical Frameworks (CC. Family & Social Inequality)",12,"생태·정책·사회자본 가족이론 (Ecological, Policy & Social Capital)","C. 복지국가·가족정책 (Welfare State & Family Policy)",FOLD,"Cumulative Disadvantage Theory (Family) → 단발 병합 Major12 C"
"X. Theoretical Frameworks (Y. Family & Mental Health)",13,"가족 건강·스트레스·회복탄력성 (Family Health, Stress & Resilience)","A. 가족 부담·정신건강 (Family Burden & Mental Health)",FOLD,"Family Burden Theory (Mental Health) → 단발 병합 Major13 A"
"X. Theoretical Frameworks (K. Health Sociology)",13,"가족 건강·스트레스·회복탄력성 (Family Health, Stress & Resilience)","A. 가족 부담·정신건강 (Family Burden & Mental Health)",FOLD,"Social Support Theory (Family Health) → 단발 병합 Major13 A"
"X. Theoretical Frameworks (HH. Family & Health)",13,"가족 건강·스트레스·회복탄력성 (Family Health, Stress & Resilience)","A. 가족 부담·정신건강 (Family Burden & Mental Health)",FOLD,"Social Support and Family Health → 단발 병합 Major13 A"
"X. Theoretical Frameworks (G. Social Stress)",13,"가족 건강·스트레스·회복탄력성 (Family Health, Stress & Resilience)","B. 가족 스트레스·만성 슬픔 (Family Stress & Chronic Sorrow)",FOLD,"Acute vs. Chronic Stress (Family) → 단발 병합 Major13 B"
"X. Theoretical Frameworks (VV. Family & Stress)",13,"가족 건강·스트레스·회복탄력성 (Family Health, Stress & Resilience)","B. 가족 스트레스·만성 슬픔 (Family Stress & Chronic Sorrow)",FOLD,"Chronic Sorrow (Family) → 단발 병합 Major13 B"
"X. Theoretical Frameworks (V. Disability Studies)",13,"가족 건강·스트레스·회복탄력성 (Family Health, Stress & Resilience)","C. 가족 회복탄력성·강인성 (Family Resilience & Hardiness)",FOLD,"Family Resilience and Disability → 단발 병합 Major13 C"
"X. Theoretical Frameworks (WW. Family & Resilience)",13,"가족 건강·스트레스·회복탄력성 (Family Health, Stress & Resilience)","C. 가족 회복탄력성·강인성 (Family Resilience & Hardiness)",FOLD,"Hardiness (Family) → 단발 병합 Major13 C"
"X. Theoretical Frameworks (BB. Family & Technology)",14,"디지털 시대 가족·여가 (Digital Age Family & Leisure)","A. 디지털·테크노 가족 (Digital & Technofamily)",FOLD,"Digital Family Rhythms → 단발 병합 Major14 A"
"X. Theoretical Frameworks (JJ. Family & Technology)",14,"디지털 시대 가족·여가 (Digital Age Family & Leisure)","A. 디지털·테크노 가족 (Digital & Technofamily)",FOLD,"Technofamily Theory → 단발 병합 Major14 A"
"X. Theoretical Frameworks (EEE. Family & Theory)",14,"디지털 시대 가족·여가 (Digital Age Family & Leisure)","B. 가상·포스트휴먼 가족 (Virtual & Posthuman Family)",FOLD,"Virtual Family (Sociology) → 단발 병합 Major14 B"
"X. Theoretical Frameworks (DDD. Family & Theory)",14,"디지털 시대 가족·여가 (Digital Age Family & Leisure)","B. 가상·포스트휴먼 가족 (Virtual & Posthuman Family)",FOLD,"Posthuman Family → 단발 병합 Major14 B"
"X. Theoretical Frameworks (XXX. Family & Theory)",14,"디지털 시대 가족·여가 (Digital Age Family & Leisure)","C. 가족 여가 (Family Leisure)",FOLD,"Family Leisure Theory → 단발 병합 Major14 C"
