OldTrueMajor,NewMajorNo,NewMajorName,NewSub,Action,Note
"CXXXVIII. Disability Studies (Narrative)",III,Identity-Based & Political,D. Disability Studies,merge,"Narrative prosthesis folded in"
"IV. Psychoanalytic",IV,Psychoanalytic & Psychological,A. Freudian & Lacanian,keep,"Canonical anchor for psychoanalysis"
"IV. Psychoanalytic & Psychological Approaches",IV,Psychoanalytic & Psychological,A. Freudian & Lacanian,dedup,"Twin label of canonical IV; same canonical"
"XVIII. Psychoanalytic",IV,Psychoanalytic & Psychological,A. Freudian & Lacanian,merge,"Trauma theory variant folded into Psychoanalytic"
"XVIII. Psychoanalytic (Expanded)",IV,Psychoanalytic & Psychological,A. Freudian & Lacanian,merge,"Jouissance folded into Freudian/Lacanian"
"LX. Psychoanalysis (Beyond Freud/Lacan)",IV,Psychoanalytic & Psychological,B. Object Relations & Post-Freudian,merge,"Kleinian criticism folded in"
"XLVI. Psychoanalysis (Object Relations)",IV,Psychoanalytic & Psychological,B. Object Relations & Post-Freudian,merge,"Object relations folded in"
"LXX. Psychoanalytic (Recent Developments)",IV,Psychoanalytic & Psychological,B. Object Relations & Post-Freudian,merge,"Neuropsychoanalysis folded in"
"XXXVII. Psychotherapy (Applied to Literature)",IV,Psychoanalytic & Psychological,B. Object Relations & Post-Freudian,merge,"Existential psychology folded in"
"LXXXII. Psychoanalysis (Social Applications)",IV,Psychoanalytic & Psychological,C. Political & Social Psychoanalysis,merge,"Ideological fantasy folded in"
"LXXXIX. Psychoanalysis (Political)",IV,Psychoanalytic & Psychological,C. Political & Social Psychoanalysis,merge,"Political unconscious folded in"
"V. Historical",V,Historical & Cultural Materialist,A. New Historicism & Cultural Poetics,keep,"Canonical anchor for historical/cultural studies"
"V. Historical & Sociological Approaches",V,Historical & Cultural Materialist,A. New Historicism & Cultural Poetics,dedup,"Twin label of canonical V; same canonical"
"LV. New Historicism (Advanced)",V,Historical & Cultural Materialist,A. New Historicism & Cultural Poetics,merge,"Cultural poetics folded in"
"LXI. Cultural Studies (Specific Methodologies)",V,Historical & Cultural Materialist,B. Cultural Studies,merge,"Encoding/decoding folded in"
"LXXI. Cultural Studies (Advanced)",V,Historical & Cultural Materialist,B. Cultural Studies,merge,"Popular culture folded in"
"LXXXI. Cultural Studies (Global)",V,Historical & Cultural Materialist,B. Cultural Studies,merge,"Global cultural flows folded in"
"XCI. Cultural Studies (Specific Figures)",V,Historical & Cultural Materialist,B. Cultural Studies,merge,"Raymond Williams folded in"
"XXXIX. Cultural Studies (Specific Focus)",V,Historical & Cultural Materialist,B. Cultural Studies,merge,"Subculture theory folded in"
"CVI. Literary Sociology",V,Historical & Cultural Materialist,B. Cultural Studies,merge,"Literary field theory (Bourdieu) folded in"
"XCII. Memory Studies (Cultural Context)",V,Historical & Cultural Materialist,C. Memory & Book History,merge,"Cultural memory folded in"
"CXXVI. Trauma Studies (Memory)",V,Historical & Cultural Materialist,C. Memory & Book History,merge,"Mnemohistory folded in"
"CXLVII. Trauma Studies (Cultural Memory)",V,Historical & Cultural Materialist,C. Memory & Book History,merge,"Cultural memory of trauma folded in"
"XL. History of the Book (Applied to Criticism)",V,Historical & Cultural Materialist,C. Memory & Book History,merge,"Print culture folded in"
"CXXII. Book History (Literary)",V,Historical & Cultural Materialist,C. Memory & Book History,merge,"Material textuality folded in"
"CXL. Literary History (Methodological)",V,Historical & Cultural Materialist,C. Memory & Book History,merge,"Literary periodization folded in"
"CXXI. Neo-Victorian Studies",V,Historical & Cultural Materialist,C. Memory & Book History,merge,"Neo-Victorian studies folded in"
"XLVIII. Critical Theory (Applied to Criticism)",VI,Marxist & Materialist,A. Frankfurt School & Critical Theory,merge,"Frankfurt School aesthetics folded into Marxist"
"XIV. Marxist",VI,Marxist & Materialist,B. Althusserian & Ideology,keep,"Canonical anchor for Marxist criticism"
"XIV. Marxist & Materialist (Expanded)",VI,Marxist & Materialist,B. Althusserian & Ideology,merge,"Post-Marxist criticism folded in"
"LXIV. Marxism (Specific Tendencies)",VI,Marxist & Materialist,B. Althusserian & Ideology,merge,"Althusserian Marxism folded in"
"XLIX. Marxism (Advanced)",VI,Marxist & Materialist,C. Commodity & Political Economy,merge,"Commodity fetishism folded in"
"VI. Phenomenological",VII,Phenomenological & Hermeneutic,A. Hermeneutics,keep,"Canonical anchor for phenomenology/hermeneutics"
"VI. Phenomenological & Hermeneutic Approaches",VII,Phenomenological & Hermeneutic,A. Hermeneutics,dedup,"Twin label of canonical VI; same canonical"
"LXXII. Hermeneutics (Philosophical Extensions)",VII,Phenomenological & Hermeneutic,A. Hermeneutics,merge,"Gadamerian hermeneutics folded in"
"XLIII. Philosophical Criticism",VII,Phenomenological & Hermeneutic,A. Hermeneutics,merge,"Hermeneutics of suspicion folded in"
"XXVII. Aesthetics (Philosophical)",VII,Phenomenological & Hermeneutic,B. Aesthetics & Phenomenology of Reading,merge,"Aesthetic value theory folded in"
"XLII. Aesthetics (Contemporary)",VII,Phenomenological & Hermeneutic,B. Aesthetics & Phenomenology of Reading,merge,"Disinterest (aesthetic) folded in"
"XV. Reader-Response",VII,Phenomenological & Hermeneutic,C. Reader-Response & Reception,merge,"Affective stylistics folded into reception"
"XV. Reader-Response (Expanded)",VII,Phenomenological & Hermeneutic,C. Reader-Response & Reception,merge,"Aesthetic of reception folded in"
"LI. Reader-Response (Advanced)",VII,Phenomenological & Hermeneutic,C. Reader-Response & Reception,merge,"Affective response folded in"
"XXXI. Reader-Response (Advanced)",VII,Phenomenological & Hermeneutic,C. Reader-Response & Reception,merge,"Implied reader folded in"
"LXIII. Reception Theory (Specifics)",VII,Phenomenological & Hermeneutic,C. Reader-Response & Reception,merge,"Horizon of expectation folded in"
"CL. Reader-Response (Aesthetics)",VII,Phenomenological & Hermeneutic,C. Reader-Response & Reception,merge,"Aesthetic of engagement folded in"
"VII. Rhetorical",VIII,Rhetorical & Discourse,A. Rhetorical Criticism & Dramatism,keep,"Canonical anchor for rhetoric"
"VII. Rhetorical & Discourse Approaches",VIII,Rhetorical & Discourse,A. Rhetorical Criticism & Dramatism,dedup,"Twin label of canonical VII; same canonical"
"LVI. Rhetoric (Advanced)",VIII,Rhetorical & Discourse,A. Rhetorical Criticism & Dramatism,merge,"Ideology (rhetoric) folded in"
"LXXXIII. Rhetoric (New Rhetorics)",VIII,Rhetorical & Discourse,A. Rhetorical Criticism & Dramatism,merge,"New rhetorics folded in"
"CII. Rhetoric of Fiction",VIII,Rhetorical & Discourse,B. Narrative Rhetoric & Ethics,merge,"Implied author theory folded in"
"CXXXIX. Literary Ethics",VIII,Rhetorical & Discourse,B. Narrative Rhetoric & Ethics,merge,"Ethical criticism folded in"
"VIII. Ecological",IX,Ecological & Environmental,A. Ecocriticism,keep,"Canonical anchor for ecocriticism"
"VIII. Ecological & Environmental Approaches",IX,Ecological & Environmental,A. Ecocriticism,dedup,"Twin label of canonical VIII; same canonical"
"XVI. Ecocriticism",IX,Ecological & Environmental,A. Ecocriticism,merge,"Environmental justice variant folded in"
"XVI. Ecocriticism (Expanded)",IX,Ecological & Environmental,A. Ecocriticism,merge,"Material ecocriticism folded in"
"XXXV. Ecocriticism (Specifics)",IX,Ecological & Environmental,A. Ecocriticism,merge,"Pastoral/wilderness folded in"
"LXV. Ecocriticism (Beyond Literary)",IX,Ecological & Environmental,A. Ecocriticism,merge,"Anthropocentric bias folded in"
"LXXVII. Ecocriticism (Beyond Nature)",IX,Ecological & Environmental,A. Ecocriticism,merge,"Urban ecocriticism folded in"
"CIX. Ecocriticism (Narrative)",IX,Ecological & Environmental,A. Ecocriticism,merge,"Environmental narrative folded in"
"CXVIII. Ecocriticism (Post-Pastoral)",IX,Ecological & Environmental,A. Ecocriticism,merge,"Post-pastoral folded in"
"XLIV. Ecocriticism (Deep Dive)",IX,Ecological & Environmental,B. Dark Ecology & Anthropocene,merge,"Dark ecology folded in"
"LVII. Environmental Humanities (Critical)",IX,Ecological & Environmental,B. Dark Ecology & Anthropocene,merge,"Anthropocene criticism folded in"
"LXXXV. Ecocriticism (Future-Oriented)",IX,Ecological & Environmental,B. Dark Ecology & Anthropocene,merge,"Solastalgia folded in"
"CXXXV. Ecocriticism (Beyond Landscape)",IX,Ecological & Environmental,B. Dark Ecology & Anthropocene,merge,"Petrocriticism folded in"
"XCVII. Feminist Criticism (Specific Focus)",IX,Ecological & Environmental,C. Ecofeminism & Environmental Justice,merge,"Ecofeminist criticism folded into ecological"
"CXLVI. Literary Anthropology",IX,Ecological & Environmental,C. Ecofeminism & Environmental Justice,merge,"Ritual and literature folded in (eco-anthropological)"
"IX. Digital",X,Digital & Media-Specific,A. Digital Humanities & Hypertext,keep,"Canonical anchor for digital/media criticism (film-critical)"
"IX. Digital & Media-Specific Approaches",X,Digital & Media-Specific,A. Digital Humanities & Hypertext,dedup,"Twin label of canonical IX; same canonical"
"XVII. Digital Humanities",X,Digital & Media-Specific,A. Digital Humanities & Hypertext,merge,"Media archaeology folded in"
"XVII. Digital Humanities (Expanded)",X,Digital & Media-Specific,A. Digital Humanities & Hypertext,merge,"Distant reading folded in"
"XXXVI. Digital Humanities (Specifics)",X,Digital & Media-Specific,B. Computational & Cultural Analytics,merge,"Text mining folded in"
"XLV. Digital Humanities (Advanced)",X,Digital & Media-Specific,B. Computational & Cultural Analytics,merge,"Cultural analytics folded in"
"LXVI. Digital Humanities (Theoretical)",X,Digital & Media-Specific,B. Computational & Cultural Analytics,merge,"Algorithmic criticism folded in"
"LXXXVI. Digital Humanities (Data)",X,Digital & Media-Specific,B. Computational & Cultural Analytics,merge,"Data visualization folded in"
"CXLIV. Digital Literary Studies (Specifics)",X,Digital & Media-Specific,B. Computational & Cultural Analytics,merge,"Computational stylistics folded in"
"LXXIX. Digital Humanities (New Fields)",X,Digital & Media-Specific,C. Platform & Media Studies,merge,"Platform studies folded in"
"CX. Digital Textuality",X,Digital & Media-Specific,C. Platform & Media Studies,merge,"Born-digital literature folded in"
"CXXX. Digital Literary Studies",X,Digital & Media-Specific,C. Platform & Media Studies,merge,"Electronic literature folded in"
"XLI. Media Studies (Applied to Criticism)",X,Digital & Media-Specific,C. Platform & Media Studies,merge,"Intermediality folded in"
"XXIV. Sound Studies (Applied to Criticism)",X,Digital & Media-Specific,C. Platform & Media Studies,merge,"Sound studies folded into media-specific"
"XXV. Visual Culture Studies (Applied to Criticism)",X,Digital & Media-Specific,C. Platform & Media Studies,merge,"Iconology/visual culture folded in"
"CXXV. Eco-Media Studies",X,Digital & Media-Specific,C. Platform & Media Studies,merge,"Media ecologies folded in"
"X. Intertextual",XI,Intertextual & Comparative,A. Intertextuality,keep,"Canonical anchor for intertextuality"
"X. Intertextual & Comparative Approaches",XI,Intertextual & Comparative,A. Intertextuality,dedup,"Twin label of canonical X; same canonical"
"XCV. Intertextuality (Advanced)",XI,Intertextual & Comparative,A. Intertextuality,merge,"Parody folded into intertextuality"
"XCVI. Intertextuality (Advanced)",XI,Intertextual & Comparative,A. Intertextuality,merge,"Pastiche folded in; twin-numbered with XCV"
"CXXXVI. Intertextuality (Specific Types)",XI,Intertextual & Comparative,A. Intertextuality,merge,"Allusion folded in"
"CVII. Transnational Literary Studies",XI,Intertextual & Comparative,B. Comparative & Adaptation,merge,"Transnational literary studies folded in"
"XXII. Performance Studies (Applied to Criticism)",XI,Intertextual & Comparative,C. Adaptation & Performance,merge,"Performativity folded into adaptation/performance"
"CXLI. Performance Studies (Literary)",XI,Intertextual & Comparative,C. Adaptation & Performance,merge,"Script vs performance folded in"
"CXLII. Genre Theory (Literary)",XI,Intertextual & Comparative,C. Adaptation & Performance,merge,"Generic hybridity folded in"
"XI. Affect Theory",XII,Affect & Sensory,A. Affect Theory,keep,"Canonical anchor for affect/sensory criticism (film-critical)"
"XI. Affect Theory & Phenomenology",XII,Affect & Sensory,A. Affect Theory,dedup,"Twin label of canonical XI; same canonical"
"LXXX. Affect Theory (Applied to Arts)",XII,Affect & Sensory,A. Affect Theory,merge,"Aesthetics of affect folded in"
"CXXVIII. Affect Theory (Reading Experience)",XII,Affect & Sensory,A. Affect Theory,merge,"Reading affects folded in"
"CVIII. Affective Poetics",XII,Affect & Sensory,B. Embodied & Sensory Reading,merge,"Embodied reading folded in"
"CXLIII. Literary Theory of Emotions",XII,Affect & Sensory,B. Embodied & Sensory Reading,merge,"Poetics of emotion folded in"
"LVIII. Trauma Studies (Advanced)",XII,Affect & Sensory,C. Trauma & Witnessing,merge,"Unrepresentability (trauma) folded into affect/trauma"
"CXII. Trauma Theory (Beyond Representation)",XII,Affect & Sensory,C. Trauma & Witnessing,merge,"Witnessing folded in"
"XII. Systems Theory & Complexity",XIII,Systems & Complexity,A. Systems & Autopoiesis,keep,"Canonical anchor for systems theory"
"XXVI. Systems Theory (Applied to Culture)",XIII,Systems & Complexity,A. Systems & Autopoiesis,merge,"Autopoiesis folded into systems theory"
"XIII. Cognitive Approaches",XIV,Cognitive & Evolutionary,A. Cognitive Literary Studies,keep,"Canonical anchor for cognitive criticism"
"C. Narrative Theory (Cognitive Aspects)",XIV,Cognitive & Evolutionary,A. Cognitive Literary Studies,merge,"Narrative comprehension folded into cognitive"
"XXXII. Cognitive Literary Theory (Specifics)",XIV,Cognitive & Evolutionary,A. Cognitive Literary Studies,merge,"Schema theory folded in"
"XCIII. Cognitive Literary Theory (Aesthetics)",XIV,Cognitive & Evolutionary,A. Cognitive Literary Studies,merge,"Cognitive aesthetics folded in"
"CV. Cognitive Narratology",XIV,Cognitive & Evolutionary,A. Cognitive Literary Studies,merge,"Possible worlds theory folded in"
"CXIV. Cognitive Rhetoric",XIV,Cognitive & Evolutionary,A. Cognitive Literary Studies,merge,"Conceptual metaphor theory folded in"
"CXXIV. Neuroaesthetics (Literary)",XIV,Cognitive & Evolutionary,A. Cognitive Literary Studies,merge,"Neuroaesthetics folded in"
"CXXXVII. Narrative Theory (Cognitive)",XIV,Cognitive & Evolutionary,A. Cognitive Literary Studies,merge,"Narrative transportation folded in"
"LXXVI. Narrative Theory (Beyond Structure)",XIV,Cognitive & Evolutionary,A. Cognitive Literary Studies,merge,"Unreliable narration folded in"
"CXIX. Literary Darwinism",XIV,Cognitive & Evolutionary,B. Evolutionary Literary Theory,merge,"Literary Darwinism folded in"
"XIX. Interdisciplinary",XV,Interdisciplinary & Emerging,A. New Materialism & Thing Theory,keep,"Canonical anchor for interdisciplinary/new materialism"
"XIX. Interdisciplinary & Emerging Approaches",XV,Interdisciplinary & Emerging,A. New Materialism & Thing Theory,dedup,"Twin label of canonical XIX; same canonical"
"LIX. Thing Theory (Advanced)",XV,Interdisciplinary & Emerging,A. New Materialism & Thing Theory,merge,"Object-oriented literary criticism folded in"
"XXIII. Archival Studies (Applied to Criticism)",XV,Interdisciplinary & Emerging,A. New Materialism & Thing Theory,merge,"Archive theory folded into interdisciplinary"
"XXI. Critical Legal Studies (Applied to Criticism)",XV,Interdisciplinary & Emerging,A. New Materialism & Thing Theory,merge,"Law and literature folded in"
"XX. Post-Humanist",XVI,Post-Humanist & Non-Human,A. Posthumanism & Cyborg Theory,keep,"Canonical anchor for posthumanism"
"XX. Post-Humanist & Non-Human",XVI,Post-Humanist & Non-Human,A. Posthumanism & Cyborg Theory,dedup,"Twin label of canonical XX; same canonical"
"LXXVIII. Posthumanism (Ethics)",XVI,Post-Humanist & Non-Human,A. Posthumanism & Cyborg Theory,merge,"Posthuman ethics folded in"
"CXXVII. Posthumanism (Literary Ethics)",XVI,Post-Humanist & Non-Human,A. Posthumanism & Cyborg Theory,merge,"Posthuman ethics (literary) folded in"
"CXVI. Posthumanism (Agency)",XVI,Post-Humanist & Non-Human,B. Distributed Agency & OOO,merge,"Distributed agency folded in"
"CXLVIII. Posthumanism (Agency of Things)",XVI,Post-Humanist & Non-Human,B. Distributed Agency & OOO,merge,"Actant-network theory folded in"
"XCIX. Posthumanism (Non-Western)",XVI,Post-Humanist & Non-Human,B. Distributed Agency & OOO,merge,"New animism folded in"
"XLVII. Posthumanism (Non-Western)",XVI,Post-Humanist & Non-Human,C. Animal Studies,merge,"Animal Studies (Literary) folded in"
"XLVII. Posthumanism (Specific)",XVI,Post-Humanist & Non-Human,C. Animal Studies,merge,"Animal Studies (Criticism) folded in; twin of XLVII above"
"CXXIX. Critical Animal Studies (Narrative)",XVI,Post-Humanist & Non-Human,C. Animal Studies,merge,"Animal narratives folded in"
"CXLV. Critical Animal Studies (Ethics)",XVI,Post-Humanist & Non-Human,C. Animal Studies,merge,"Posthuman ethics (animals) folded in"
