theorist,concept,native,one_liner,part,major,sub,era,source,confidence
Emily M. Bender,Data Statements for NLP,,Documenting dataset context to expose bias and limit overgeneralization.,Critics,Digital & Media-Specific,B. Computational & Cultural Analytics,Contemporary,Web,high
Enrique Dussel,Philosophy of Liberation,Filosofía de la Liberación,Ethics centered on the excluded Other of the global system.,Politics,"Postcolonial, Feminist & Environmental Politics",A. Postcolonial & Decolonial Politics,Modern,DB,high
Enrique Dussel,Transmodernity,Transmodernidad,Future beyond modernity drawing on the silenced periphery's resources.,Politics,"Postcolonial, Feminist & Environmental Politics",A. Postcolonial & Decolonial Politics,Modern,DB,high
Enrique Dussel,Underside of Modernity,El reverso de la modernidad,Modernity's hidden violence and exploitation of the colonized.,Politics,"Postcolonial, Feminist & Environmental Politics",A. Postcolonial & Decolonial Politics,Modern,DB,high
Enrique Dussel,Exteriority,Exterioridad,The Other standing outside and beyond the dominant totality.,Politics,"Postcolonial, Feminist & Environmental Politics",A. Postcolonial & Decolonial Politics,Modern,Knowledge,high
Enrique Dussel,Analectics,Analéctica,Method beginning from the voice of the excluded Other.,Politics,"Postcolonial, Feminist & Environmental Politics",A. Postcolonial & Decolonial Politics,Modern,Knowledge,med
E. Patrick Johnson,Black Queer Performance,,Black queer identity enacted and embodied through performance.,Critics,Identity-Based & Political,B. Queer Theory,Contemporary,DB,high
E. Patrick Johnson,Quare Studies,,Vernacular Black reworking of queer theory grounded in lived experience.,Critics,Identity-Based & Political,B. Queer Theory,Contemporary,DB,high
E. Patrick Johnson,Sweet Tea,,Oral history archive of Black gay men in the American South.,Critics,Identity-Based & Political,B. Queer Theory,Contemporary,DB,high
E. Patrick Johnson,Appropriating Blackness,,Performances of authentic blackness as contested cultural property.,Critics,Identity-Based & Political,B. Queer Theory,Contemporary,Knowledge,med
Eli Clare,Brilliant Imperfection,,Embracing disability against the drive to fix damaged bodies.,Critics,Identity-Based & Political,D. Disability Studies,Contemporary,DB,high
Eli Clare,Cure Ideology,,Critique of the cultural imperative to eradicate disability.,Critics,Identity-Based & Political,D. Disability Studies,Contemporary,DB,high
Eli Clare,Exile and Pride,,Linking disability queerness and rural class roots in identity.,Critics,Identity-Based & Political,D. Disability Studies,Contemporary,DB,high
Eli Clare,The Body as Home,,Reclaiming the disabled body as a place of belonging.,Critics,Identity-Based & Political,D. Disability Studies,Contemporary,Knowledge,med
Fabian Holt,Genre in Popular Music,,How musical genre categories are culturally constructed and policed.,ART,Music & Sound Studies,A. Sociology & Politics of Music,Contemporary,DB,high
Fabian Holt,Cultural Taxonomy,,Classification systems that organize and stratify musical meaning.,ART,Music & Sound Studies,A. Sociology & Politics of Music,Contemporary,DB,high
Fabian Holt,Musical Performance,,Live music as situated social and cultural practice.,ART,Music & Sound Studies,A. Sociology & Politics of Music,Contemporary,DB,high
Fabian Holt,Live Music Economy,,Concerts and venues as a distinct music industry sector.,ART,Music & Sound Studies,A. Sociology & Politics of Music,Contemporary,Knowledge,med
Frances Negrón-Muntaner,Boricua Popular Culture,,Puerto Rican identity expressed through diasporic popular culture.,Culture,Global & Transnational Culture,B. Diaspora & Deterritorialization,Contemporary,DB,high
Frances Negrón-Muntaner,Latino/a Media Studies,,Critical study of Latino representation in U.S. media.,Culture,Global & Transnational Culture,B. Diaspora & Deterritorialization,Contemporary,DB,high
Frances Negrón-Muntaner,The Latino Media Gap,,Empirical documentation of Latino underrepresentation across media industries.,Culture,Global & Transnational Culture,B. Diaspora & Deterritorialization,Contemporary,DB,high
Frances Negrón-Muntaner,Boricua Shame and Pride,,Diasporic Puerto Rican identity oscillating between shame and pride.,Culture,Global & Transnational Culture,B. Diaspora & Deterritorialization,Contemporary,Knowledge,med
Francesca Royster,Black Country Music,,Reclaiming Black presence and roots in country music.,ART,Music & Sound Studies,A. Sociology & Politics of Music,Contemporary,DB,high
Francesca Royster,Black Queer Studies,,Black queer aesthetics in sound and popular performance.,ART,Music & Sound Studies,A. Sociology & Politics of Music,Contemporary,DB,high
Francesca Royster,Sounding Queer,,Hearing queerness in the textures of Black musical performance.,ART,Music & Sound Studies,A. Sociology & Politics of Music,Contemporary,DB,high
Francesca Royster,Post-Soul Eccentricity,,Eccentric Black post-soul performers exceeding racial expectation.,ART,Music & Sound Studies,A. Sociology & Politics of Music,Contemporary,Knowledge,med
"Franco ""Bifo"" Berardi",Semiocapitalism,,Capitalism that exploits signs information and mental labor.,Culture,Post-Structuralism & Postmodernism,A. Simulation & Hyperreality,Contemporary,DB,high
"Franco ""Bifo"" Berardi",The Soul at Work,L'anima al lavoro,How capitalism puts emotion and subjectivity itself to work.,Culture,Post-Structuralism & Postmodernism,A. Simulation & Hyperreality,Contemporary,DB,high
"Franco ""Bifo"" Berardi",Futurability,,The plural possible futures latent in the present.,Culture,Post-Structuralism & Postmodernism,A. Simulation & Hyperreality,Contemporary,DB,high
"Franco ""Bifo"" Berardi",Cognitariat,,The networked precarious class of cognitive digital laborers.,Culture,Post-Structuralism & Postmodernism,A. Simulation & Hyperreality,Contemporary,Knowledge,high
"Franco ""Bifo"" Berardi",Psychic Numbing / Depression,,Late-capitalist sensory overload producing collective psychic exhaustion.,Culture,Post-Structuralism & Postmodernism,A. Simulation & Hyperreality,Contemporary,Knowledge,med
Frank Pasquale,The Black Box Society,,Hidden algorithms that secretly govern money and information.,LAW,"Digital, Technology & AI Law","B. AI, Algorithms & Automated Decision-Making",Contemporary,DB,high
Frank Pasquale,Algorithmic Accountability,,Demanding transparency and answerability for automated decisions.,LAW,"Digital, Technology & AI Law","B. AI, Algorithms & Automated Decision-Making",Contemporary,DB,high
Frank Pasquale,Algorithmic Governance,,Rule and regulation increasingly delegated to automated systems.,LAW,"Digital, Technology & AI Law","B. AI, Algorithms & Automated Decision-Making",Contemporary,DB,high
Frank Pasquale,New Laws of Robotics,,Principles keeping AI complementary to rather than replacing humans.,LAW,"Digital, Technology & AI Law","B. AI, Algorithms & Automated Decision-Making",Contemporary,DB,high
Frank Pasquale,Platform Regulation,,Legal frameworks for governing dominant digital platforms.,LAW,"Digital, Technology & AI Law","B. AI, Algorithms & Automated Decision-Making",Contemporary,DB,high
Frank Pasquale,Law of the Sharing Economy,,Legal theory addressing platform-mediated gig and sharing markets.,LAW,"Digital, Technology & AI Law","B. AI, Algorithms & Automated Decision-Making",Contemporary,DB,med
Frantz Fanon,"Black Skin, White Masks",Peau noire masques blancs,Psychoanalysis of the colonized subject's alienated racial self.,Politics,"Postcolonial, Feminist & Environmental Politics",A. Postcolonial & Decolonial Politics,Modern,DB,high
Frantz Fanon,The Wretched of the Earth,Les Damnés de la Terre,Decolonization through the violence and reinvention of the colonized.,Politics,"Postcolonial, Feminist & Environmental Politics",A. Postcolonial & Decolonial Politics,Modern,DB,high
Frantz Fanon,Pitfalls of National Consciousness,,How postcolonial nationalism betrays the people into new domination.,Politics,"Postcolonial, Feminist & Environmental Politics",A. Postcolonial & Decolonial Politics,Modern,DB,high
Frantz Fanon,Manichaeism of the Colonial World,,Colonial space split into opposed compartments of settler and native.,Politics,"Postcolonial, Feminist & Environmental Politics",A. Postcolonial & Decolonial Politics,Modern,Knowledge,high
Frantz Fanon,Decolonial Violence,,Violence as cleansing force restoring the colonized's self-respect.,Politics,"Postcolonial, Feminist & Environmental Politics",A. Postcolonial & Decolonial Politics,Modern,Knowledge,high
Fred Moten,In the Break,,Black radical aesthetics arising in improvisation's ruptures.,Critics,Identity-Based & Political,C. Postcolonial & Critical Race,Contemporary,DB,high
Fred Moten,The Undercommons,,Fugitive collective study beneath and against the university.,Critics,Identity-Based & Political,C. Postcolonial & Critical Race,Contemporary,DB,high
Fred Moten,Black Performance,,Blackness as a performative tradition of resistant aesthetic expression.,Critics,Identity-Based & Political,C. Postcolonial & Critical Race,Contemporary,DB,high
Fred Moten,Fugitivity,,Black escape that refuses capture by sovereign order.,Critics,Identity-Based & Political,C. Postcolonial & Critical Race,Contemporary,Knowledge,high
Fred Moten,The Resistance of the Object,,The commodity that screams refusing pure objecthood.,Critics,Identity-Based & Political,C. Postcolonial & Critical Race,Contemporary,Knowledge,med
Fredric Jameson,Cognitive Mapping,,Aesthetic of locating oneself within global capitalist totality.,Critics,Marxist & Materialist,A. Frankfurt School & Critical Theory,Modern,DB,high
Fredric Jameson,The Political Unconscious,,Narratives as symbolic resolutions of real social contradictions.,Critics,Marxist & Materialist,A. Frankfurt School & Critical Theory,Modern,DB,high
Fredric Jameson,Postmodernism,,Postmodernism as the cultural logic of late capitalism.,Critics,Marxist & Materialist,A. Frankfurt School & Critical Theory,Modern,DB,high
Fredric Jameson,Pastiche,,Blank depthless imitation replacing critical parody.,Critics,Marxist & Materialist,A. Frankfurt School & Critical Theory,Modern,DB,high
Fredric Jameson,Waning of Affect,,Decline of deep feeling in fragmented postmodern subjectivity.,Critics,Marxist & Materialist,A. Frankfurt School & Critical Theory,Modern,DB,high
Fredric Jameson,"Always Historicize",,The imperative to read all cultural texts historically.,Critics,Marxist & Materialist,A. Frankfurt School & Critical Theory,Modern,Knowledge,high
Friedrich Hayek,Spontaneous Order,,Complex social order emerging without central design.,Economics,Institutional & Evolutionary Economics,Evolutionary Economics,Modern,DB,high
Friedrich Hayek,The Knowledge Problem,,Dispersed local knowledge that central planners cannot aggregate.,Economics,Institutional & Evolutionary Economics,Evolutionary Economics,Modern,DB,high
Friedrich Hayek,The Road to Serfdom,,Central planning as a path toward totalitarian control.,Economics,Institutional & Evolutionary Economics,Evolutionary Economics,Modern,DB,high
Friedrich Hayek,Price as Information,,Prices as signals coordinating dispersed economic knowledge.,Economics,Institutional & Evolutionary Economics,Evolutionary Economics,Modern,Knowledge,high
Friedrich Hayek,Catallaxy,,The spontaneous market order of voluntary exchange.,Economics,Institutional & Evolutionary Economics,Evolutionary Economics,Modern,Knowledge,med
Friedrich Nietzsche,Will to Power,Wille zur Macht,Life's fundamental drive toward growth and self-overcoming.,Politics,Classical & Pre-Modern Political Thought,A. Ancient Greek Philosophy,Classical,DB,high
Friedrich Nietzsche,Eternal Recurrence,Ewige Wiederkunft,Affirming life as if willing its infinite repetition.,Politics,Classical & Pre-Modern Political Thought,A. Ancient Greek Philosophy,Classical,DB,high
Friedrich Nietzsche,Dionysian and Apollonian,,Tragic art born of ecstatic chaos and ordered form.,Politics,Classical & Pre-Modern Political Thought,A. Ancient Greek Philosophy,Classical,DB,high
Friedrich Nietzsche,Use and Abuse of History,,How excess historical consciousness can paralyze living action.,Politics,Classical & Pre-Modern Political Thought,A. Ancient Greek Philosophy,Classical,DB,high
Friedrich Nietzsche,Übermensch,Übermensch,The self-creating individual who forges values beyond herd morality.,Politics,Classical & Pre-Modern Political Thought,A. Ancient Greek Philosophy,Classical,Knowledge,high
Friedrich Nietzsche,Ressentiment / Slave Morality,,Morality born of the powerless's resentment against the strong.,Politics,Classical & Pre-Modern Political Thought,A. Ancient Greek Philosophy,Classical,Knowledge,high
G.N. Devy,After Amnesia,,Recovering Indian literary traditions erased by colonial forgetting.,Culture,Global & Transnational Culture,E. Indigenous & Decolonial Culture,Contemporary,DB,high
G.N. Devy,Linguistic Diversity,,India's vast endangered multiplicity of living languages.,Culture,Global & Transnational Culture,E. Indigenous & Decolonial Culture,Contemporary,DB,high
G.N. Devy,People's Linguistic Survey of India,,Grassroots survey documenting India's hundreds of spoken languages.,Culture,Global & Transnational Culture,E. Indigenous & Decolonial Culture,Contemporary,DB,high
G.N. Devy,Adivasi Voice,,Centering India's indigenous tribal cultures and expressions.,Culture,Global & Transnational Culture,E. Indigenous & Decolonial Culture,Contemporary,Knowledge,med
Gabriella Coleman,Coding Freedom,,Hacker ethics and the cultural politics of free software.,Culture,"Digital, Media & Algorithmic Culture",A. Networked & Participatory Culture,Contemporary,DB,high
Gabriella Coleman,Anonymous,,Ethnography of the masked hacktivist collective Anonymous.,Culture,"Digital, Media & Algorithmic Culture",A. Networked & Participatory Culture,Contemporary,DB,high
Gabriella Coleman,"Hacker, Hoaxer, Whistleblower, Spy",,The many faces and tactics of online hacktivism.,Culture,"Digital, Media & Algorithmic Culture",A. Networked & Participatory Culture,Contemporary,DB,high
Gabriella Coleman,The Weapons of the Geek,,Hackers' technical literacy mobilized as political power.,Culture,"Digital, Media & Algorithmic Culture",A. Networked & Participatory Culture,Contemporary,Knowledge,med
Gary Becker,Human Capital,,Skills and education treated as productive economic investment.,Economics,Classical & Neoclassical Economics,Microeconomic Foundations,Modern,DB,high
Gary Becker,Economics of Discrimination,,Modeling discrimination as a taste with economic costs.,Economics,Classical & Neoclassical Economics,Microeconomic Foundations,Modern,DB,high
Gary Becker,Rational Choice Theory,,Applying rational optimization to all human behavior.,Economics,Classical & Neoclassical Economics,Microeconomic Foundations,Modern,DB,high
Gary Becker,Household Production Theory,,The family as a productive unit allocating time and resources.,Economics,Classical & Neoclassical Economics,Microeconomic Foundations,Modern,DB,high
Gary Becker,Rational Addiction,,Addiction modeled as a forward-looking rational choice.,Economics,Classical & Neoclassical Economics,Microeconomic Foundations,Modern,DB,med
Gary Becker,Crime and Punishment Economics,,Crime as rational response to expected costs and benefits.,Economics,Classical & Neoclassical Economics,Microeconomic Foundations,Modern,Knowledge,high
Garry Whannel,Media Sport Stars,,Sport celebrities produced and circulated through media systems.,ART,Sport & Physical Culture,A. Sociology & Politics of Sport,Contemporary,DB,high
Garry Whannel,Fields in Vision,,Television's framing and narration of sport as spectacle.,ART,Sport & Physical Culture,A. Sociology & Politics of Sport,Contemporary,DB,high
Garry Whannel,"Culture, Politics and Sport",,Sport as a contested site of cultural and political meaning.,ART,Sport & Physical Culture,A. Sociology & Politics of Sport,Contemporary,DB,high
Garry Whannel,Vortextuality,,Mega media events pulling all coverage into a single vortex.,ART,Sport & Physical Culture,A. Sociology & Politics of Sport,Contemporary,Knowledge,med
Gayatri Chakravorty Spivak,Can the Subaltern Speak?,,Asking whether the silenced subaltern can be heard within dominant discourse.,Critics,Identity-Based & Political,C. Postcolonial & Critical Race,Modern,DB,high
Gayatri Chakravorty Spivak,Strategic Essentialism,,Temporarily adopting a unified identity for political solidarity.,Critics,Identity-Based & Political,C. Postcolonial & Critical Race,Modern,DB,high
Gayatri Chakravorty Spivak,Epistemic Violence,,Knowledge systems that erase and silence the colonized.,Critics,Identity-Based & Political,C. Postcolonial & Critical Race,Modern,DB,high
Gayatri Chakravorty Spivak,Subalternity,,The condition of those excluded from hegemonic power structures.,Critics,Identity-Based & Political,C. Postcolonial & Critical Race,Modern,DB,high
Gayatri Chakravorty Spivak,Worlding,,How imperial discourse inscribes the colonized world into being.,Critics,Identity-Based & Political,C. Postcolonial & Critical Race,Modern,Knowledge,med
Gayatri Chakravorty Spivak,Planetarity,,Imagining collective belonging to a shared planet beyond globalization.,Critics,Identity-Based & Political,C. Postcolonial & Critical Race,Modern,Knowledge,med
Geert Lovink,Zero Comments,,Critical theory of the internet's culture of nihilist commentary.,Culture,"Digital, Media & Algorithmic Culture",C. Algorithmic & Platform Culture,Contemporary,DB,high
Geert Lovink,Sad by Design,,Social media platforms engineered to produce melancholy distraction.,Culture,"Digital, Media & Algorithmic Culture",C. Algorithmic & Platform Culture,Contemporary,DB,high
Geert Lovink,Platform Critique,,Critical analysis of monopolistic social media platform power.,Culture,"Digital, Media & Algorithmic Culture",C. Algorithmic & Platform Culture,Contemporary,DB,high
Geert Lovink,Tactical Media,,Activist appropriation of media tools for temporary intervention.,Culture,"Digital, Media & Algorithmic Culture",C. Algorithmic & Platform Culture,Contemporary,Knowledge,med
Gene Sharp,Nonviolent Action,,Systematic methods of waging conflict without violence.,Politics,Democratic Theory & Contemporary Contestation,A. Deliberative & Participatory Democracy,Modern,DB,high
Gene Sharp,From Dictatorship to Democracy,,Strategic handbook for toppling authoritarian regimes nonviolently.,Politics,Democratic Theory & Contemporary Contestation,A. Deliberative & Participatory Democracy,Modern,DB,high
Gene Sharp,The Politics of Nonviolent Action,,Comprehensive taxonomy of nonviolent protest techniques.,Politics,Democratic Theory & Contemporary Contestation,A. Deliberative & Participatory Democracy,Modern,DB,high
Gene Sharp,Pillars of Support,,Regimes collapse when their sources of obedience withdraw.,Politics,Democratic Theory & Contemporary Contestation,A. Deliberative & Participatory Democracy,Modern,Knowledge,high
Georg Simmel,The Metropolis and Mental Life,Die Großstädte und das Geistesleben,The blasé urban psyche shaped by metropolitan overstimulation.,Society,Classical Sociological Traditions,,Classical,DB,high
Georg Simmel,The Philosophy of Money,Philosophie des Geldes,Money's transformation of social relations and modern values.,Society,Classical Sociological Traditions,,Classical,DB,high
Georg Simmel,The Sociology of Secrecy,,Secrets as a basic form structuring social interaction.,Society,Classical Sociological Traditions,,Classical,DB,high
Georg Simmel,Fashion Theory,,Fashion as tension between imitation and differentiation.,Society,Classical Sociological Traditions,,Classical,DB,high
Georg Simmel,The Stranger,Der Fremde,The stranger as one both near and remote within the group.,Society,Classical Sociological Traditions,,Classical,Knowledge,high
Georg Simmel,Sociability,Geselligkeit,Pure social interaction enjoyed for its own playful form.,Society,Classical Sociological Traditions,,Classical,Knowledge,med
George Gerbner,Cultivation Theory,,Heavy television viewing shapes viewers' perception of reality.,Culture,Media & Communication,A. Media Effects & Audiences,Modern,DB,high
George Gerbner,Mean World Syndrome,,Television violence cultivating exaggerated fear of a dangerous world.,Culture,Media & Communication,A. Media Effects & Audiences,Modern,DB,high
George Gerbner,Message System Analysis,,Systematic content analysis of recurring media message patterns.,Culture,Media & Communication,A. Media Effects & Audiences,Modern,DB,high
George Gerbner,Symbolic Annihilation,,Media erasure or trivialization of underrepresented groups.,Culture,Media & Communication,A. Media Effects & Audiences,Modern,Knowledge,high
George Ritzer,McDonaldization,,Society organized by fast-food principles of efficiency and control.,Society,Advanced & Applied Social Theories,Globalization & Development,Contemporary,DB,high
George Ritzer,Globalization of Nothing,,Global spread of empty placeless standardized social forms.,Society,Advanced & Applied Social Theories,Globalization & Development,Contemporary,DB,high
George Ritzer,Prosumption,,The blurring of production and consumption by active users.,Society,Advanced & Applied Social Theories,Globalization & Development,Contemporary,DB,high
George Ritzer,Enchanting a Disenchanted World,,Consumption cathedrals re-enchanting rationalized commercial spaces.,Society,Advanced & Applied Social Theories,Globalization & Development,Contemporary,DB,high
George Ritzer,The Irrationality of Rationality,,Hyper-rational systems generating absurd dehumanizing outcomes.,Society,Advanced & Applied Social Theories,Globalization & Development,Contemporary,Knowledge,high
Georges Bataille,The Accursed Share,La Part maudite,Surplus energy that societies must expend through excess.,Critics,Post-Structuralist & Deconstructive,B. Discourse & Genealogy,Modern,DB,high
Georges Bataille,Transgression,,Crossing limits that simultaneously affirms the boundary transgressed.,Critics,Post-Structuralist & Deconstructive,B. Discourse & Genealogy,Modern,DB,high
Georges Bataille,Eroticism,L'Érotisme,Eroticism as assenting to life up to the point of death.,Critics,Post-Structuralist & Deconstructive,B. Discourse & Genealogy,Modern,DB,high
Georges Bataille,Expenditure,Dépense,Unproductive squandering opposed to utilitarian accumulation.,Critics,Post-Structuralist & Deconstructive,B. Discourse & Genealogy,Modern,Knowledge,high
Georges Bataille,The Informe (Formless),L'informe,The formless operation that unsettles fixed categories and order.,Critics,Post-Structuralist & Deconstructive,B. Discourse & Genealogy,Modern,Knowledge,med
Gerald Curtis,The Logic of Japanese Politics,,Inside analysis of Japan's political institutions and behavior.,Politics,Political Economy & Comparative Politics,C. Comparative Politics,Modern,DB,high
Gerald Curtis,Election Campaigning Japanese Style,,Japan's distinctive grassroots local electoral campaign practices.,Politics,Political Economy & Comparative Politics,C. Comparative Politics,Modern,DB,high
Gerald Curtis,The Japanese Way of Politics,,How Japan's political system actually functions in practice.,Politics,Political Economy & Comparative Politics,C. Comparative Politics,Modern,DB,high
Gilles Deleuze,Rhizome,Rhizome,Non-hierarchical network of connections without center or origin.,Critics,Post-Structuralist & Deconstructive,A. Deconstruction,Modern,DB,high
Gilles Deleuze,Difference and Repetition,Différence et répétition,Difference as primary over identity and representation.,Critics,Post-Structuralist & Deconstructive,A. Deconstruction,Modern,DB,high
Gilles Deleuze,Assemblage Theory,Agencement,Reality composed of contingent relational arrangements.,Critics,Post-Structuralist & Deconstructive,A. Deconstruction,Modern,DB,high
Gilles Deleuze,Schizoanalysis,,Desire as productive force against psychoanalytic repression.,Critics,Post-Structuralist & Deconstructive,A. Deconstruction,Modern,DB,high
Gilles Deleuze,Body without Organs,Corps sans organes,A field of intensities prior to fixed organic organization.,Critics,Post-Structuralist & Deconstructive,A. Deconstruction,Modern,Knowledge,high
Gilles Deleuze,Movement-Image / Time-Image,,Cinema's two regimes of organizing movement and time.,Critics,Post-Structuralist & Deconstructive,A. Deconstruction,Modern,Knowledge,high
Gilles Lipovetsky,The Empire of Fashion,L'Empire de l'éphémère,Fashion's logic of ephemerality structuring modern democratic life.,ART,Fashion & Dress Studies,"A. Dress, Identity & Fashion Systems",Contemporary,DB,high
Gilles Lipovetsky,Hypermodern Times,Les Temps hypermodernes,Intensified individualistic acceleration succeeding postmodernity.,ART,Fashion & Dress Studies,"A. Dress, Identity & Fashion Systems",Contemporary,DB,high
Gilles Lipovetsky,Lightness,De la légèreté,The cultural aspiration toward lightness in hypermodern life.,ART,Fashion & Dress Studies,"A. Dress, Identity & Fashion Systems",Contemporary,DB,high
Gilles Lipovetsky,The Age of Emptiness,L'Ère du vide,Hyper-individualist culture of narcissism and indifference.,ART,Fashion & Dress Studies,"A. Dress, Identity & Fashion Systems",Contemporary,Knowledge,med
Ginette Vincendeau,Stars and Stardom in French Cinema,,Analysis of French film stardom and its cultural meanings.,Critics,Historical & Cultural Materialist,B. Cultural Studies,Contemporary,DB,high
Ginette Vincendeau,Star Studies,,Film stars as industrial and cultural phenomena.,Critics,Historical & Cultural Materialist,B. Cultural Studies,Contemporary,DB,high
Ginette Vincendeau,French Cinema,,Critical history of French national cinema and its traditions.,Critics,Historical & Cultural Materialist,B. Cultural Studies,Contemporary,DB,high
Ginette Vincendeau,Popular French Cinema,,Reclaiming commercial popular genres in French film history.,Critics,Historical & Cultural Materialist,B. Cultural Studies,Contemporary,Knowledge,med
Giorgio Agamben,Bare Life,Nuda vita,Life stripped of political rights and exposed to sovereign power.,Politics,Radical & Critical Traditions,D. Post-Structuralism & Postmodern Politics,Contemporary,DB,high
