theorist,concept,native,one_liner,part,major,sub,era,source,confidence
Émile Durkheim,Collective Effervescence,effervescence collective,Shared emotional energy generated by collective ritual gatherings,Society,Advanced & Applied Social Theories,General Social Theories,Classical,DB,high
Émile Durkheim,Social Facts,fait social,External collective realities that constrain individual behavior,Society,Advanced & Applied Social Theories,General Social Theories,Classical,DB,high
Émile Durkheim,Organic and Mechanical Solidarity,,Social cohesion based on similarity versus interdependence,Society,Advanced & Applied Social Theories,General Social Theories,Classical,DB,high
Émile Durkheim,Sacred and Profane,sacré et profane,Fundamental religious division ordering social classification,Society,Advanced & Applied Social Theories,General Social Theories,Classical,DB,high
Émile Durkheim,Division of Labor in Society,,Specialization producing interdependent solidarity in modern society,Society,Advanced & Applied Social Theories,General Social Theories,Classical,DB,high
Émile Durkheim,Anomic Suicide,suicide anomique,Suicide type arising from breakdown of social regulation,Society,Advanced & Applied Social Theories,General Social Theories,Classical,Knowledge,high
Albert Bandura,Self-Efficacy Theory,,Belief in one's capacity to execute behaviors shapes action,Psychology,애착·심리역동 가족이론 (Attachment & Psychodynamic),A. 애착·내적작동모델 (Attachment & Internal Working Models),Modern,DB,high
Albert Bandura,Social Learning Theory,,Learning through observing and imitating others' behavior,Psychology,애착·심리역동 가족이론 (Attachment & Psychodynamic),A. 애착·내적작동모델 (Attachment & Internal Working Models),Modern,DB,high
Albert Bandura,Social Cognitive Theory,,Behavior shaped by reciprocal interaction of person environment behavior,Psychology,애착·심리역동 가족이론 (Attachment & Psychodynamic),A. 애착·내적작동모델 (Attachment & Internal Working Models),Modern,DB,high
Albert Bandura,Vicarious Learning,,Acquiring behaviors by watching consequences befall others,Psychology,애착·심리역동 가족이론 (Attachment & Psychodynamic),A. 애착·내적작동모델 (Attachment & Internal Working Models),Modern,DB,high
Albert Bandura,Reciprocal Determinism,,Behavior person and environment mutually influence one another,Psychology,애착·심리역동 가족이론 (Attachment & Psychodynamic),A. 애착·내적작동모델 (Attachment & Internal Working Models),Modern,Knowledge,high
Albert Bandura,Bobo Doll Experiment,,Children imitate observed aggression demonstrating modeling effects,Psychology,애착·심리역동 가족이론 (Attachment & Psychodynamic),A. 애착·내적작동모델 (Attachment & Internal Working Models),Modern,Knowledge,high
Albert Bandura,Moral Disengagement,,Cognitive mechanisms that deactivate self-sanctions against harmful conduct,Psychology,애착·심리역동 가족이론 (Attachment & Psychodynamic),A. 애착·내적작동모델 (Attachment & Internal Working Models),Modern,Knowledge,high
Arthur Kleinman,Explanatory Models of Illness,,Patients' and healers' beliefs explaining sickness and treatment,Medicine,Medical Anthropology & Cultural Models,"B. Illness Experience, Meaning & Suffering",Contemporary,DB,high
Arthur Kleinman,Illness Narratives,,Personal stories patients tell about lived experience of sickness,Medicine,Medical Anthropology & Cultural Models,"B. Illness Experience, Meaning & Suffering",Contemporary,DB,high
Arthur Kleinman,Social Suffering,,Collective harm from social forces inflicted on bodies and lives,Medicine,Medical Anthropology & Cultural Models,"B. Illness Experience, Meaning & Suffering",Contemporary,DB,high
Arthur Kleinman,"Popular, Folk, and Professional Sectors",,Three overlapping arenas where healthcare is sought and given,Medicine,Medical Anthropology & Cultural Models,"B. Illness Experience, Meaning & Suffering",Contemporary,DB,high
Arthur Kleinman,Distinction Between Illness and Disease,,Lived experience of sickness versus biomedical pathology,Medicine,Medical Anthropology & Cultural Models,"B. Illness Experience, Meaning & Suffering",Contemporary,Knowledge,high
Arthur Kleinman,Local Moral Worlds,,Everyday spaces where what matters most is at stake,Medicine,Medical Anthropology & Cultural Models,"B. Illness Experience, Meaning & Suffering",Contemporary,Knowledge,med
Ernst Fehr,Inequality Aversion,,People dislike unequal payoff distributions even at personal cost,Economics,Behavioral & Cognitive Economics,Social Preferences & Fairness,Contemporary,DB,high
Ernst Fehr,Reciprocity,,Rewarding kind acts and punishing unkind ones,Economics,Behavioral & Cognitive Economics,Social Preferences & Fairness,Contemporary,DB,high
Ernst Fehr,Strong Reciprocity,,Costly cooperation and punishment without expectation of personal gain,Economics,Behavioral & Cognitive Economics,Social Preferences & Fairness,Contemporary,Knowledge,high
Ernst Fehr,Altruistic Punishment,,Punishing norm violators at a cost to oneself,Economics,Behavioral & Cognitive Economics,Social Preferences & Fairness,Contemporary,Knowledge,high
Ernst Fehr,Conditional Cooperation,,Cooperating contingent on others' cooperation in collective action,Economics,Behavioral & Cognitive Economics,Social Preferences & Fairness,Contemporary,DB,high
Ernst Fehr,Neurobiology of Trust,,Oxytocin and brain mechanisms underlying interpersonal trust,Economics,Behavioral & Cognitive Economics,Social Preferences & Fairness,Contemporary,DB,high
George A. Akerlof,Identity Economics,,Incorporating social identity and norms into economic choice,Economics,Political Economy & Public Choice,Identity Economics,Contemporary,DB,high
George A. Akerlof,Market for Lemons,,Asymmetric information degrades quality and can collapse markets,Economics,Political Economy & Public Choice,Identity Economics,Contemporary,Knowledge,high
George A. Akerlof,Behavioral Macroeconomics,,Psychology and norms shaping aggregate economic outcomes,Economics,Political Economy & Public Choice,Identity Economics,Contemporary,DB,high
George A. Akerlof,Animal Spirits,,Noneconomic psychological drivers of economic fluctuations,Economics,Political Economy & Public Choice,Identity Economics,Contemporary,Knowledge,high
George A. Akerlof,Efficiency Wage Theory,,Paying above-market wages to boost productivity and loyalty,Economics,Political Economy & Public Choice,Identity Economics,Contemporary,Knowledge,high
Immanuel Kant,The Sublime,das Erhabene,Overwhelming greatness exceeding sensory comprehension yet pleasing reason,ART,Aesthetics & Philosophy of Art,A. Classical & Philosophical Aesthetics,Classical,DB,high
Immanuel Kant,Disinterested Aesthetic Judgment,interesseloses Wohlgefallen,Beauty judged through pleasure free of desire or interest,ART,Aesthetics & Philosophy of Art,A. Classical & Philosophical Aesthetics,Classical,DB,high
Immanuel Kant,Categorical Imperative,kategorischer Imperativ,Act only on maxims you could will as universal law,ART,Aesthetics & Philosophy of Art,A. Classical & Philosophical Aesthetics,Classical,Knowledge,high
Immanuel Kant,Purposiveness Without Purpose,Zweckmäßigkeit ohne Zweck,Aesthetic form appears designed though serving no concept,ART,Aesthetics & Philosophy of Art,A. Classical & Philosophical Aesthetics,Classical,Knowledge,high
Immanuel Kant,Free Beauty,freie Schönheit,Beauty pleasing universally without dependence on a concept,ART,Aesthetics & Philosophy of Art,A. Classical & Philosophical Aesthetics,Classical,Knowledge,high
Immanuel Kant,Genius,Genie,Innate talent through which nature gives rules to art,ART,Aesthetics & Philosophy of Art,A. Classical & Philosophical Aesthetics,Classical,Knowledge,high
Immanuel Kant,Transcendental Idealism,transzendentaler Idealismus,We know appearances structured by mind not things-in-themselves,ART,Aesthetics & Philosophy of Art,A. Classical & Philosophical Aesthetics,Classical,Knowledge,high
Murray Bowen,Differentiation of Self,,Capacity to balance emotional and intellectual functioning and autonomy,Family,보웬 세대간 가족이론 (Bowenian Multigenerational Theory),A. 분화·정서적 삼각관계 (Differentiation & Emotional Triangles),Modern,DB,high
Murray Bowen,Emotional Triangles,,Three-person system stabilizing tension between two people,Family,보웬 세대간 가족이론 (Bowenian Multigenerational Theory),A. 분화·정서적 삼각관계 (Differentiation & Emotional Triangles),Modern,DB,high
Murray Bowen,Family Projection Process,,Parents transmitting emotional immaturity onto a child,Family,보웬 세대간 가족이론 (Bowenian Multigenerational Theory),A. 분화·정서적 삼각관계 (Differentiation & Emotional Triangles),Modern,DB,high
Murray Bowen,Undifferentiated Family Ego Mass,,Family emotionally fused into a single shared self,Family,보웬 세대간 가족이론 (Bowenian Multigenerational Theory),A. 분화·정서적 삼각관계 (Differentiation & Emotional Triangles),Modern,DB,high
Murray Bowen,Societal Emotional Process,,Family emotional principles operating at the level of society,Family,보웬 세대간 가족이론 (Bowenian Multigenerational Theory),A. 분화·정서적 삼각관계 (Differentiation & Emotional Triangles),Modern,DB,high
Murray Bowen,Multigenerational Transmission Process,,Emotional patterns passed down across successive family generations,Family,보웬 세대간 가족이론 (Bowenian Multigenerational Theory),A. 분화·정서적 삼각관계 (Differentiation & Emotional Triangles),Modern,Knowledge,high
Murray Bowen,Nuclear Family Emotional System,,Patterns of fusion and conflict within the immediate family,Family,보웬 세대간 가족이론 (Bowenian Multigenerational Theory),A. 분화·정서적 삼각관계 (Differentiation & Emotional Triangles),Modern,Knowledge,high
Hersh Shefrin,Behavioral Portfolio Theory,,Investors build portfolios as layered mental accounts by goal,Economics,Behavioral Finance & Decision Making,Investor Psychology & Biases,Contemporary,DB,high
Hersh Shefrin,Disposition Effect,,Tendency to sell winners too early and hold losers,Economics,Behavioral Finance & Decision Making,Investor Psychology & Biases,Contemporary,DB,high
Hersh Shefrin,Behavioral Life-Cycle Hypothesis,,Mental accounting self-control and framing reshape lifetime saving,Economics,Behavioral Finance & Decision Making,Investor Psychology & Biases,Contemporary,Web,high
Hersh Shefrin,SP/A Theory,,Choice driven by security potential and aspiration motives,Economics,Behavioral Finance & Decision Making,Investor Psychology & Biases,Contemporary,Web,high
Hersh Shefrin,Dual-Self Model,,Tension between a planner self and a doer self,Economics,Behavioral Finance & Decision Making,Investor Psychology & Biases,Contemporary,DB,high
Rachel E. Kranton,Identity Economics,,Social identity and norms incorporated into economic decision models,Economics,Political Economy & Public Choice,Identity Economics,Contemporary,DB,high
Rachel E. Kranton,Identity and Labor Supply,,Workplace identity shaping effort and labor market behavior,Economics,Political Economy & Public Choice,Identity Economics,Contemporary,DB,high
Rachel E. Kranton,Identity Utility,,Gains and losses to utility from conforming to social categories,Economics,Political Economy & Public Choice,Identity Economics,Contemporary,Knowledge,med
Icek Ajzen,Theory of Planned Behavior,,Intentions driven by attitudes norms and perceived control,Psychology,Marketing & Consumer Behavior,A. Consumer Behavior & Decision Making,Modern,DB,high
Icek Ajzen,Theory of Reasoned Action,,Behavior predicted by intentions from attitudes and subjective norms,Psychology,Marketing & Consumer Behavior,A. Consumer Behavior & Decision Making,Modern,DB,high
Icek Ajzen,Perceived Behavioral Control,,Belief about ease or difficulty of performing a behavior,Psychology,Marketing & Consumer Behavior,A. Consumer Behavior & Decision Making,Modern,Knowledge,high
Charles Tilly,Resource Mobilization Theory,,Social movements succeed by organizing resources and structures,History,"Political, Legal & Global History",A. Political & State,Contemporary,DB,high
Charles Tilly,Political Process Theory,,Movements emerge from shifting political opportunities and capacity,History,"Political, Legal & Global History",A. Political & State,Contemporary,DB,high
Charles Tilly,War Made the State,,States formed through war-making and extraction of resources,History,"Political, Legal & Global History",A. Political & State,Contemporary,Knowledge,high
Charles Tilly,Repertoires of Contention,,Limited learned set of collective protest performances,History,"Political, Legal & Global History",A. Political & State,Contemporary,Knowledge,high
Charles Tilly,Contentious Politics,,Collective political claim-making that disrupts established interests,History,"Political, Legal & Global History",A. Political & State,Contemporary,Knowledge,high
Leda Cosmides,Massive Modularity Hypothesis,,Mind composed of many specialized evolved cognitive modules,Nature,Evolutionary Psychology & Adaptive Mind,A. Adaptive Cognition & Modularity,Contemporary,DB,high
Leda Cosmides,Cheater Detection Module,,Evolved mechanism for spotting violators of social exchange,Nature,Evolutionary Psychology & Adaptive Mind,A. Adaptive Cognition & Modularity,Contemporary,DB,high
Leda Cosmides,Environment of Evolutionary Adaptedness,EEA,Ancestral conditions that shaped human psychological adaptations,Nature,Evolutionary Psychology & Adaptive Mind,A. Adaptive Cognition & Modularity,Contemporary,DB,high
Leda Cosmides,Social Contract Reasoning,,Specialized inference for costs and benefits in exchange,Nature,Evolutionary Psychology & Adaptive Mind,A. Adaptive Cognition & Modularity,Contemporary,Knowledge,high
John Tooby,Evolutionary Psychology,,Mind understood as adaptations shaped by natural selection,Nature,Evolutionary Psychology & Adaptive Mind,A. Adaptive Cognition & Modularity,Contemporary,DB,high
John Tooby,Massive Modularity Hypothesis,,Mind composed of many domain-specific evolved mechanisms,Nature,Evolutionary Psychology & Adaptive Mind,A. Adaptive Cognition & Modularity,Contemporary,DB,high
John Tooby,Coalitionary Psychology,,Evolved cognition for forming and navigating alliances and groups,Nature,Evolutionary Psychology & Adaptive Mind,A. Adaptive Cognition & Modularity,Contemporary,DB,high
John Tooby,Conceptual Integration of Culture and Biology,,Framework unifying evolved psychology with cultural variation,Nature,Evolutionary Psychology & Adaptive Mind,A. Adaptive Cognition & Modularity,Contemporary,Knowledge,med
Paul Farmer,Structural Violence,,Social arrangements systematically harming the poor and marginalized,Medicine,Medical Anthropology & Cultural Models,C. Critical & Political Medical Anthropology,Contemporary,DB,high
Paul Farmer,Critical Medical Anthropology,,Analyzing health through political and economic power relations,Medicine,Medical Anthropology & Cultural Models,C. Critical & Political Medical Anthropology,Contemporary,DB,high
Paul Farmer,Pragmatic Solidarity,,Practical accompaniment delivering resources alongside social justice,Medicine,Medical Anthropology & Cultural Models,C. Critical & Political Medical Anthropology,Contemporary,Knowledge,high
Paul Farmer,Social Justice in Health,,Equitable distribution of health as a human right,Medicine,Medical Anthropology & Cultural Models,C. Critical & Political Medical Anthropology,Contemporary,DB,high
Paul Farmer,Accompaniment,,Standing with the sick poor over the long term,Medicine,Medical Anthropology & Cultural Models,C. Critical & Political Medical Anthropology,Contemporary,Knowledge,high
Andrei Shleifer,Noise Trader Theory,,Irrational traders' sentiment moves prices from fundamental value,MANAGEMENT,Behavioral Finance & Decision Making,A. Behavioral Asset Pricing & Markets,Contemporary,DB,high
Andrei Shleifer,Limits to Arbitrage,,Rational arbitrage is risky and cannot fully correct mispricing,MANAGEMENT,Behavioral Finance & Decision Making,A. Behavioral Asset Pricing & Markets,Contemporary,Web,high
Andrei Shleifer,Inefficient Markets,,Investor sentiment causes prices to deviate from value persistently,MANAGEMENT,Behavioral Finance & Decision Making,A. Behavioral Asset Pricing & Markets,Contemporary,Web,high
Andrei Shleifer,Behavioral Corporate Finance,,Manager and investor biases shaping corporate financial decisions,MANAGEMENT,Behavioral Finance & Decision Making,A. Behavioral Asset Pricing & Markets,Contemporary,DB,high
Andrei Shleifer,Managerial Overconfidence,,Overconfident managers distorting investment and financing choices,MANAGEMENT,Behavioral Finance & Decision Making,A. Behavioral Asset Pricing & Markets,Contemporary,DB,high
David Buss,Sexual Strategies Theory,,Men and women evolved distinct short and long-term mating tactics,Psychology,Evolutionary Psychology & Adaptive Mind,A. Adaptive Cognition & Modularity,Contemporary,DB,high
David Buss,Mate Preference Theory,,Evolved preferences guiding partner selection across cultures,Psychology,Evolutionary Psychology & Adaptive Mind,A. Adaptive Cognition & Modularity,Contemporary,DB,high
David Buss,Evolved Jealousy,,Sex-differentiated jealousy as an evolved mate-guarding mechanism,Psychology,Evolutionary Psychology & Adaptive Mind,A. Adaptive Cognition & Modularity,Contemporary,Knowledge,high
David Buss,Error Management Theory,,Biased cognition minimizing the costlier of two judgment errors,Psychology,Evolutionary Psychology & Adaptive Mind,A. Adaptive Cognition & Modularity,Contemporary,Knowledge,high
George Loewenstein,Hot-Cold Empathy Gap,,Underestimating how visceral states alter future preferences and behavior,Economics,Behavioral & Cognitive Economics,Health & Education Economics,Contemporary,Knowledge,high
George Loewenstein,Asymmetric Paternalism,,Policies helping irrational actors while barely costing rational ones,Economics,Behavioral & Cognitive Economics,Health & Education Economics,Contemporary,DB,high
George Loewenstein,Emotional Decision Making,,Affective states directly driving choices under risk,Economics,Behavioral & Cognitive Economics,Health & Education Economics,Contemporary,DB,high
George Loewenstein,Information Gap Theory of Curiosity,,Curiosity arising from a felt gap in knowledge,Economics,Behavioral & Cognitive Economics,Health & Education Economics,Contemporary,Knowledge,high
George Loewenstein,Projection Bias,,Mispredicting future tastes by projecting current preferences,Economics,Behavioral & Cognitive Economics,Health & Education Economics,Contemporary,Knowledge,high
W. Brian Arthur,Increasing Returns,,Positive feedback creating multiple equilibria and self-reinforcement,Economics,Institutional & Evolutionary Economics,Complexity & Agent-Based Economics,Contemporary,Web,high
W. Brian Arthur,Lock-In,,Self-reinforcement entrenching a technology even if inferior,Economics,Institutional & Evolutionary Economics,Complexity & Agent-Based Economics,Contemporary,Web,high
W. Brian Arthur,Path Dependence,,Early historical events constraining later economic outcomes,Economics,Institutional & Evolutionary Economics,Complexity & Agent-Based Economics,Contemporary,DB,high
W. Brian Arthur,Complexity Economics,,Economy as an evolving adaptive system out of equilibrium,Economics,Institutional & Evolutionary Economics,Complexity & Agent-Based Economics,Contemporary,DB,high
W. Brian Arthur,El Farol Problem,,Bounded rationality and inductive reasoning in congestion coordination,Economics,Institutional & Evolutionary Economics,Complexity & Agent-Based Economics,Contemporary,Web,high
Aristotle,Catharsis,katharsis,Purgation of pity and fear through tragic drama,ART,Aesthetics & Philosophy of Art,A. Classical & Philosophical Aesthetics,Classical,DB,high
Aristotle,Theory of Mimesis,mimesis,Art as the imitation of nature and human action,ART,Aesthetics & Philosophy of Art,A. Classical & Philosophical Aesthetics,Classical,DB,high
Aristotle,Hamartia,hamartia,Tragic error or flaw precipitating the hero's downfall,ART,Aesthetics & Philosophy of Art,A. Classical & Philosophical Aesthetics,Classical,Knowledge,high
Aristotle,Golden Mean,mesotes,Virtue as a balance between deficiency and excess,ART,Aesthetics & Philosophy of Art,A. Classical & Philosophical Aesthetics,Classical,Knowledge,high
Aristotle,Four Causes,aitia,Material formal efficient and final explanations of being,ART,Aesthetics & Philosophy of Art,A. Classical & Philosophical Aesthetics,Classical,Knowledge,high
Aristotle,Unity of Action,,Tragic plot should form one complete coherent whole,ART,Aesthetics & Philosophy of Art,A. Classical & Philosophical Aesthetics,Classical,Knowledge,high
Jacques Lacan,The Gaze,le regard,Being seen by the Other that destabilizes the subject,Critics,Psychoanalytic & Psychological,A. Freudian & Lacanian,Modern,DB,high
Jacques Lacan,Jouissance,jouissance,Excessive painful enjoyment beyond the pleasure principle,Critics,Psychoanalytic & Psychological,A. Freudian & Lacanian,Modern,DB,high
Jacques Lacan,Mirror Stage,stade du miroir,Infant's identification with an image forming the ego,Critics,Psychoanalytic & Psychological,A. Freudian & Lacanian,Modern,Knowledge,high
Jacques Lacan,The Real Symbolic Imaginary,RSI,Three orders structuring the psyche and experience,Critics,Psychoanalytic & Psychological,A. Freudian & Lacanian,Modern,Knowledge,high
Jacques Lacan,Objet Petit a,objet petit a,Unattainable object-cause of desire,Critics,Psychoanalytic & Psychological,A. Freudian & Lacanian,Modern,Knowledge,high
Jacques Lacan,The Name of the Father,nom-du-père,Symbolic paternal function instituting law and language,Critics,Psychoanalytic & Psychological,A. Freudian & Lacanian,Modern,Knowledge,high
Rosi Braidotti,Posthumanism,,Decentering the human toward relational embodied non-anthropocentric subjectivity,Critics,Post-Humanist & Non-Human,A. Posthumanism & Cyborg Theory,Contemporary,DB,high
Rosi Braidotti,Nomadic Subject,,Mobile non-unitary identity in continual process of becoming,Critics,Post-Humanist & Non-Human,A. Posthumanism & Cyborg Theory,Contemporary,Web,high
Rosi Braidotti,Posthuman Feminism,,Feminist critique extending beyond the human into vital materialism,Critics,Post-Humanist & Non-Human,A. Posthumanism & Cyborg Theory,Contemporary,DB,high
Rosi Braidotti,Zoe,zoe,Vital nonhuman life force at the core of posthuman ethics,Critics,Post-Humanist & Non-Human,A. Posthumanism & Cyborg Theory,Contemporary,Web,high
Rosi Braidotti,Affirmative Ethics,,Transforming negativity into empowering relational political force,Critics,Post-Humanist & Non-Human,A. Posthumanism & Cyborg Theory,Contemporary,Web,high
Abraham Maslow,Hierarchy of Needs,,Needs ranked from physiological up to self-actualization,Psychology,Personality,A. Motivation & Job Design,Modern,DB,high
Abraham Maslow,Self-Actualization,,Realizing one's full potential and authentic capacities,Psychology,Personality,A. Motivation & Job Design,Modern,DB,high
Abraham Maslow,Peak Experiences,,Transcendent moments of intense joy and unity,Psychology,Personality,A. Motivation & Job Design,Modern,DB,high
Abraham Maslow,Self-Transcendence,,Highest need oriented beyond the self toward others,Psychology,Personality,A. Motivation & Job Design,Modern,DB,high
Abraham Maslow,Deficiency vs Being Needs,,Distinction between lack-driven and growth-driven motivation,Psychology,Personality,A. Motivation & Job Design,Modern,Knowledge,high
John Turner,Social Identity Theory,,Group membership shaping self-concept and intergroup behavior,MANAGEMENT,Social Psychology,A. Motivation & Job Design,Modern,DB,high
John Turner,Self-Categorization Theory,,Self defined at varying levels from personal to group,MANAGEMENT,Social Psychology,A. Motivation & Job Design,Modern,DB,high
John Turner,Social Categorization,,Sorting people into in-groups and out-groups by category,MANAGEMENT,Social Psychology,A. Motivation & Job Design,Modern,DB,high
John Turner,Depersonalization,,Seeing self as interchangeable group member not individual,MANAGEMENT,Social Psychology,A. Motivation & Job Design,Modern,Knowledge,high
Meir Statman,Behavioral Portfolio Theory,,Portfolios built as goal-based mental account layers,Economics,Behavioral Finance & Asset Markets,Investor Psychology & Biases,Contemporary,DB,high
Meir Statman,Disposition Effect,,Selling winners early and holding losing investments,Economics,Behavioral Finance & Asset Markets,Investor Psychology & Biases,Contemporary,DB,high
Meir Statman,Expressive and Emotional Benefits of Investing,,Investments deliver identity and feeling beyond utilitarian returns,Economics,Behavioral Finance & Asset Markets,Investor Psychology & Biases,Contemporary,Web,high
Meir Statman,Finance for Normal People,,Behavioral framework modeling real rather than rational investors,Economics,Behavioral Finance & Asset Markets,Investor Psychology & Biases,Contemporary,Web,high
Meir Statman,Financial Well-Being,,Linking money decisions to broader life well-being,Economics,Behavioral Finance & Asset Markets,Investor Psychology & Biases,Contemporary,Web,med
Geert Hofstede,Cultural Dimensions Theory,,National cultures compared across measurable value dimensions,MANAGEMENT,International Business & Cross-Cultural Management,A. Cross-Cultural Management,Modern,DB,high
Geert Hofstede,Power Distance,,Extent a culture accepts unequal distribution of power,MANAGEMENT,International Business & Cross-Cultural Management,A. Cross-Cultural Management,Modern,Web,high
Geert Hofstede,Individualism vs Collectivism,,Loose individual ties versus tight integrated group loyalty,MANAGEMENT,International Business & Cross-Cultural Management,A. Cross-Cultural Management,Modern,Web,high
Geert Hofstede,Uncertainty Avoidance,,Degree a culture feels threatened by ambiguity and uncertainty,MANAGEMENT,International Business & Cross-Cultural Management,A. Cross-Cultural Management,Modern,Web,high
Geert Hofstede,Masculinity vs Femininity,,Cultural emphasis on assertive achievement versus care and quality,MANAGEMENT,International Business & Cross-Cultural Management,A. Cross-Cultural Management,Modern,Web,high
Geert Hofstede,Long-Term Orientation,,Cultural focus on future thrift versus tradition and present,MANAGEMENT,International Business & Cross-Cultural Management,A. Cross-Cultural Management,Modern,Web,high
John Thibaut,Interdependence Theory,,Relationships analyzed through outcomes partners give each other,Psychology,Social Psychology,A. Identity & Intergroup,Modern,DB,high
John Thibaut,Social Exchange Theory,,Relationships governed by cost-benefit comparison of outcomes,Psychology,Social Psychology,A. Identity & Intergroup,Modern,DB,high
John Thibaut,Comparison Level,,Standard expected outcome against which relationships are judged,Psychology,Social Psychology,A. Identity & Intergroup,Modern,DB,high
John Thibaut,Procedural Justice,,Perceived fairness of decision-making processes not just outcomes,Psychology,Social Psychology,A. Identity & Intergroup,Modern,DB,high
Louis Althusser,Ideological State Apparatuses,appareils idéologiques d'État,Institutions reproducing dominant ideology through schools church media,Critics,Marxist & Materialist,B. Althusserian & Ideology,Modern,DB,high
Louis Althusser,Interpellation,interpellation,Ideology hailing individuals into subjects who recognize themselves,Critics,Marxist & Materialist,B. Althusserian & Ideology,Modern,DB,high
Louis Althusser,Overdetermination,surdétermination,Social contradictions shaped by multiple converging causes,Critics,Marxist & Materialist,B. Althusserian & Ideology,Modern,Knowledge,high
Louis Althusser,Epistemological Break,coupure épistémologique,Rupture separating ideological from scientific knowledge,Critics,Marxist & Materialist,B. Althusserian & Ideology,Modern,Knowledge,high
Louis Althusser,Relative Autonomy of the Superstructure,,Superstructure partly independent of the economic base,Critics,Marxist & Materialist,B. Althusserian & Ideology,Modern,Knowledge,high
E.P. Thompson,Moral Economy,,Customary norms of fairness governing pre-capitalist economic life,History,Marxist & Social History,General Social Theories,Modern,DB,high
E.P. Thompson,History from Below,,Recovering experience of ordinary people in historical narrative,History,Marxist & Social History,General Social Theories,Modern,DB,high
E.P. Thompson,Class as Historical Relationship,,Class made through shared experience rather than fixed structure,History,Marxist & Social History,General Social Theories,Modern,Knowledge,high
E.P. Thompson,Time Work-Discipline,,Industrial capitalism imposing clock-time on labor,History,Marxist & Social History,General Social Theories,Modern,DB,high
E.P. Thompson,Customs in Common,,Plebeian culture resisting market and gentry encroachment,History,Marxist & Social History,General Social Theories,Modern,Knowledge,med
Marc Bloch,Mentalités,mentalités,Collective mental frameworks and worldviews of past societies,History,Marxist & Social History,A. Annales & Longue Duree,Modern,DB,high
Marc Bloch,Comparative History,,Comparing societies to reveal causes and distinctive features,History,Marxist & Social History,A. Annales & Longue Duree,Modern,DB,high
Marc Bloch,Feudal Society,société féodale,Total social analysis of medieval bonds and dependence,History,Marxist & Social History,A. Annales & Longue Duree,Modern,DB,high
Marc Bloch,The Historian's Craft,,Reflexive method of historical evidence criticism and inference,History,Marxist & Social History,A. Annales & Longue Duree,Modern,Knowledge,high
Hans-Georg Gadamer,Philosophical Hermeneutics,,Understanding as a fundamental mode of human existence,Critics,Phenomenological & Hermeneutic,A. Hermeneutics,Modern,DB,high
Hans-Georg Gadamer,Fusion of Horizons,Horizontverschmelzung,Understanding merging interpreter's horizon with the text's,Critics,Phenomenological & Hermeneutic,A. Hermeneutics,Modern,Knowledge,high
