UCN_id,UCN_Name,Definition,,,
UCN_id_0321,Moral Compromise,"This is the theme of the slow, insidious, and often tragically necessary erosion of a soul. The narrative is not a story of a single, dramatic fall from grace, but of a series of small, ""practical,"" and seemingly justifiable compromises that, taken together, constitute a profound betrayal of the self. It is a story about the quiet violence of a world that does not allow for purity, a meditation on the tragic, human truth that in order to survive, we must often kill the best parts of ourselves, one small piece at a time.",,,
UCN_id_0096,Consumerism,"Consumerism is investigated not as an economic activity, but as a modern, and deeply pathological, form of identity creation. The narrative is a story of a soul that has been hollowed out and can only be filled with objects. It follows a character whose entire sense of self, meaning, and happiness is dependent on the next purchase. It is a story about the profound spiritual emptiness of a world that promises fulfillment through things, a quiet horror story of a life lived in a state of perpetual, manufactured, and unquenchable thirst.",,,
UCN_id_0097,Contagion,"Contagion is the theme of the terrifying, invisible, and exponential spread of a destructive force through a system. This can be a literal virus, but more profoundly, it can be a contagious idea, a collective hysteria, or a moral panic. The narrative is a story about the terrifying fragility of order. It follows the unstoppable logic of the contagion as it dissolves social bonds and turns a community against itself. It is a theme about the horrifying speed with which reason can be overwhelmed by a primal, irrational force.",,,
UCN_id_0141,Domination,"Domination is the theme of a power that seeks not just to control, but to utterly negate the will and subjectivity of another. The narrative is the story of a relationship of absolute asymmetry. It is not a conflict between two wills, but the process of one will slowly and systematically extinguishing another. It is a chilling exploration of the psychology of both the dominator and the dominated, a story about the terrifying, often intimate, and soul-destroying art of turning a person into a thing.",,,
UCN_id_0098,Control and Domination,"This is the theme of the modern, often bureaucratic and seemingly rational, system of power that achieves total domination through the quiet, pervasive logic of control. The narrative is the story of an invisible cage. It is not about a single tyrant, but about a system of rules, procedures, and surveillance that is designed to manage and predict every aspect of human life. It is the story of a domination so total and so quiet that it is no longer even perceived as domination, but simply as ""the way things are.""",,,
UCN_id_0317,Mob Mentality,"This is the theme of the terrifying, alchemical transformation that occurs when individuals dissolve into the single, primitive, and often violent consciousness of a mob. The narrative is a story of a psychic contagion. It follows the birth of a collective beast. The theme explores the terrifying pleasure of this dissolution of the self, the abdication of individual responsibility, and the ease with which a group of civilized human beings can regress into a state of pure, murderous, and self-righteous rage.",,,
UCN_id_0107,Cult Dynamics,"This is the theme of the powerful, seductive, and often terrifying social microcosm of the cult. The narrative is a story of a manufactured reality. It is an exploration of the deep human yearning for certainty, for community, and for a charismatic leader that the cult so expertly exploits. It is a story about the slow, methodical process of psychological colonization, the dismantling of a self, and the terrifying, often beautiful, logic of a world that has a simple answer for everything.",,,
UCN_id_0111,Cynicism,"Cynicism is explored not as a form of intelligence, but as a profound and tragic form of intellectual cowardice. The narrative is the story of a soul that has taken refuge in the safety of disbelief. The cynic's defining trait is the refusal to be vulnerable, the pre-emptive rejection of all sincerity, hope, and belief in order to avoid the pain of disappointment. It is the story of a self-imposed prison, a profound meditation on the terrible spiritual cost of a life that has armored itself against the very possibility of grace.",,,
UCN_id_0428,Self-Destruction,"This is the theme of the terrifying, often mysterious, and deeply human impulse to annihilate the self. The narrative is a story of a soul at war with its own existence. It moves beyond simple self-harm to explore the complex, often unconscious, ways a character can meticulously arrange the circumstances of their own ruin. It is the story of the death drive made manifest, a chilling exploration of the secret, powerful part of us that does not want to be saved, but yearns for the profound, silent peace of oblivion.",,,
UCN_id_0052,Blindness (Willful),"This is the theme of the powerful, conscious, and often desperate act of choosing not to see a truth that is in plain sight. The narrative is a story of a carefully constructed ignorance. It follows a character who invests immense psychic energy into not-knowing something, because the knowledge would shatter their world or their sense of self. It is a story about the profound, often tragic, human capacity to edit reality, a meditation on the fact that the most powerful prisons are the ones we build for ourselves, and lock from the inside.",,,
UCN_id_0529,Work,"Work is investigated not as a job, but as the central, defining, and often soul-crushing activity of modern life. The narrative can be a story of alienated labor, where work is a meaningless and repetitive hell. Or it can be a story about the modern cult of ""workism,"" where one's job has become a substitute for religion, community, and the very source of one's identity. It is a theme that asks a profound, unsettling question: If we are what we do, what are we when the work is gone?",,,
UCN_id_0135,Dissociation,"This is the theme of the profound, often terrifying, psychic act of splitting off from reality as a defense against an unbearable trauma. The narrative is the story of a mind that has gone elsewhere. It follows a character who experiences their own life from a distance, as if they are watching a movie. It is a story about the ghost in the machine of the self, a chilling exploration of the mind's terrifying power to protect itself by becoming a stranger to its own experience.",,,
UCN_id_0355,Parable,"A parable is a narrative that functions as a profound, elegant trap for the intellect. On the surface, it is a simple story, but its true purpose is to bypass our rational defenses and deliver a deeper, often unsettling, moral or metaphysical truth directly into our soul. The narrative is a vessel, a Trojan horse, whose true meaning is not in the story itself, but in the silent, world-altering revelation that it leaves in its wake.",,,
UCN_id_0155,Emptiness (The Void),"Emptiness is the theme of the terrifying, lucid, and perhaps ultimate truth of a universe stripped of all meaning, purpose, and value. The narrative is a story of this profound absence. It is not about loss, but about the chilling realization that there was nothing to lose in the first place. It is a confrontation with the fundamental, silent indifference of existence, a state of being where the soul finds itself utterly, terrifyingly alone in an infinite, empty room.",,,
UCN_id_0519,The Void,"The Void is investigated not as a passive emptiness, but as an active, hungry, and gravitational force that threatens to pull all meaning into itself. The narrative is the story of a battle against this metaphysical black hole. It follows a character who stands at the edge of this abyss, a place where all narratives collapse and all values dissolve. It is a theme about the terrifying allure of nothingness, the seductive whisper that suggests surrender is the only logical response to a meaningless cosmos.",,,
UCN_id_0181,Fate,"Fate is the theme of a universe that is not a story, but a script that has already been written. The narrative follows a character who struggles with heroic, passionate, and ultimately futile defiance against their pre-ordained destiny. It is a story told in the shadow of its own ending. It explores the profound, tragic irony of a consciousness that believes it is free, but whose every choice is merely another step along a path that was laid out for it since the beginning of time.",,,
UCN_id_0164,Ethical Dilemma (Impossible Choice),"An ethical dilemma is the theme of the soul on a rack. The narrative places a character in a situation of absolute, agonizing moral impossibility, where there are no good options, only different species of damnation. It is not a test of character, but a breaking of it. The theme explores the profound, tragic truth that sometimes the most ethical act is not to choose, but to recognize that the situation itself is a monstrous trap, and that any choice at all is a form of profound violation.",,,
UCN_id_0132,Disenchantment,"Disenchantment is the theme of the slow, quiet, and profoundly melancholic death of magic in the world. The narrative, in the spirit of Weber, is the story of a reality that has been stripped of its gods, its mysteries, and its soul by the cold, sterile logic of reason and bureaucracy. It follows a character who is a ghost in this disenchanted world, a soul that yearns for a sense of the sacred in a universe that has been rendered into a mere collection of predictable, manageable things.",,,
UCN_id_0134,Displacement,"Displacement is the theme of a profound and radical ""un-homing."" It is the story of a character who has been psychically or physically uprooted from their native soil. The narrative explores the deep, disorienting trauma of this condition—a state of being a stranger everywhere, of living in a world where your memories have no corresponding landscape, and your very identity has been rendered a foreign language. It is the story of a soul that has lost its coordinates.",,,
UCN_id_0353,Outsiderhood,"This is the theme of a life lived at a perpetual, critical distance from the warm, blinding embrace of the collective. The narrative is the story of a gaze from the margins. The outsider is not a victim, but a seer, whose exclusion grants them a painful but piercingly clear vision of the hypocrisies, illusions, and hidden violence of the ""normal"" world. It is a story about the profound, tragic, and sometimes heroic loneliness of the one who cannot, or will not, belong.",,,
UCN_id_0127,Deviance,"Deviance is the theme of the beautiful, monstrous, and often courageous act of refusing to be normal. The narrative is the story of a character whose very existence is a form of rebellion against a society's rigid codes of being. It is a story that champions the ""deviant""—the queer, the mad, the heretic—as a necessary, life-affirming force, a crack in the monolithic wall of conformity through which a different, and perhaps truer, form of reality can shine through.",,,
UCN_id_0405,Resistance,"Resistance is the theme of the small, often quiet, and profoundly human ""no"" in the face of an overwhelming power. The narrative is not a story of grand revolution, but of the molecular, everyday acts of defiance that keep the human spirit alive under oppression. It is the story of the whispered joke, the remembered poem, the shared glance of understanding. It suggests that the most powerful rebellion is not the one that overthrows a system, but the one that refuses to let that system extinguish one's own inner, inviolable truth.",,,
UCN_id_0491,Transition,"Transition is the theme of the terrifying, disorienting, and profoundly creative chaos of the ""in-between."" The narrative is a story that takes place on a bridge. It follows a character, a relationship, or a society that is in the very process of becoming something else, a state where the old rules are dead and the new ones have not yet been born. It is a theme about the profound vulnerability and the radical potentiality of a life lived in a state of pure, terrifying, and beautiful becoming.",,,
UCN_id_0322,Morality,"Morality is investigated not as a fixed set of rules, but as a difficult, bloody, and deeply personal battleground within the human soul. The narrative is a story of this internal war. It follows a character who is a walking, breathing contradiction, a battlefield between their highest aspirations and their darkest impulses. It is a theme that rejects simple notions of good and evil, suggesting that the truly human drama is not the choice between them, but the agonizing, endless, and irresolvable conflict that rages within.",,,
UCN_id_0071,Catharsis,"Catharsis is the theme of the terrifying, beautiful, and necessary act of emotional and spiritual purging. The narrative is a story that functions like a controlled explosion. It meticulously builds an unbearable tension of pity and fear, only to release it in a single, shattering, and ultimately cleansing moment of profound emotional truth. It is a story about the paradoxical, almost surgical, power of tragedy to heal a soul by first breaking it open.",conceptual definition (in English),UCN 이름 한국어 번역 (영어 병기),한국어 번역
UCN_id_0348,Ontology,"Ontology is the theme of cinema as a philosophical investigation into the very nature of being. The narrative is a story that asks the most fundamental question: ""What is real?"". It can be a story that blurs the line between dream and reality, or between the human and the artificial. It is a form of speculative cinema that uses its own artificial nature to probe the deepest, most unsettling questions about the structure of existence itself, suggesting that ""reality"" may be the most powerful fiction of all.",,,
UCN_id_0104,Crisis,"Crisis is the theme of the moment when a world, a life, or an identity shatters. The narrative is the story of an earthquake. It is the moment when the hidden, structural contradictions of a system or a self suddenly erupt, making the old way of being impossible. The theme explores the terror and the profound, terrifying potentiality of this moment of collapse. It is the story of a ground that has become an abyss, a moment of absolute danger that is also the only possible moment of genuine, radical change.",,,
UCN_id_0146,Dysfunction,"Dysfunction is the theme of a system that is not just broken, but is organized around its own brokenness. The narrative is the story of a sick organism—a family, a relationship, a society—that has learned to treat its own pathology as normal. It is a story about the terrifying, often darkly comedic, logic of a world gone wrong, a closed loop where every attempt to ""fix"" the problem only reinforces the underlying sickness. It is the story of a prison where the inmates have become the architects.",,,
UCN_id_0361,Patriarchy,"Patriarchy is investigated as a vast, ancient, and often invisible symbolic and social order that structures reality through the logic of the Father. The narrative is a story that makes this invisible architecture visible. It is not just about male dominance, but about a world built on principles of hierarchy, law, competition, and the repression of the feminine. It is the story of a ghost that haunts our very language, our institutions, and our souls, a system so total that even those who rebel against it are often unknowingly playing by its rules.",,,
UCN_id_0064,Burnout,"Burnout is the theme of the defining spiritual sickness of the neoliberal age. It is the story of a soul that has been completely consumed by the relentless demand to be productive, positive, and perpetually self-optimizing. The narrative is a story of a quiet, internal collapse. It is not a dramatic explosion, but the slow, silent exhaustion of a self that has been tricked into becoming its own slave driver. It is the tragedy of a freedom that has revealed itself to be the most efficient form of exploitation.",,,
UCN_id_0176,The Family Meal (Ritual/Conflict),"The Family Meal is the theme of the dinner table as a theatrical stage for the most primal and violent of human dramas. The narrative is a story that uses this ritual of communion as a pressure cooker. It is the space where years of unspoken resentments, secret desires, and brutal power struggles are played out in the coded language of passed salt and shared glances. It is a story that understands that the most savage battlefields are not in war, but are laid out on the quiet, familiar geography of the family dinner table.",,,
UCN_id_0158,Erasure (Historical/Personal),"Erasure is the theme of the profound, often political, and terrifying violence of being made to disappear. The narrative is a story about a ghost being made. It can be the story of a person being erased from a photograph, a history being wiped from the books, or a culture being systematically annihilated. It is a story about the ultimate form of power: not just the power to kill, but the power to make it so that someone or something never existed at all.",,,
UCN_id_0193,The Frontier Myth,"The Frontier Myth is the theme of a foundational, and often deeply violent and hypocritical, national fantasy. The narrative is a deconstruction of this myth. It is the story of a ""virgin land"" that was never virgin, and a heroic act of ""civilizing"" that was actually an act of brutal conquest. It is a story about the profound self-deception that lies at the heart of a nation's identity, a powerful exploration of the ghosts and the lies that are hidden just beneath the triumphant, sunlit landscapes of our official history.",,,
UCN_id_0061,The Burden of Care,"This is the theme of the quiet, invisible, and often soul-crushing weight of being responsible for another's life. The narrative is a story told from the perspective of the caregiver. It explores the profound, often taboo, ambivalence of this role—the simultaneous experience of deep love and suffocating resentment. It is a story about the slow erasure of the self that can occur in the act of caring, a meditation on the immense, often unacknowledged, human cost of empathy.",,,
UCN_id_0202,Genius (The Burden of),"Genius is explored not as a gift, but as a monstrous, alienating, and profoundly lonely form of exile. The narrative is the story of a consciousness that is fundamentally out of sync with the world. The genius is a person who sees too much, too clearly, a prophet whose vision severs them from the warm, comforting illusions of common humanity. Their story is a tragedy of perception, a meditation on the terrifying, inhuman isolation that is the price of a truly singular vision.",,,
UCN_id_0205,The Ghost (Spectrality),"The Ghost is the theme of the past that refuses to die. The narrative is not a story about supernatural beings, but about the profound, often terrifying, persistence of history, trauma, and memory in the present. The ""ghost"" is the unerasable trace of a past violence or a lost love that continues to haunt and shape the world of the living. It is a theme that suggests that the most terrifying houses are not haunted by spirits, but by the indestructible residue of what has been.",,,
UCN_id_0213,The Haunting,"The Haunting is the theme of a present that has been colonized by the past. The narrative is a story of a psychic invasion. It follows a character whose reality is being slowly and systematically warped by an unresolved event or a repressed memory. The haunting is not an external force, but an internal one, the eruption of a ghost from within the protagonist's own psyche. It is a story about the terrifying, active, and often destructive power of a past that will not stay dead.",,,
UCN_id_0368,Pleasure,"Pleasure is investigated not as simple happiness, but as a profound, often dangerous, and deeply philosophical force. The narrative can explore the transcendent, life-affirming power of pure, unconflicted pleasure. Or, more darkly, it can be a story about pleasure as a form of transgression, a dizzying, self-destructive pursuit that exists at the very limits of pain and reason. It is a story about the terrifying, beautiful, and fundamentally amoral energy that drives all of life.",,,
UCN_id_0215,Hegemony (Invisible Ideology),"Hegemony is the theme of a power so total that it has become invisible, masquerading as ""common sense"" or ""the natural order of things."" The narrative is a story of a fish trying to see the water it swims in. It is an exploration of an invisible prison, a system of control that works not by force, but by shaping the very limits of what we can think and desire. It is a story about the immense, almost impossible, difficulty of waking up from a dream that you did not know you were having.",,,
UCN_id_0160,Eruption of the Past,"This is the theme of a present that is violently ambushed by a past that was thought to be dead and buried. The narrative is a story of a temporal earthquake. It is not about memory, but about the past returning as an active, often monstrous, and world-shattering force. It is the story of the repressed secret that is suddenly revealed, the forgotten crime that comes back to demand justice. It suggests that the past is a predator, and the present is its hunting ground.",,,
UCN_id_0329,Nature vs. Culture,"This is the theme of the fundamental, eternal, and often violent war between the primal, amoral, and cyclical logic of Nature and the artificial, rule-bound, and linear logic of human Culture. The narrative is a story of a battle for territory. It can be the story of a civilized character's horrifying descent into their own ""natural"" savagery, or the story of a pristine landscape being brutally conquered by the machinery of ""culture."" It is the story of the tragic, inescapable conflict that defines the very essence of the human condition.",,,
UCN_id_0053,Blurred Realities (Fiction/Reality),"This is the theme of the terrifying, vertiginous collapse of the boundary between the ""real"" world and the world of fiction, dream, or simulation. The narrative is a story of profound ontological confusion. It follows a character who can no longer distinguish between what is happening and what is being imagined or represented. It is the story of a mind, or a culture, that has lost its anchor, a chilling exploration of the postmodern condition where the map has not just preceded the territory, but has completely erased it.",,,
UCN_id_0186,Fluid Identity,"This is the theme of the self as a perpetual, restless, and often terrifying process of becoming. The narrative rejects the very idea of a stable, core identity. It follows a character who is a shapeshifter, their sense of self constantly dissolving and re-forming in response to new experiences, relationships, and performances. It is a story about the profound, dizzying freedom and the terrifying groundlessness of a life lived without the anchor of a fixed ""I.""",,,
UCN_id_0068,Captivity (Entrapment),"This theme is about the profound, often invisible, and soul-crushing experience of being trapped. The narrative explores a state of radical unfreedom, which can be a literal prison, a suffocating relationship, a dead-end job, or the prison of one's own mind. It is a story about the slow, quiet, and terrifying death of the human spirit in a world without exits, a meditation on the desperate, often tragic, ways in which a soul struggles against the bars of its own cage.",,,
UCN_id_0180,Fatalism,"Fatalism is the theme of a universe that is not just deterministic, but actively hostile to the idea of human freedom. The narrative is a story of a game that has been rigged from the start. It follows a character who comes to the lucid, terrifying, and often strangely liberating realization that their choices do not matter and that their fate is sealed. It is a story about the quiet dignity, or the profound despair, that comes from accepting one's own absolute powerlessness in the face of an implacable destiny.",,,
UCN_id_0201,Generational Trauma,"This is the theme of the past as a ghost that lives in the blood. The narrative is a story of an inherited wound, a trauma that has been passed down, often unconsciously, from one generation to the next. It follows a character who is haunted by a pain that is not their own, their life secretly shaped by the unresolved grief and silent suffering of their ancestors. It is a story about the terrifying, invisible chains that bind us to the past, and the immense, difficult work of breaking them.",,,
UCN_id_0217,Heredity,"Heredity is the theme of the terrifying, inescapable, and often tragic power of the biological script. The narrative is a story of a character who is a prisoner of their own genes. It explores the conflict between a character's desire for self-creation and the unchangeable, inherited legacy of their own body and mind. It is a story about the profound, often humbling, question of how much of ""us"" is truly our own, and how much is a ghost from a deep, evolutionary past that we can never escape.",,,
UCN_id_0101,Corruption of Innocence,"This theme is about the tragic, violent moment of contact between the sacred space of childhood innocence and the profane, complex, and often predatory adult world. The narrative is a story of a wound. It is not about a gradual coming of age, but about a specific, shattering event that poisons the well of memory and forces a child to acquire a terrible, premature knowledge. It is a lament for a paradise that was not simply lost, but was actively invaded and destroyed.",,,
UCN_id_0458,Subjectivity,"This is the theme of the profound, unbridgeable, and ultimately sacred mystery of the individual consciousness. The narrative is a story that attempts the impossible: to represent the rich, chaotic, and unique inner world of a single ""I."" It is a story about the profound loneliness and the absolute freedom of being a subject in a world of objects. It is a theme that champions the irreducible, often contradictory, and beautifully messy truth of what it feels like to be a self.",,,
UCN_id_0143,Dramatic Irony,"Dramatic irony is the theme of a narrative universe that is fundamentally cruel and all-knowing. It is the story of a character who is a blind actor on a stage, the only person in the theater who does not know the true meaning of their own actions or the terrible fate that awaits them. The narrative uses this gap in knowledge between the audience and the character to create a profound sense of pity, terror, and fatalism. It is the story of a god's-eye view of a human tragedy.",,,
UCN_id_0281,Loneliness,"Loneliness is explored not as a lack of company, but as a profound, metaphysical state of being severed from a meaningful connection to the world. The narrative is a story of a soul in a vacuum. It follows a character who is haunted by a silence that no amount of noise can fill. It is a story about the terrifying, fundamental separateness of human consciousness, and the deep, often desperate, human ache for a single moment of genuine, unmediated communion with another.",,,
UCN_id_0272,The Labyrinthine,"This is the theme of a reality that is not just complex, but is a deliberately confusing, and often malevolent, architectural trap. The narrative is a story of a mind lost in a maze. The labyrinth can be a physical space, a bureaucratic system, or the character's own obsessive, circular thoughts. It is a story about the terror of a world without an exit, a profound and claustrophobic exploration of a consciousness that can no longer find the thread that leads back to a simple, coherent reality.",,,
UCN_id_0062,The Burden of Legacy,"This is the theme of the past as a heavy, often crushing, inheritance that the present is forced to carry. The narrative is a story of a ghost on one's back. It follows a character whose life is defined not by their own choices, but by the weight of their family's name, their nation's history, or the impossible standards of a heroic predecessor. It is a story about the profound, often tragic, difficulty of becoming an individual in a world that has already decided who you are supposed to be.",,,
UCN_id_0282,Longing,"Longing is explored as a profound and persistent state of existential ache for something that is absent, lost, or perhaps never existed at all. It is more than desire; it is a deep, melancholic yearning that shapes a character's entire being. The narrative is suffused with this feeling of ""sehnsucht"" or nostalgia for an unknown home. The theme suggests that this unquenchable longing is a fundamental part of the human condition, a beautiful and painful reminder that we are incomplete beings, perpetually searching for a missing part of our souls.",,,
UCN_id_0531,Yearning,"Yearning is the theme of a desire so deep, so powerful, and so focused that it becomes a form of spiritual gravity, pulling a character's entire world into its orbit. It is more active and more urgent than longing. The narrative is a story of a soul in a state of profound, almost violent, forward motion towards a single object of desire. It is a theme about the terrifying, beautiful, and world-creating power of a want that is so absolute it becomes the very engine of one's being.",,,
UCN_id_0419,Salvation,"Salvation is the theme of a radical, often miraculous, deliverance from a state of damnation. It is the story of a soul being pulled back from the abyss. The narrative explores the nature of this deliverance: Is it an act of external grace, a profound internal transformation, or the redemptive power of another's love? It is a theme about the possibility of a second chance, the profound human yearning for a new beginning, and the terrifying, beautiful mystery of what it takes to save a soul.",,,
UCN_id_0293,Masculinity (Toxic),"This theme investigates toxic masculinity not as a form of strength, but as a fragile, brittle, and deeply pathological performance demanded by a patriarchal culture. The narrative is an autopsy of this pathology. It is a story about a masculinity defined by the repression of emotion, the terror of vulnerability, and the assertion of a violent, hollow dominance. It is the tragedy of a soul that has been forced to amputate its own humanity in order to perform the role of a ""real man.""",,,
UCN_id_0122,Descent into Madness,"This is the theme of a mind's terrifying, often systematic, and irreversible unraveling. The narrative is a subjective journey into the abyss. It follows a character's perception as the familiar structures of reality, logic, and the self begin to dissolve, replaced by a new, terrifying, and internally coherent psychotic logic. It is a story that forces us to inhabit the experience of madness from the inside, a chilling exploration of the terrifying fragility of the sane mind.",,,
UCN_id_0087,Commodification,"Commodification is the theme of the terrifying, insidious, and profoundly alienating process by which everything—an idea, an emotion, a human being—is transformed into an object to be bought and sold. The narrative is the story of a world that has lost its soul to the market. It is a story about the quiet, metaphysical violence of a logic that strips all things of their intrinsic worth and replaces it with a market price. It is the story of a world where nothing is sacred, and everything is for sale.",,,
UCN_id_0294,The Mask (Persona),"This theme explores the Mask not as a deception, but as a fundamental, necessary, and often tragic condition of social life. The narrative, in the spirit of Jung, is the story of the ""persona""—the public face we create to navigate the world. The story's drama comes from the conflict between this necessary mask and the authentic self that lies beneath, or, more terrifyingly, from the discovery that after a lifetime of performance, the mask is all that is left.",,,
UCN_id_0302,Melancholia,"Melancholia is explored not as a sadness for something that has been lost, but as a profound, unshakable, and often strangely lucid grief for a loss that the subject cannot name. The narrative, in the spirit of Freud, is the story of a shadow that has fallen upon the ego. It is a story of a soul in a state of perpetual, internal mourning. The theme suggests that melancholy is a form of terrible wisdom, a soul that is haunted not by a specific ghost, but by the very structure of loss itself.",,,
