No,Country (EN),Country (KR),Service Name (EN),Service Name (Native),URL,Type,Content Focus,Status,Category,In Original List,Notes
19,Brazil,브라질,Globoplay,Globoplay,https://globoplay.globo.com,SVOD + AVOD + TVOD,"General (telenovelas, Brazilian films/series)",Active,Commercial OTT,Original,Grupo Globo. Full catalog geo-locked to Brazil.
20,Brazil,브라질,Itaú Cultural Play,Itaú Cultural Play,https://www.itauculturalplay.com.br,Free (sponsor-funded),"Brazilian cinema, docs, festivals",Active,Arthouse / Curated,Added,"Free, curated, no ads."
21,Brazil,브라질,Spcine Play,Spcine Play,https://www.spcineplay.com.br,Free (public),Brazilian / São Paulo cinema,Active,National Cinema / Film Institute,Added,Brazil's first public streaming platform (2017).
22,Brazil,브라질,Sesc Digital,Sesc Digital,https://sesc.digital,Free (non-profit),"Brazilian fiction, docs, SescTV originals",Active,Arthouse / Curated,Added,Sesc São Paulo. Free.
23,Brazil,브라질,Looke,Looke,https://www.looke.com.br,SVOD + TVOD,"Brazilian national films, shorts, docs, animation",Active,Commercial OTT,Added,Owned by Encripta. Strong Brazilian catalog.
24,Brazil,브라질,Banco de Conteúdos Culturais (Cinemateca Brasileira),Banco de Conteúdos Culturais,https://www.bcc.org.br,Free (public),"South America's largest AV archive; Brazilian films, docs",Active,National Film Archive / Cinematheque,Added,Free public streaming. National film archive.
25,Chile,칠레,OndaMedia,OndaMedia,https://ondamedia.cl,Free (public),Chilean national cinema & documentary,Active,National Cinema / Film Institute,Original,Ministry of Cultures. Free with registration.
26,Chile,칠레,Cineteca Nacional de Chile – Cineteca Online,Cineteca Nacional de Chile,https://www.cinetecanacional.cl,Free (public),"290+ Chilean films, docs, animation, heritage",Active,National Film Archive / Cinematheque,Added,"Free, universal access. Centro Cultural La Moneda."
27,Colombia,콜롬비아,RTVCPlay,RTVCPlay,https://www.rtvcplay.co,Free (public),"Colombian cinema, series, documentaries",Active,Public Broadcaster,Original,"RTVC public media. 100% free, no registration."
28,Mexico,멕시코,Nuestro Cine MX,Nuestro Cine MX,https://www.nuestrocine.mx,Free + SVOD/TVOD,"Mexican national cinema, arthouse, classics",Active,National Cinema / Film Institute,Added,IMCINE flagship; successor to FilminLatino (2024).
29,Mexico,멕시코,Filmoteca UNAM – Cine en línea,Filmoteca UNAM – Cine en línea,https://cineenlinea.filmoteca.unam.mx,Free (public),"100+ restored Mexican silents, docs, fiction",Active,National Film Archive / Cinematheque,Added,"Free worldwide, no registration. UNAM national archive."
30,Latin America (regional),라틴아메리카(지역),Retina Latina,Retina Latina,https://www.retinalatina.org,Free (public),"Latin American cinema (CO, MX, BO, EC, PE, UY, Cuba)",Active,National Cinema / Film Institute,Added,IDB-backed regional co-op. Free in LatAm.
31,Latin America (regional),라틴아메리카(지역),ViX,ViX,https://www.vix.com,AVOD + SVOD,"Spanish-language films, novelas, sport",Active,Commercial OTT,Added,TelevisaUnivision; largest global Spanish-language streamer.
32,Latin America (regional),라틴아메리카(지역),Claro video,Claro video,https://www.clarovideo.com,SVOD + TVOD + Free,"Films, series, live channels",Active,Commercial OTT,Added,América Móvil; 16 countries (strong MX/CO/PE).
33,United Kingdom,영국,BFI Player,BFI Player,https://player.bfi.org.uk,SVOD + TVOD + Free,"British Film Institute: classics, world cinema, archive",Active,National Film Archive / Cinematheque,Original,£6.99/mo + rentals. Also a channel on Prime/Apple TV.
34,United Kingdom,영국,Curzon Home Cinema,Curzon Home Cinema,https://homecinema.curzon.com,TVOD,Arthouse/indie new releases + classics,Active,Arthouse / Curated,Original,Per-film rental. UK & Ireland.
35,United Kingdom,영국,BBC iPlayer,BBC iPlayer,https://www.bbc.co.uk/iplayer,Free (public),"BBC catch-up + live; British drama, film, docs",Active,Public Broadcaster,Added,Flagship UK free public service; requires UK TV licence.
36,United Kingdom,영국,ITVX,ITVX,https://www.itv.com,AVOD + SVOD,"ITV originals, films, boxsets, FAST channels",Active,Commercial OTT,Added,Formerly ITV Hub. Premium £5.99/mo.
37,United Kingdom,영국,Channel 4,Channel 4,https://www.channel4.com,AVOD (free),C4/E4 catch-up; 'Walter Presents' foreign film,Active,Public Broadcaster,Added,"Publicly-owned, ad-funded. Formerly 'All 4'."
38,France,프랑스,LaCinetek,LaCinetek,https://www.lacinetek.com,TVOD + SVOD,Heritage cinema curated by directors,Active,Arthouse / Curated,Original,Source URL was fake Google link; real = lacinetek.com. FR/DE/BE/LU/AT.
39,France,프랑스,Canal VOD (Canal+ VOD),Canal VOD,https://vod.canalplus.com,TVOD,Mainstream + catalogue rent/buy,Active,Commercial OTT,Original,No Canal+ subscription required.
40,France,프랑스,Canal+ (myCanal),Canal+,https://www.canalplus.com,SVOD,"Premier French SVOD; films, sport, aggregator",Active (myCanal brand phased out 2025),Commercial OTT,Added,France's flagship pay SVOD.
41,France,프랑스,France.tv,france.tv,https://www.france.tv,Free (public),France Télévisions catch-up + live,Active,Public Broadcaster,Added,Main French free public platform.
42,France,프랑스,UniversCiné,UniversCiné,https://www.universcine.com,TVOD + SVOD,"French/European independent cinema (~9,000 films)",Active (rebranding to Sooner),Arthouse / Curated,Added,Founded 2007 by indie producers.
43,France,프랑스,HENRI – La Cinémathèque française,HENRI – La Cinémathèque française,https://www.cinematheque.fr/henri,Free (non-profit),"Rare, restored & unpublished films",Active,National Film Archive / Cinematheque,Added,Free; many titles with English subtitles.
44,France / Germany,프랑스/독일,ARTE Boutique,ARTE Boutique,https://boutique.arte.tv,TVOD + AVOD,"European cinema, docs, series (FR/DE public)",Active,Public Broadcaster,Added,ARTE also streams much European cinema free on arte.tv.
45,Germany,독일,alleskino,alleskino,https://www.alleskino.de,TVOD + SVOD,"German film heritage (Weimar, DEFA/GDR, indie)",Active,Arthouse / Curated,Original,48h rental/buy + 'Mein Filmclub' sub.
46,Germany / Multi,독일(다국가),filmfriend,filmfriend,https://www.filmfriend.de,Free (library),"World cinema, docs, kids — via library card",Active,Library / Educational,Added,Free via participating libraries (DE/AT/CH/LU/BE/FR/LI).
47,Germany / Austria / Switzerland,독일/오스트리아/스위스,Sooner (DE),Sooner,https://www.sooner.de,SVOD + TVOD,European arthouse & independent / festival cinema,Active,Arthouse / Curated,Added,"Separate operator from sooner.be (ContentScope, Berlin)."
48,Germany,독일,RTL+,RTL+,https://plus.rtl.de,SVOD,"Flagship German commercial SVOD; originals, sport",Active (formerly TV Now),Commercial OTT,Added,Germany's leading domestic SVOD.
49,Germany,독일,ARD Mediathek,ARD Mediathek,https://www.ardmediathek.de,Free (public),"Das Erste + regional public TV, films, docs",Active,Public Broadcaster,Added,"Free, no ads."
50,Germany,독일,ZDF Mediathek,ZDF Mediathek,https://www.zdf.de,Free (public),"ZDF catch-up + live, films, series, docs",Active,Public Broadcaster,Added,Player at zdf.de.
51,Germany,독일,MagentaTV,MagentaTV,https://www.telekom.de/magenta-tv,SVOD / IPTV (aggregator),"180+ live channels, films, sport; aggregates other OTTs",Active,Commercial OTT,Added,Deutsche Telekom flagship.
52,Germany,독일,Joyn,Joyn,https://www.joyn.de,AVOD + SVOD,"Free live TV, series, films",Active,Commercial OTT,Added,ProSiebenSat.1; Germany's largest free streamer + Joyn+ premium.
53,Germany,독일,WOW,WOW,https://www.wowtv.de,SVOD,"Sky films, series, sport",Active (ex-Sky Ticket),Commercial OTT,Added,Sky Deutschland's contract-free brand. EU-only.
54,Ireland,아일랜드,IFI@Home,IFI@Home,https://www.ifihome.ie,TVOD,Irish Film Institute: Irish & intl cinema,Active,National Film Archive / Cinematheque,Original,Correct domain ifihome.ie (not ifi.ie). Ireland-only.
55,Netherlands,네덜란드,Pathé Thuis,Pathé Thuis,https://www.pathe-thuis.nl,TVOD,Largest Dutch rent/buy; studio + Dutch films,Active,Commercial OTT,Original,48h rentals.
56,Netherlands,네덜란드,Picl,Picl,https://www.picl.nl,TVOD (virtual cinema),Premiere arthouse tied to local indie cinemas,Active,Arthouse / Curated,Added,~40 Dutch arthouses. Also in Belgium.
57,Netherlands,네덜란드,EYE Filmmuseum – Eye Film Player,Eye Film Player,https://player.eyefilm.nl,Free + TVOD,"400+ titles, silents w/ scores, restored classics",Active,National Film Archive / Cinematheque,Added,"Many free; rentals from €2. ~40% globally available, rest NL-only."
58,Netherlands,네덜란드,Videoland,Videoland,https://www.videoland.com,SVOD,"Flagship Dutch SVOD; RTL originals, crime drama",Active,Commercial OTT,Added,RTL Nederland (DPG Media).
59,Netherlands,네덜란드,NPO Start,NPO Start,https://npo.nl/start,Free (public),Dutch public broadcasting catch-up + live,Active,Public Broadcaster,Added,Free in NL (Plus tier optional).
60,Belgium,벨기에,Sooner,Sooner,https://www.sooner.be,SVOD + TVOD,Belgian + European independent / arthouse,Active,Arthouse / Curated,Original,UniversCiné Belgium (BE/NL/LU). sooner.de is a separate operator.
61,Belgium,벨기에,Proximus Pickx VOD,Proximus Pickx VOD,https://www.pickx.be,TVOD,Telco rent/buy incl. Belgian films,Active,Commercial OTT,Added,48h rentals.
62,Belgium,벨기에,Streamz,Streamz,https://www.streamz.be,SVOD,Flagship Flemish SVOD; local originals + intl,Active,Commercial OTT,Added,DPG Media + Telenet JV.
63,Belgium,벨기에,VRT MAX,VRT MAX,https://www.vrt.be/vrtmax,Free (public),"Flemish public VOD, catch-up",Active (formerly VRT NU),Public Broadcaster,Added,Free.
64,Belgium,벨기에,RTBF Auvio,Auvio,https://auvio.rtbf.be,Free (public),French-speaking Belgian public replay + live,Active,Public Broadcaster,Added,Optional paid tier.
65,Italy,이탈리아,CHILI,CHILI,https://chili.com,TVOD + AVOD,Mainstream film/TV rent-buy + free-with-ads,Active,Commercial OTT,Original,Italian-founded. NOT SVOD. Relaunched late 2025.
66,Italy,이탈리아,RaiPlay,RaiPlay,https://www.raiplay.it,Free (public),"RAI catch-up: Italian/intl films, series, docs",Active,Public Broadcaster,Original,Free. Geo-restricted to Italy.
67,Italy,이탈리아,MYmovies ONE,MYmovies ONE,https://www.mymovies.it/ondemand/one,SVOD + TVOD,"Cinephile catalog, festival/indie",Active,Arthouse / Curated,Added,Also delivers Cineteca di Bologna restored classics.
68,Italy,이탈리아,Il Cinema Ritrovato Fuori Sala (Cineteca di Bologna),Il Cinema Ritrovato Fuori Sala,https://cinetecadibologna.it,SVOD,"Restored classics, silent film, rarities",Active,National Film Archive / Cinematheque,Added,Heritage/restoration; delivered via MYmovies.
69,Italy,이탈리아,Archivio Storico Istituto Luce (Luce Cinecittà),Archivio Storico Istituto Luce,https://www.archivioluce.com,Free (public),"Newsreels (12,000+), docs (9,000+), 20th-c. Italian history",Active,National Film Archive / Cinematheque,Added,"Fully digitized, free online. UNESCO Memory of the World."
70,Italy,이탈리아,Mediaset Infinity,Mediaset Infinity,https://mediasetinfinity.mediaset.it,AVOD + SVOD,"Italian + intl series, films, live TV",Active,Commercial OTT,Added,RTI/Mediaset; free + Infinity+ premium.
71,Italy,이탈리아,NOW,NOW,https://www.nowtv.it,SVOD,"Sky films, series, sport",Active,Commercial OTT,Added,Sky Italia's contract-free brand.
72,Italy,이탈리아,TIMVISION,TIMVISION,https://www.timvision.it,SVOD (aggregator),"Films, series, sport; bundles other OTTs",Active,Commercial OTT,Added,Telecom Italia flagship.
73,Spain,스페인,Filmin,Filmin,https://www.filmin.es,SVOD + TVOD,"Arthouse, indie, European & festival cinema",Active,Arthouse / Curated,Original,"Domain is .es (not .com). ~12,000 titles."
74,Spain,스페인,FlixOlé,FlixOlé,https://www.flixole.com,SVOD,Spanish cinema heritage — largest restored Spanish-film library,Active,Arthouse / Curated,Added,"~4,500+ films; a century of Spanish cinema. Worldwide."
75,Spain,스페인,RTVE Play,RTVE Play,https://www.rtve.es/play,Free (public),"Free Spanish films, series, docs, archive",Active,Public Broadcaster,Added,Public broadcaster RTVE.
76,Spain,스페인,acontra+,acontra+,https://acontraplus.com,SVOD + TVOD,"European/international films, classics",Active,Arthouse / Curated,Added,A Contracorriente Films; sub includes monthly cinema ticket.
77,Spain,스페인,Movistar Plus+,Movistar Plus+,https://www.movistarplus.es,SVOD,"Films, series, sport, Spanish originals",Active,Commercial OTT,Added,Telefónica; ~3.74M subs (largest in Spain). Major local film financier.
78,Spain,스페인,Atresplayer,atresplayer,https://www.atresplayer.com,SVOD + AVOD,"Atresmedia originals, Spanish series/films",Active,Commercial OTT,Added,'Premium' dropped from name (2023).
79,Spain,스페인,Filmoteca Española (Vimeo),Filmoteca Española,https://vimeo.com/filmotecaespanola,Free (public),"Restored Spanish classics, silents, newsreels",Limited online,National Film Archive / Cinematheque,Added,Rotating free films on Vimeo; full platform targeted ~2026.
80,Portugal,포르투갈,Filmin Portugal,Filmin Portugal,https://www.filmin.pt,SVOD + TVOD,Author/classic/independent cinema,Active,Arthouse / Curated,Original,Distinct PT catalog.
81,Portugal,포르투갈,RTP Play,RTP Play,https://www.rtp.pt/play,Free (public),"Live TV, series, films, docs, originals",Active,Public Broadcaster,Original,Public broadcaster. Geo-blocked outside Portugal.
82,Portugal,포르투갈,OPTO by SIC,OPTO SIC,https://opto.sic.pt,AVOD + SVOD,"SIC content — series, films, docs",Active,Commercial OTT,Added,Impresa Group.
83,Portugal,포르투갈,MEO Go,MEO Go,https://tv.meo.pt,SVOD / TV Everywhere,Live TV + VOD,Active,Commercial OTT,Added,Altice Portugal.
84,Portugal,포르투갈,App NOS TV,App NOS TV,https://nostv.pt,SVOD / TV Everywhere,Live TV + VOD,Active (formerly NOS Play),Commercial OTT,Added,NOS.
85,Switzerland,스위스,"blue+ (Swisscom, formerly Teleclub)",blue+,https://tv.blue.ch,TVOD + SVOD,"Mainstream + Swiss/European productions, live TV","Active (Teleclub→blue+, 2020)",Commercial OTT,Original,Source 'store.blue.ch' was wrong; store at tv.blue.ch.
86,Switzerland,스위스,Play Suisse,Play Suisse,https://www.playsuisse.ch,"Free (public, SRG SSR)","Swiss films, series, docs, archive (multi-language subs)",Active,Public Broadcaster,Added,License-fee funded. Top Swiss pick.
87,Austria,오스트리아,Kino VOD Club,KINO VOD CLUB,https://www.vodclub.online,TVOD,Austrian cinema + European arthouse,Active,Arthouse / Curated,Original,~1/3 revenue to chosen arthouse cinema. Austria-only.
88,Austria,오스트리아,ORF ON,ORF ON,https://on.orf.at,Free (public),"ORF films, series, docs, culture",Active,Public Broadcaster,Added,Replaced ORF-TVthek (2024); hosts ex-Flimmit content.
89,Austria,오스트리아,Filmarchiv ON (Filmarchiv Austria),FILMARCHIV ON,https://www.filmarchiv.at/de/filmarchiv-on,Free (non-profit),Restored Austrian classics + historical film documents,Active,National Film Archive / Cinematheque,Added,Non-profit free streaming; classics rotate monthly.
90,Greece,그리스,Cinobo,Cinobo,https://cinobo.com,SVOD + TVOD,Arthouse/world cinema + Greek films,Active,Arthouse / Curated,Original,Greece & Cyprus. ~€8.99/mo.
91,Greece,그리스,ERTFLIX,ERTFLIX (ΕΡΤFLIX),https://www.ertflix.gr,Free / AVOD (public),"European cinema, docs, Greek & foreign series",Active,Public Broadcaster,Added,Greek public broadcaster. Geo-restricted.
92,Greece,그리스,ANT1+,ANT1+,https://antplus.gr,SVOD,"Greek originals, films, series, live TV",Active,Commercial OTT,Added,Antenna Group.
93,Nordics & Baltics (SE/NO/FI/DK),북유럽·발트,SF Anytime,SF Anytime,https://www.sfanytime.com,TVOD,"Mainstream + arthouse film/series, rent/buy",Active,Commercial OTT,Original,One pan-Nordic/Baltic platform. SF Studios. Hollywood-heavy.
94,Nordics (DK/FI/IS/NO/SE/NL),북유럽(다국가),Viaplay,Viaplay,https://viaplay.com,SVOD,"Sport, films, Nordic originals",Active,Commercial OTT,Added,Major Nordic OTT. Exited Baltics/US/UK 2024.
95,Sweden,스웨덴,TriArt Play,TriArt Play,https://www.triartplay.se,TVOD + SVOD,Curated Swedish + world arthouse,Active,Arthouse / Curated,Original,Domain triartplay.se (not triart.se/play). Sweden-only.
96,Sweden,스웨덴,Filmarkivet.se,Filmarkivet.se,https://www.filmarkivet.se,Free (public),"Shorts, non-fiction, newsreels 1897–present",Active,National Film Archive / Cinematheque,Added,"~2,000 films free (SFI + National Library)."
97,Sweden,스웨덴,SVT Play,SVT Play,https://www.svtplay.se,Free (public),"Swedish public TV; drama, film, news",Active,Public Broadcaster,Added,Sweden's first streaming platform (2006).
98,Denmark,덴마크,Filmstriben,Filmstriben,https://www.filmstriben.dk,Free (library),"Danish films, docs, children's, shorts (4,600+)",Active,Library / Educational,Original,Free via public-library login.
99,Denmark,덴마크,DRTV,DRTV,https://www.dr.dk/drtv,Free (public) + AVOD,"Danish films, series, docs, live TV",Active,Public Broadcaster,Added,"DR public broadcaster. Free, ad-free."
100,Denmark,덴마크,Danish Silent Film (Stumfilm.dk),Stumfilm.dk,https://www.stumfilm.dk/en,Free (public),Danish silent feature films & shorts 1897–1928,Active,National Film Archive / Cinematheque,Added,400+ digitized silents; many with scores & English subs. Run by DFI.
101,Finland,핀란드,Yle Areena,Yle Areena,https://areena.yle.fi,Free (public) + AVOD,"Finnish films, series, docs, live TV/radio",Active,Public Broadcaster,Original,Funded by Yle tax; ad-free. Some geo-blocked.
102,Finland,핀란드,Elonet / KAVI,Elonet,https://elonet.finna.fi,Free (public),"National film archive: Finnish features, shorts, newsreels",Active,National Film Archive / Cinematheque,Added,Run by KAVI. Free for personal/educational use.
103,Norway,노르웨이,Filmbib,Filmbib,https://filmbib.no,Free (library),"Norwegian documentaries, shorts, animation",Active,Library / Educational,Added,Run by Norwegian Film Institute. Free via library card.
104,Norway,노르웨이,Filmoteket,Filmoteket,https://filmoteket.no,Free (library),"World + Norwegian features, docs, award-winners",Active,Library / Educational,Added,Library card.
105,Norway,노르웨이,Filmrommet (Norgesfilm),Filmrommet,https://norgesfilm.no,SVOD (institutional),"~3,000 Norwegian/Nordic/intl films, docs, shorts",Active,National Film Archive / Cinematheque,Added,Access via libraries/schools (institutional login).
106,Norway,노르웨이,NRK TV,NRK TV,https://tv.nrk.no,Free (public),"Norwegian public TV; Nordic content, ad-free",Active,Public Broadcaster,Added,Canonical URL tv.nrk.no.
107,Poland,폴란드,Ninateka,Ninateka,https://ninateka.pl,Free (non-profit),"Polish docs, features, animation, concerts (7,000+)",Active,National Film Archive / Cinematheque,Original,"Operated by FINA. Free, no login."
108,Poland,폴란드,Player.pl,Player,https://player.pl,SVOD + AVOD,Polish series & films + world titles,Active,Commercial OTT,Added,TVN/WBD. Absorbed defunct VOD.pl (2024).
109,Poland,폴란드,TVP VOD,TVP VOD,https://vod.tvp.pl,Free (public) + AVOD,"Polish film/series, restored classics",Active,Public Broadcaster,Added,Telewizja Polska.
110,Poland,폴란드,35mm.online,35mm.online,https://35mm.online,Free (public),"~4,000 restored Polish films, animation, newsreels",Active,National Film Archive / Cinematheque,Added,"WFDiF/Polish Film Institute. Free HD, EN/PL subs. Distinct from Ninateka."
111,Poland,폴란드,Polsat Box Go,Polsat Box Go,https://polsatboxgo.pl,SVOD + TVOD,"Polsat channels, series, sport (40,000+ hrs)",Active,Commercial OTT,Added,Polsat. Consolidated Polsat Go.
112,Russia,러시아,Okko,Okko (Окко),https://okko.tv,SVOD + TVOD + AVOD,"Russian films, series, originals, sport",Access-restricted,Commercial OTT,Original,Sber-owned. Geoblocked outside RU/CIS; foreign cards blocked.
113,Russia,러시아,Kinopoisk,Kinopoisk (Кинопоиск),https://www.kinopoisk.ru,SVOD + TVOD,Film database + SVOD (via Yandex Plus),Access-restricted,Commercial OTT,Original,Yandex-owned. Geoblocked; sanctions block foreign cards.
114,Russia,러시아,ivi,иви,https://www.ivi.ru,AVOD + SVOD,"Films, TV, broad catalog",Active / Access-restricted,Commercial OTT,Added,~10M users. ivi+ premium tier.
115,Russia,러시아,Wink,Wink,https://wink.ru,SVOD + Free,"Films, TV, 300+ live channels",Active / Access-restricted,Commercial OTT,Added,Rostelecom-owned (state telco).
116,Russia,러시아,Premier,Премьер,https://premier.one,SVOD,"Russian originals, series",Active / Access-restricted,Commercial OTT,Added,Gazprom-Media-owned.
117,Russia,러시아,START,START,https://start.ru,SVOD,Russian films/series originals,Active / Access-restricted,Commercial OTT,Added,~1.7M subscribers.
118,Russia,러시아,KION,KION,https://kion.ru,SVOD,"Films, originals, TV channels",Active / Access-restricted,Commercial OTT,Added,MTS-owned.
119,Russia,러시아,Net-Film Newsreel Archive,Net-Film (Нет-фильм),https://www.net-film.ru/en/,Free to view (licensing TVOD),"38,000+ newsreels, docs, historical footage (USSR/Russia)",Active,National Film Archive / Cinematheque,Added,Carries Gosfilmofond content; free to watch online.
120,Czech Republic,체코,DAFilms (Doc Alliance Films),DAFilms,https://dafilms.cz,SVOD + TVOD,Documentary + experimental/festival film,Active,Arthouse / Curated,Original,Czech storefront; intl hub dafilms.com.
121,Czech Republic,체코,NFA – Filmová klasika,Národní filmový archiv – Filmová klasika,https://www.youtube.com/@Filmovaklasika,Free (public),Restored Czech feature classics (full-length),Active,National Film Archive / Cinematheque,Added,NFA's free YouTube channel (launched Dec 2024). 2 films/week.
122,Czech Republic,체코,Oneplay,Oneplay,https://www.oneplay.cz,SVOD + live,"General entertainment, originals, sport",Active,Commercial OTT,Added,Replaced Voyo CZ — Voyo + O2 TV merged into Oneplay (Mar 2025). PPF/CME.
123,Czech Republic,체코,ČT iVysílání,Česká televize iVysílání,https://www.ceskatelevize.cz/ivysilani/,Free (public),Public VOD + live news (ČT24),Active,Public Broadcaster,Added,Czech public broadcaster.
124,Hungary,헝가리,Filmio,FILMIO,https://filmio.hu,AVOD + TVOD / Free,"Hungarian films: classics, new releases, animation",Active,National Cinema / Film Institute,Original,Operated by National Film Institute (NFI). Many titles free.
125,Hungary,헝가리,RTL+,RTL+,https://www.rtlplusz.hu,SVOD,"Largest Hungarian platform; originals, films, sport",Active (formerly RTL Most),Commercial OTT,Added,Hungary's flagship commercial SVOD.
126,Hungary,헝가리,MédiaKlikk (MTVA),Médiaklikk,https://mediaklikk.hu,Free (public),"Hungarian public live + on-demand (M1–M5, Duna)",Active,Public Broadcaster,Added,Operated by MTVA / Duna Média.
127,Romania,루마니아,TIFF Unlimited,TIFF Unlimited,https://unlimited.tiff.ro,SVOD,Romanian + intl award-winning film,Active,Arthouse / Curated,Original,By Transilvania IFF. RO-territory.
128,Ukraine,우크라이나,Takflix,Takflix,https://takflix.com,TVOD + SVOD,Curated Ukrainian cinema,Active,Arthouse / Curated,Original,50% revenue to filmmakers. Worldwide access.
129,Baltics (LT/LV/EE),발트3국,Go3,Go3,https://go3.tv,SVOD + AVOD,Mainstream OTT + local Baltic film/series,Active,Commercial OTT,Original,TV3 Group. Also go3.lt / go3.lv.
130,Estonia,에스토니아,ERR Jupiter,Jupiter,https://jupiter.err.ee,Free (public),"Estonian + foreign films, series, docs",Active,Public Broadcaster,Added,Largest free Estonian platform.
131,Lithuania,리투아니아,LRT Mediateka,LRT Mediateka,https://www.lrt.lt/mediateka,Free (public),"Lithuanian programming, films, docs",Active,Public Broadcaster,Added,LRT archive. Free worldwide except rights-restricted.
132,Croatia,크로아티아,Croatian.film,Croatian.film,https://croatian.film,AVOD/Free + TVOD,~400 Croatian films,Active,National Cinema / Film Institute,Original,"Croatian Audiovisual Centre. Bilingual HR/EN, worldwide."
133,Croatia,크로아티아,HRTi,HRTi,https://hrti.hrt.hr,Free (public) + AVOD,"Croatian films & series, live TV",Active,Public Broadcaster,Added,HRT public broadcaster.
134,Slovakia,슬로바키아,DAFilms.sk,DAFilms,https://dafilms.sk,SVOD + TVOD,Documentary/festival + Slovak national film,Active,Arthouse / Curated,Original,Slovak Doc Alliance storefront.
