PART: Family   (총 178개 이론, 현행 Major 94개)
[1] X. Theoretical Frameworks (PPP. Family & Theory)  ::  Parental Alienation Theory
[1] X. Theoretical Frameworks (Q. Childhood Studies)  ::  Child-Centered Family Theory
[1] X. Theoretical Frameworks (QQ. Family & Migration)  ::  Transnational Motherhood Theory
[1] X. Theoretical Frameworks (QQQ. Family & Theory)  ::  Adolescent Autonomy Granting Theory
[1] X. Theoretical Frameworks (R. Legal Studies)  ::  Best Interests of the Child Doctrine
[1] X. Theoretical Frameworks (RR. Family & Policy)  ::  Familialism
[1] X. Theoretical Frameworks (RRR. Family & Theory)  ::  Homeostatic Family Theory
[1] X. Theoretical Frameworks (S. Public Policy)  ::  Welfare State and Family Theory
[1] X. Theoretical Frameworks (SS. Family & Psychology)  ::  Scapegoat Theory (Family)
[1] X. Theoretical Frameworks (SSS. Family & Theory)  ::  Scapegoating (Family Dynamics)
[1] X. Theoretical Frameworks (T. Sociology of Emotions)  ::  Affective Practices in Families
[1] X. Theoretical Frameworks (TT. Family & Social Capital)  ::  Bonding Capital (Family)
[1] X. Theoretical Frameworks (TTT. Family & Theory)  ::  Family Life Education Theory
[1] X. Theoretical Frameworks (U. Sociology of Childhood)  ::  Sociology of Childhood (Family)
[1] X. Theoretical Frameworks (UU. Family & Social Capital)  ::  Bridging Capital (Family)
[1] X. Theoretical Frameworks (UUU. Family & Theory)  ::  Intergenerational Ambivalence
[1] X. Theoretical Frameworks (V. Disability Studies)  ::  Family Resilience and Disability
[1] X. Theoretical Frameworks (VV. Family & Stress)  ::  Chronic Sorrow (Family)
[1] X. Theoretical Frameworks (VVV. Family & Theory)  ::  Family Microaggressions
[1] X. Theoretical Frameworks (W. Gender and Work)  ::  Gendered Division of Labor (Family)
[1] X. Theoretical Frameworks (WW. Family & Resilience)  ::  Hardiness (Family)
[1] X. Theoretical Frameworks (WWW. Family & Theory)  ::  Family Storytelling (Therapy)
[1] X. Theoretical Frameworks (X. Global & Transnational)  ::  Remittance Economy (Family)
[1] X. Theoretical Frameworks (XX. Family & Therapy)  ::  Conjoint Family Therapy
[1] X. Theoretical Frameworks (XXX. Family & Theory)  ::  Family Leisure Theory
[1] X. Theoretical Frameworks (Y. Family & Mental Health)  ::  Family Burden Theory (Mental Health)
[1] X. Theoretical Frameworks (YY. Family & Therapy)  ::  Strategic Family Therapy
[1] X. Theoretical Frameworks (YYY. Family & Theory)  ::  Family Meaning-Making
[1] X. Theoretical Frameworks (Z. Family & Social Change)  ::  Second Demographic Transition Theory (Family)
[1] X. Theoretical Frameworks (ZZ. Family & Therapy)  ::  Milan Systemic Family Therapy
[1] X. Theoretical Frameworks (ZZZ. Family & Theory)  ::  Family Strengths Perspective
