auteur_slug,film_title,film_year,film_wikidata,rep_type,note
auteur-bi-gan,Resurrection,2025,Q122329458,recent,Cannes Special Award 2025
auteur-wang-bing,Tie Xi Qu: West of the Tracks,2003,Q3576744,defining,9-hour documentary landmark
auteur-wang-bing,'Til Madness Do Us Part,2013,Q19952772,defining,Venice Orizzonti documentary
auteur-wang-bing,Youth (Spring),2023,Q117706339,recent,Cannes competition 2023
auteur-chung-mong-hong,The Fourth Portrait,2010,Q19849458,defining,Golden Horse Best Director 2010
auteur-chung-mong-hong,Soul,2013,Q15040712,defining,Taiwan Oscar submission
auteur-chung-mong-hong,A Sun,2019,Q69400860,both,Golden Horse Best Feature & Director 2019
auteur-brillante-mendoza,Serbis,2008,Q3479121,defining,first Filipino Cannes competition entry in decades
auteur-brillante-mendoza,Kinatay,2009,Q1627903,defining,Cannes Best Director 2009
auteur-brillante-mendoza,Ma' Rosa,2016,Q23834520,both,Cannes Best Actress 2016
auteur-asghar-farhadi,About Elly,2009,Q1311890,defining,"Silver Bear Best Director, breakthrough"
auteur-asghar-farhadi,A Separation,2011,Q640561,both,Oscar + Golden Bear winner
auteur-asghar-farhadi,The Salesman,2016,Q22344480,both,"second Oscar, Cannes screenplay"
auteur-jafar-panahi,The Circle,2000,Q1194947,defining,Venice Golden Lion
auteur-jafar-panahi,This Is Not a Film,2011,Q627471,both,made under house arrest
auteur-jafar-panahi,Taxi,2015,Q18844625,both,Berlin Golden Bear
auteur-jafar-panahi,No Bears,2022,Q113151425,recent,Venice Special Jury Prize
auteur-nadine-labaki,Caramel,2007,Q544992,defining,breakthrough debut feature
auteur-nadine-labaki,Where Do We Go Now?,2011,Q1766235,both,Cannes Un Certain Regard
auteur-nadine-labaki,Capernaum,2018,Q51803319,both,"Cannes Jury Prize, Oscar nominee"
auteur-elia-suleiman,Divine Intervention,2002,Q1388799,defining,Cannes Jury Prize
auteur-elia-suleiman,The Time That Remains,2009,Q3227617,defining,Cannes competition
auteur-elia-suleiman,It Must Be Heaven,2019,Q63226387,recent,Cannes special mention
auteur-haifaa-al-mansour,Wadjda,2012,Q5474120,both,first Saudi feature by a woman
auteur-haifaa-al-mansour,The Perfect Candidate,2019,Q65954726,recent,Venice competition
auteur-mohammad-rasoulof,A Man of Integrity,2017,Q29401467,both,Cannes Un Certain Regard winner
auteur-mohammad-rasoulof,There Is No Evil,2020,Q84321441,both,Berlin Golden Bear
auteur-mohammad-rasoulof,The Seed of the Sacred Fig,2024,Q125563776,recent,"Cannes Special Award, Oscar nominee"
auteur-ari-folman,Waltz with Bashir,2008,Q160793,defining,"Golden Globe, Oscar nominee"
auteur-ari-folman,The Congress,2013,Q3520383,recent,Cannes Directors' Fortnight opener
auteur-nadav-lapid,The Kindergarten Teacher,2014,Q18214949,both,breakthrough feature
auteur-nadav-lapid,Synonyms,2019,Q61672685,both,Berlin Golden Bear
auteur-nadav-lapid,Ahed's Knee,2021,Q107089450,recent,Cannes Jury Prize
auteur-mati-diop,Atlantics,2019,Q63212985,both,Cannes Grand Prix debut
auteur-mati-diop,Dahomey,2024,Q124319816,recent,Berlin Golden Bear
auteur-payal-kapadia,A Night of Knowing Nothing,2021,Q108613403,recent,Cannes Golden Eye documentary
auteur-payal-kapadia,All We Imagine as Light,2024,Q125422662,both,Cannes Grand Prix
auteur-jayro-bustamante,Ixcanul,2015,Q18702255,both,Berlin Silver Bear debut
auteur-jayro-bustamante,Temblores,2019,Q60583022,recent,Berlinale Panorama
auteur-jayro-bustamante,La Llorona,2019,Q66813625,recent,"Venice premiere, Oscar shortlist"
auteur-kaouther-ben-hania,Beauty and the Dogs,2017,Q29413105,both,Cannes Un Certain Regard
auteur-kaouther-ben-hania,The Man Who Sold His Skin,2020,Q88465322,recent,first Tunisian Oscar nominee
auteur-kaouther-ben-hania,Four Daughters,2023,Q117705910,recent,"Cannes L'Oeil d'or, Oscar nominee"
auteur-anurag-kashyap,Black Friday,2007,Q621690,defining,breakthrough crime drama
auteur-anurag-kashyap,Dev.D,2009,Q3506295,defining,modern Devdas adaptation
auteur-anurag-kashyap,Gangs of Wasseypur,2012,Q21001632,both,cult crime epic
auteur-hany-abu-assad,Paradise Now,2005,Q309459,defining,"Golden Globe, Oscar nominee"
auteur-hany-abu-assad,Omar,2013,Q13475554,recent,"Cannes Jury Prize, Oscar nominee"
auteur-nabil-ayouch,Horses of God,2012,Q5274248,both,Cannes Un Certain Regard
auteur-nabil-ayouch,Much Loved,2015,Q19894499,recent,Cannes Directors' Fortnight
auteur-nabil-ayouch,Casablanca Beats,2021,Q107096526,recent,first Moroccan Cannes competition film
auteur-oliver-hermanus,Beauty,2011,Q2270848,both,"Cannes Queer Palm, Skoonheid"
auteur-oliver-hermanus,Moffie,2019,Q72697912,recent,Venice premiere
auteur-oliver-hermanus,Living,2022,Q107304169,recent,Oscar-nominated screenplay
auteur-cj-obasi,Mami Wata,2023,Q116947644,recent,Sundance Special Jury Prize
auteur-adilkhan-yerzhanov,The Owners,2014,Q18129067,defining,Cannes ACID selection breakthrough
auteur-adilkhan-yerzhanov,A Dark Dark Man,2019,Q98546087,recent,APSA Best Director
auteur-adilkhan-yerzhanov,Yellow Cat,2020,Q98690237,recent,Venice Orizzonti
auteur-ali-abbasi,Border,2018,Q53736577,both,Cannes Un Certain Regard winner
auteur-ali-abbasi,Holy Spider,2022,Q111600223,recent,Cannes Best Actress
auteur-ali-abbasi,The Apprentice,2024,Q123582987,recent,Cannes competition Trump biopic
auteur-steve-mcqueen,Hunger,2008,,defining,Caméra d'Or
auteur-steve-mcqueen,Shame,2011,,both,"Venice, Volpi Cup"
auteur-steve-mcqueen,12 Years a Slave,2013,,both,Best Picture Oscar
auteur-michael-haneke,Caché,2005,,defining,Cannes Best Director
auteur-michael-haneke,The White Ribbon,2009,,defining,Palme d'Or
auteur-michael-haneke,Amour,2012,,both,"Palme d'Or, Foreign Oscar"
auteur-dardenne-brothers,Rosetta,1999,,defining,Palme d'Or
auteur-dardenne-brothers,The Son,2002,,defining,Cannes Best Actor
auteur-dardenne-brothers,L'Enfant,2005,,defining,Palme d'Or
auteur-pedro-almodovar,All About My Mother,1999,,defining,Foreign Oscar
auteur-pedro-almodovar,Talk to Her,2002,,defining,Original Screenplay Oscar
auteur-pedro-almodovar,Volver,2006,,defining,Cannes Best Screenplay
auteur-pedro-almodovar,Pain and Glory,2019,,recent,Cannes Best Actor
auteur-martin-mcdonagh,In Bruges,2008,,defining,BAFTA Screenplay
auteur-martin-mcdonagh,Three Billboards Outside Ebbing Missouri,2017,,both,"Venice, 2 Oscars"
auteur-martin-mcdonagh,The Banshees of Inisherin,2022,,recent,9 Oscar noms
auteur-paolo-sorrentino,Il Divo,2008,,defining,Cannes Jury Prize
auteur-paolo-sorrentino,The Great Beauty,2013,,both,Foreign Oscar
auteur-paolo-sorrentino,The Hand of God,2021,,recent,Venice Grand Jury Prize
auteur-jacques-audiard,A Prophet,2009,,defining,Cannes Grand Prix
auteur-jacques-audiard,Rust and Bone,2012,,defining,Cannes competition
auteur-jacques-audiard,Dheepan,2015,,both,Palme d'Or
auteur-jacques-audiard,Emilia Pérez,2024,,recent,Cannes Jury Prize
auteur-jonathan-glazer,Sexy Beast,2000,,defining,debut acclaim
auteur-jonathan-glazer,Under the Skin,2013,,defining,cult landmark
auteur-jonathan-glazer,The Zone of Interest,2023,,both,"Cannes Grand Prix, Oscar"
auteur-maren-ade,Everyone Else,2009,,defining,Berlinale Grand Jury Prize
auteur-maren-ade,Toni Erdmann,2016,,both,European Film Award Best Film
auteur-christian-petzold,Barbara,2012,,defining,Berlinale Best Director
auteur-christian-petzold,Phoenix,2014,,defining,critical landmark
auteur-christian-petzold,Transit,2018,,recent,acclaimed adaptation
auteur-christian-petzold,Afire,2023,,recent,Berlinale Grand Jury Prize
auteur-alice-rohrwacher,The Wonders,2014,,defining,Cannes Grand Prix
auteur-alice-rohrwacher,Happy as Lazzaro,2018,,both,Cannes Best Screenplay
auteur-alice-rohrwacher,La Chimera,2023,,recent,Cannes competition
auteur-pedro-costa,In Vanda's Room,2000,,defining,Cannes FIPRESCI
auteur-pedro-costa,Colossal Youth,2006,,defining,Cannes competition
auteur-pedro-costa,Horse Money,2014,,both,Locarno Best Director
auteur-pedro-costa,Vitalina Varela,2019,,recent,Locarno Golden Leopard
auteur-celine-sciamma,Tomboy,2011,,defining,Berlinale Panorama
auteur-celine-sciamma,Girlhood,2014,,defining,Cannes Directors' Fortnight
auteur-celine-sciamma,Portrait of a Lady on Fire,2019,,both,Cannes Best Screenplay
auteur-celine-sciamma,Petite Maman,2021,,recent,Berlinale competition
auteur-julia-ducournau,Raw,2016,,defining,Cannes FIPRESCI
auteur-julia-ducournau,Titane,2021,,both,Palme d'Or
auteur-andrea-arnold,Red Road,2006,,defining,Cannes Jury Prize
auteur-andrea-arnold,Fish Tank,2009,,defining,Cannes Jury Prize
auteur-andrea-arnold,American Honey,2016,,both,Cannes Jury Prize
auteur-matteo-garrone,Gomorrah,2008,,defining,Cannes Grand Prix
auteur-matteo-garrone,Reality,2012,,defining,Cannes Grand Prix
auteur-matteo-garrone,Dogman,2018,,recent,Cannes Best Actor
auteur-matteo-garrone,Io Capitano,2023,,recent,Venice Best Director
auteur-lukas-dhont,Girl,2018,,defining,"Cannes Caméra d'Or, Queer Palm"
auteur-lukas-dhont,Close,2022,,both,Cannes Grand Prix
auteur-miguel-gomes,Tabu,2012,,defining,Berlinale Alfred Bauer Prize
auteur-miguel-gomes,Arabian Nights,2015,,defining,Cannes Directors' Fortnight
auteur-miguel-gomes,Grand Tour,2024,,recent,Cannes Best Director
auteur-jessica-hausner,Lourdes,2009,,defining,Venice FIPRESCI
auteur-jessica-hausner,Amour Fou,2014,,defining,Cannes Un Certain Regard
auteur-jessica-hausner,Little Joe,2019,,both,Cannes Best Actress
auteur-jessica-hausner,Club Zero,2023,,recent,Cannes competition
auteur-lenny-abrahamson,Garage,2007,,defining,Cannes CICAE Award
auteur-lenny-abrahamson,Frank,2014,,defining,Sundance premiere
auteur-lenny-abrahamson,Room,2015,,both,Best Picture nominee
auteur-carla-simon,Summer 1993,2017,,defining,Berlinale Best First Feature
auteur-carla-simon,Alcarràs,2022,,both,Golden Bear
auteur-fatih-akin,Head-On,2004,,defining,Golden Bear
auteur-fatih-akin,The Edge of Heaven,2007,,defining,Cannes Best Screenplay
auteur-fatih-akin,In the Fade,2017,,recent,Golden Globe Foreign
auteur-alex-van-warmerdam,The Northerners,1992,,defining,Golden Calf Best Director
auteur-alex-van-warmerdam,Borgman,2013,,both,Cannes competition
auteur-john-crowley,Boy A,2007,,defining,BAFTA Best Director TV
auteur-john-crowley,Brooklyn,2015,,both,3 Oscar noms
auteur-john-crowley,We Live in Time,2024,,recent,box-office hit
auteur-albert-serra,Story of My Death,2013,,defining,Locarno Golden Leopard
auteur-albert-serra,The Death of Louis XIV,2016,,defining,Prix Jean Vigo
auteur-albert-serra,Pacifiction,2022,,recent,"Cannes competition, César"
auteur-aki-kaurismaki,The Man Without a Past,2002,Q944984,defining,"Cannes Grand Prix, Oscar-nominated"
auteur-aki-kaurismaki,Le Havre,2011,,defining,Cannes FIPRESCI prize
auteur-aki-kaurismaki,Fallen Leaves,2023,Q113396073,both,Cannes Jury Prize
auteur-ruben-ostlund,Force Majeure,2014,Q10706553,defining,Cannes Un Certain Regard Jury Prize
auteur-ruben-ostlund,The Square,2017,Q27237522,both,Palme d'Or winner
auteur-ruben-ostlund,Triangle of Sadness,2022,Q97304180,both,second Palme d'Or
auteur-thomas-vinterberg,The Celebration,1998,Q841958,defining,"first Dogme 95 film, Cannes Jury Prize"
auteur-thomas-vinterberg,The Hunt,2012,Q32303,defining,Cannes Best Actor; Oscar-nominated
auteur-thomas-vinterberg,Another Round,2020,Q69303989,both,Oscar Best International Feature
auteur-joachim-trier,Reprise,2006,,defining,acclaimed debut; Oslo trilogy
auteur-joachim-trier,"Oslo, August 31st",2011,Q401566,defining,Cannes competition; Oslo trilogy
auteur-joachim-trier,The Worst Person in the World,2021,Q107089587,both,"Cannes Best Actress, Oscar-nominated"
auteur-lars-von-trier,Breaking the Waves,1996,Q538412,defining,Cannes Grand Prix
auteur-lars-von-trier,Dancer in the Dark,2000,Q110365,defining,Palme d'Or winner
auteur-lars-von-trier,Melancholia,2011,Q165699,defining,Cannes Best Actress
auteur-roy-andersson,Songs from the Second Floor,2000,Q2301516,defining,"Cannes Jury Prize, Living trilogy"
auteur-roy-andersson,You the Living,2007,Q387727,defining,Cannes Un Certain Regard
auteur-roy-andersson,A Pigeon Sat on a Branch Reflecting on Existence,2014,Q10483256,both,Venice Golden Lion
auteur-nicolas-winding-refn,Pusher,1996,Q316761,defining,breakthrough debut
auteur-nicolas-winding-refn,Drive,2011,Q732960,both,Cannes Best Director
auteur-nicolas-winding-refn,The Neon Demon,2016,Q19750881,both,signature neon-noir style
auteur-eskil-vogt,Blind,2014,Q15648873,defining,Sundance Screenwriting Award
auteur-eskil-vogt,The Innocents,2021,Q107112059,both,Cannes Un Certain Regard
auteur-juho-kuosmanen,The Happiest Day in the Life of Olli Mäki,2016,Q23838435,defining,Cannes Un Certain Regard top prize
auteur-juho-kuosmanen,Compartment No. 6,2021,Q107092356,both,Cannes Grand Prix
auteur-yorgos-lanthimos,Dogtooth,2009,Q1075918,defining,"Un Certain Regard 2009, Oscar nominee"
auteur-yorgos-lanthimos,The Favourite,2018,,defining,"10 Oscar noms, Venice Grand Jury Prize"
auteur-yorgos-lanthimos,Poor Things,2023,Q108760382,both,"Golden Lion 2023, 4 Oscars"
auteur-pawel-pawlikowski,Ida,2013,,defining,Oscar Best Foreign Film 2015
auteur-pawel-pawlikowski,Cold War,2018,,both,Cannes Best Director 2018
auteur-nuri-bilge-ceylan,Distant,2002,,defining,Cannes Grand Prix 2003
auteur-nuri-bilge-ceylan,Once Upon a Time in Anatolia,2011,,defining,Cannes Grand Prix 2011
auteur-nuri-bilge-ceylan,Winter Sleep,2014,,both,Palme d'Or 2014
auteur-andrey-zvyagintsev,The Return,2003,,defining,Golden Lion 2003
auteur-andrey-zvyagintsev,Leviathan,2014,Q15972383,both,"Cannes Best Screenplay 2014, Golden Globe"
auteur-andrey-zvyagintsev,Loveless,2017,,both,Cannes Jury Prize 2017
auteur-cristian-mungiu,"4 Months, 3 Weeks and 2 Days",2007,,defining,Palme d'Or 2007
auteur-cristian-mungiu,Beyond the Hills,2012,,defining,Cannes Best Screenplay 2012
auteur-cristian-mungiu,Graduation,2016,,recent,Cannes Best Director 2016
auteur-cristian-mungiu,R.M.N.,2022,,recent,Cannes competition 2022
auteur-agnieszka-holland,Europa Europa,1990,,defining,"Golden Globe, Oscar screenplay nom"
auteur-agnieszka-holland,In Darkness,2011,,defining,Oscar Best Foreign Film nominee
auteur-agnieszka-holland,Green Border,2023,,recent,Venice Special Jury Prize 2023
auteur-radu-jude,Aferim!,2015,,defining,Berlin Silver Bear Best Director 2015
auteur-radu-jude,Bad Luck Banging or Loony Porn,2021,,both,Golden Bear 2021
auteur-radu-jude,Do Not Expect Too Much from the End of the World,2023,,recent,Locarno Special Jury Prize 2023
auteur-danis-tanovic,No Man's Land,2001,,defining,Oscar Best Foreign Film 2001
auteur-danis-tanovic,An Episode in the Life of an Iron Picker,2013,,recent,Berlin Grand Jury Prize 2013
auteur-sergei-loznitsa,My Joy,2010,,defining,Cannes competition 2010 debut
auteur-sergei-loznitsa,In the Fog,2012,,defining,Cannes FIPRESCI 2012
auteur-sergei-loznitsa,Maidan,2014,,recent,Cannes documentary 2014
auteur-sergei-loznitsa,Donbass,2018,,recent,Un Certain Regard Best Director 2018
auteur-cristi-puiu,The Death of Mr. Lazarescu,2005,,defining,Cannes Un Certain Regard 2005
auteur-cristi-puiu,Aurora,2010,,defining,Cannes Un Certain Regard 2010
auteur-cristi-puiu,Sieranevada,2016,,recent,Cannes competition 2016
auteur-laszlo-nemes,Son of Saul,2015,Q19816400,defining,"Oscar Best Foreign Film, Cannes Grand Prix"
auteur-laszlo-nemes,Sunset,2018,,recent,Venice FIPRESCI 2018
auteur-kantemir-balagov,Closeness,2017,,defining,Un Certain Regard FIPRESCI 2017
auteur-kantemir-balagov,Beanpole,2019,,both,Un Certain Regard Best Director 2019
auteur-jasmila-zbanic,Grbavica,2006,,defining,Golden Bear 2006
auteur-jasmila-zbanic,"Quo Vadis, Aida?",2020,Q97765712,both,"Oscar nominee, Venice competition"
auteur-athina-rachel-tsangari,Attenberg,2010,,defining,"Venice, Best Actress 2010"
auteur-athina-rachel-tsangari,Chevalier,2015,,defining,Locarno Best Film 2015
auteur-athina-rachel-tsangari,Harvest,2024,,recent,Venice competition 2024
auteur-jan-komasa,Suicide Room,2011,,defining,Berlin Panorama 2011 debut
auteur-jan-komasa,Corpus Christi,2019,,both,Oscar Best Foreign Film nominee
auteur-jan-komasa,The Hater,2020,,recent,Tribeca Best Narrative 2020
auteur-semih-kaplanoglu,Egg,2007,,defining,Cannes Directors' Fortnight 2007
auteur-semih-kaplanoglu,Honey,2010,,defining,Golden Bear 2010
auteur-ildiko-enyedi,My Twentieth Century,1989,,defining,Cannes Camera d'Or 1989
auteur-ildiko-enyedi,On Body and Soul,2017,,both,"Golden Bear 2017, Oscar nominee"
auteur-ildiko-enyedi,The Story of My Wife,2021,,recent,Cannes competition 2021
auteur-kirill-serebrennikov,The Student,2016,,defining,Un Certain Regard 2016
auteur-kirill-serebrennikov,Leto,2018,,both,Cannes competition 2018
auteur-kirill-serebrennikov,Petrov's Flu,2021,,recent,Cannes competition 2021
auteur-kirill-serebrennikov,Tchaikovsky's Wife,2022,,recent,Cannes competition 2022
auteur-dea-kulumbegashvili,Beginning,2020,,both,San Sebastian Best Film & Director 2020
auteur-dea-kulumbegashvili,April,2024,,recent,Venice Special Jury Prize 2024
auteur-myroslav-slaboshpytskyi,The Tribe,2014,,defining,Cannes Critics' Week Grand Prize 2014
auteur-paul-thomas-anderson,There Will Be Blood,2007,Q244315,defining,"Day-Lewis Best Actor, PTA magnum opus"
auteur-paul-thomas-anderson,The Master,2012,Q283586,defining,Venice Silver Lion
auteur-paul-thomas-anderson,Phantom Thread,2017,Q28840386,defining,Best Picture nominee
auteur-alfonso-cuaron,Y Tu Mamá También,2001,Q128848,defining,Venice screenplay prize
auteur-alfonso-cuaron,Children of Men,2006,Q221090,defining,acclaimed dystopian drama
auteur-alfonso-cuaron,Gravity,2013,Q2579784,defining,first Oscar for Best Director
auteur-alfonso-cuaron,Roma,2018,Q27959455,both,"Golden Lion, second Best Director Oscar"
auteur-denis-villeneuve,Incendies,2010,Q1212650,defining,Oscar Foreign Language nominee
auteur-denis-villeneuve,Arrival,2016,Q20382729,both,Best Director Oscar nominee
auteur-denis-villeneuve,Blade Runner 2049,2017,Q21500755,recent,Deakins cinematography Oscar
auteur-denis-villeneuve,Dune,2021,Q60834962,recent,six Oscars
auteur-jane-campion,The Piano,1993,Q117315,defining,Palme d'Or; Original Screenplay Oscar
auteur-jane-campion,The Power of the Dog,2021,Q85323337,both,Best Director Oscar
auteur-guillermo-del-toro,The Devil's Backbone,2001,Q1350521,defining,gothic ghost story
auteur-guillermo-del-toro,Pan's Labyrinth,2006,Q216006,defining,three Oscars
auteur-guillermo-del-toro,The Shape of Water,2017,Q26698156,both,Best Picture and Best Director
auteur-alejandro-gonzalez-inarritu,Amores Perros,2000,Q474098,defining,first of Death Trilogy
auteur-alejandro-gonzalez-inarritu,Birdman,2014,Q13255497,both,Best Picture and Best Director
auteur-alejandro-gonzalez-inarritu,The Revenant,2015,Q18002795,recent,second consecutive Best Director Oscar
auteur-pablo-larrain,No,2012,Q2620241,defining,Oscar Foreign Language nominee
auteur-pablo-larrain,The Club,2015,Q18959440,defining,Berlin Grand Jury Prize
auteur-pablo-larrain,Jackie,2016,Q22350767,recent,acclaimed English-language biopic
auteur-kleber-mendonca-filho,Neighbouring Sounds,2012,Q4414346,defining,acclaimed debut feature
auteur-kleber-mendonca-filho,Aquarius,2016,Q23833608,defining,Cannes competition
auteur-kleber-mendonca-filho,Bacurau,2019,Q63246555,both,"Cannes Jury Prize, co-dir Dornelles"
auteur-kleber-mendonca-filho,The Secret Agent,2025,Q132531438,recent,Cannes director and actor prizes
auteur-damien-chazelle,Whiplash,2014,Q15648198,defining,Sundance Grand Jury Prize
auteur-damien-chazelle,La La Land,2016,Q20856802,both,Best Director Oscar
auteur-barry-jenkins,Moonlight,2016,Q21527875,both,Best Picture Oscar
auteur-barry-jenkins,If Beale Street Could Talk,2018,Q38685547,recent,supporting actress Oscar
auteur-sarah-polley,Away from Her,2006,Q482652,defining,Oscar screenplay nominee
auteur-sarah-polley,Women Talking,2022,Q108030443,both,Best Adapted Screenplay Oscar
auteur-lucrecia-martel,La Ciénaga,2001,Q3214034,defining,New Argentine Cinema landmark
auteur-lucrecia-martel,The Headless Woman,2008,Q2636960,defining,Cannes competition
auteur-lucrecia-martel,Zama,2017,Q22931120,recent,acclaimed colonial-era drama
auteur-sebastian-lelio,Gloria,2013,Q5013909,defining,Berlin Silver Bear for lead
auteur-sebastian-lelio,A Fantastic Woman,2017,Q28127580,both,Best Foreign Language Film Oscar
auteur-karim-ainouz,Madame Satã,2002,Q3102024,defining,Cannes Un Certain Regard debut
auteur-karim-ainouz,Futuro Beach,2014,Q16938850,defining,Berlinale competition
auteur-karim-ainouz,Invisible Life,2019,Q64166529,recent,Cannes Un Certain Regard
auteur-xavier-dolan,I Killed My Mother,2009,Q2354576,defining,Cannes Directors' Fortnight debut
auteur-xavier-dolan,Laurence Anyways,2012,,defining,Cannes Un Certain Regard
auteur-xavier-dolan,Mommy,2014,Q16395232,both,Cannes Jury Prize
auteur-damian-szifron,Tiempo de Valientes,2005,Q7801019,defining,Argentine breakthrough
auteur-damian-szifron,Wild Tales,2014,Q16672466,both,"Oscar and BAFTA nominee, anthology"
auteur-damian-szifron,To Catch a Killer,2023,Q105123073,recent,Hollywood thriller debut
auteur-ciro-guerra,Embrace of the Serpent,2015,Q19824642,both,first Colombian film Oscar-nominated
auteur-ciro-guerra,Birds of Passage,2018,Q51998716,recent,Cannes Directors' Fortnight opener
auteur-juliano-dornelles,Bacurau,2019,Q63246555,both,"Cannes Jury Prize, co-dir Mendonça Filho"
auteur-justin-kurzel,Snowtown,2011,Q2133240,defining,AACTA Best Direction
auteur-justin-kurzel,Macbeth,2015,Q15934383,defining,Cannes competition
auteur-justin-kurzel,Nitram,2021,Q106462638,recent,Cannes Best Actor
auteur-jennifer-kent,The Babadook,2014,Q16011764,defining,acclaimed horror debut
auteur-jennifer-kent,The Nightingale,2018,Q29262902,recent,Venice Special Jury Prize
auteur-christos-nikou,Apples,2020,,both,
auteur-deniz-gamze-erguven,Mustang,2015,,both,
auteur-kornel-mundruczo,White God,2014,,both,
auteur-kornel-mundruczo,Pieces of a Woman,2020,,both,
auteur-santiago-mitre,Paulina,2015,,both,
auteur-santiago-mitre,The Summit,2017,,both,
auteur-santiago-mitre,Argentina 1985,2022,,both,
auteur-maite-alberdi,The Mole Agent,2020,,both,
auteur-maite-alberdi,The Eternal Memory,2023,,both,
auteur-bas-devos,Ghost Tropic,2019,,both,
auteur-bas-devos,Here,2023,,both,
auteur-alejandro-landes,Porfirio,2011,,both,
auteur-alejandro-landes,Monos,2019,,both,
auteur-laura-mora-ortega,Killing Jesus,2017,,both,
auteur-laura-mora-ortega,The Kings of the World,2022,,both,
auteur-nawapol-thamrongrattanarit,"Mary Is Happy, Mary Is Happy",2013,,both,
auteur-nawapol-thamrongrattanarit,Heart Attack,2015,,both,
auteur-nawapol-thamrongrattanarit,Fast & Feel Love,2022,,both,
auteur-banjong-pisanthanakun,Shutter,2004,,defining,
auteur-banjong-pisanthanakun,Pee Mak,2013,,both,
auteur-banjong-pisanthanakun,The Medium,2021,,both,
auteur-joao-pedro-rodrigues,O Fantasma,2000,,defining,
auteur-joao-pedro-rodrigues,To Die Like a Man,2009,,defining,
auteur-joao-pedro-rodrigues,The Ornithologist,2016,,both,
auteur-sebastian-meise,Still Life,2011,,both,
auteur-sebastian-meise,Great Freedom,2021,,both,
auteur-maria-sodahl,Limbo,2010,,both,
auteur-maria-sodahl,Hope,2019,,both,
auteur-hanna-bergholm,Hatching,2022,,both,
auteur-samuel-maoz,Lebanon,2009,,defining,
