list_slug,facet,wikidata,method,note
oscar-best-picture,award,Q102427,sparql_P166,
oscar-best-director,award,Q103360,sparql_P166,
oscar-best-international-feature,award,Q105304,sparql_P166,
oscar-best-actor,award,Q103916,sparql_P166,
oscar-best-actress,award,Q103618,sparql_P166,
oscar-best-original-screenplay,award,Q41417,sparql_P166,
oscar-best-adapted-screenplay,award,Q107258,sparql_P166,
bafta-best-film,award,Q139184,sparql_P166,
bafta-best-director,award,Q787131,sparql_P166,
sight-and-sound-critics,canon,Q4835528,wikidata_list_expand_or_published_ranked,
sight-and-sound-directors,canon,,wikidata_list_expand_or_published_ranked,
tspdt-1000,canon,,wikidata_list_expand_or_published_ranked,
afi-100,canon,Q719345,wikidata_list_expand_or_published_ranked,
1001-movies,canon,Q929091,wikidata_list_expand_or_published_ranked,
criterion-collection,canon,Q1204187,wikidata_list_expand_or_published_ranked,
cahiers-annual-top-ten,canon,,wikidata_list_expand_or_published_ranked,
mubi-top-1000,canon,,wikidata_list_expand_or_published_ranked,
national-film-registry,canon,Q823422,wikidata_list_expand_or_published_ranked,
national-fr-cesar-best-film,national,Q645595,sparql_P166,
national-es-goya-best-film,national,Q1467554,sparql_P166,
national-it-david-best-film,national,Q768476,sparql_P166,
national-de-filmpreis-best-film,national,Q1204831,sparql_P166,
national-se-guldbagge-best-film,national,Q382371,sparql_P166,
national-dk-bodil-best-film,national,Q889845,sparql_P166,
national-dk-robert-best-film,national,Q1505691,sparql_P166,
national-pl-eagles-best-film,national,Q930627,sparql_P166,
national-pl-gdynia-golden-lions,national,,published_ranked_list,
national-ru-nika-best-film,national,Q4377007,sparql_P166,
national-ru-golden-eagle-best-film,national,Q4376991,sparql_P166,
national-jp-japan-academy-best-film,national,Q378567,sparql_P166,
national-jp-kinema-junpo-best-film,national,Q18388323,sparql_P166,
national-kr-blue-dragon-best-film,national,Q97495156,sparql_P166,
national-kr-grand-bell-best-film,national,Q133744498,sparql_P166,
national-kr-baeksang-best-film,national,Q65121855,sparql_P166,
national-kr-kofa-100-korean-films,national,,published_ranked_list,
national-hk-hkfa-best-film,national,Q4722629,sparql_P166,
national-cn-golden-rooster-best-film,national,Q5579757,sparql_P166,
national-tw-golden-horse-best-film,national,Q5579574,sparql_P166,
national-in-nfa-best-feature,national,Q1435633,sparql_P166,
national-in-filmfare-best-film,national,Q1414525,sparql_P166,
national-ir-crystal-simorgh-best-film,national,Q16074086,sparql_P166,
national-mx-ariel-best-picture,national,Q2108656,sparql_P166,
national-br-grande-otelo-best-film,national,Q17105892,sparql_P166,
national-ar-silver-condor-best-film,national,Q6359050,sparql_P166,
national-gb-bfi-100-british,national,Q2555746,sparql_P166,
national-au-aacta-best-film,national,Q3600406,sparql_P166,
national-ca-csa-best-motion-picture,national,Q2620100,sparql_P166,
nyfcc-best-film,award,Q1983066,sparql_P166,
lafca-best-picture,award,Q952914,sparql_P166,
nsfc-best-picture,award,Q1720784,sparql_P166,
nbr-best-film,award,Q1789102,sparql_P166,
nbr-top-ten,canon,Q1966965,wikidata_list_expand_or_published_ranked,
nyfcc-best-first-film,award,Q1983053,sparql_P166,debut
golden-globe-best-picture-drama,award,Q1011509,sparql_P166,
golden-globe-best-picture-musical-comedy,award,Q670282,sparql_P166,
critics-choice-best-picture,award,,NEEDS_QID (then P166) / published,
european-film-awards-best-film,award,Q777921,sparql_P166,
asian-film-awards-best-film,award,Q4806632,sparql_P166,
independent-spirit-best-feature,award,Q2544844,sparql_P166,
gotham-best-feature,award,Q1538768,sparql_P166,
saturn-best-film,award,,NEEDS_QID (then P166) / published,
dga-best-feature,award,Q5280675,sparql_P166,
pga-best-picture,award,Q5569374,sparql_P166,
sag-best-cast,award,Q518675,sparql_P166,
wga-best-original-screenplay,award,Q8038461,sparql_P166,craft
wga-best-adapted-screenplay,award,Q8038458,sparql_P166,craft
bbc-21st-century,canon,,wikidata_list_expand_or_published_ranked,
bbc-foreign-language,canon,,wikidata_list_expand_or_published_ranked,
bbc-greatest-films-by-women,canon,,wikidata_list_expand_or_published_ranked,
guardian-21st-century,canon,,wikidata_list_expand_or_published_ranked,
nyt-best-21st-century,canon,,wikidata_list_expand_or_published_ranked,
time-all-time-100,canon,Q3738538,wikidata_list_expand_or_published_ranked,
cahiers-100-plus-beaux,canon,,wikidata_list_expand_or_published_ranked,
wga-101-screenplays,canon,,wikidata_list_expand_or_published_ranked,craft
national-jp-kinema-junpo-alltime,national,,published_ranked_list,
national-tw-golden-horse-100,national,,published_ranked_list,
national-it-100-da-salvare,national,,published_ranked_list,
national-de-wichtigste,national,,published_ranked_list,
national-es-caiman-100,national,,published_ranked_list,
national-se-flm,national,,published_ranked_list,
national-pl-najlepsze,national,,published_ranked_list,
national-dk-best,national,,published_ranked_list,
national-mx-somos-100,national,,published_ranked_list,
national-br-abraccine-100,national,,published_ranked_list,
national-ar-encuesta,national,,published_ranked_list,
national-ca-tiff-top-ten,national,,published_ranked_list,
national-au-best,national,,published_ranked_list,
national-kr-cine21-21c,national,,published_ranked_list,
national-jp-kinema-junpo-2000s,national,,published_ranked_list,
national-es-caiman-21c-50,national,,published_ranked_list,
national-ro-rfca-decade,national,,published_ranked_list,
national-us-indiewire-decade,national,,published_ranked_list,
berlin-forum,section,,festival_selection (published/festival-edition; in-competition),
nyff-main-slate,section,,festival_selection (published/festival-edition; in-competition),
nyff-currents,section,,festival_selection (published/festival-edition; in-competition),
tiff-wavelengths,section,,festival_selection (published/festival-edition; in-competition),
tiff-platform,section,,festival_selection (published/festival-edition; in-competition),
locarno-concorso-internazionale,section,,festival_selection (published/festival-edition; in-competition),
locarno-cineasti-del-presente,section,,festival_selection (published/festival-edition; in-competition),
sundance-world-cinema-dramatic,section,,festival_selection (published/festival-edition; in-competition),
sundance-next,section,,festival_selection (published/festival-edition; in-competition),
bafici-international-competition,award,,NEEDS_QID (then P166) / published,
fespaco-etalon-yennenga,award,,NEEDS_QID (then P166) / published,
idfa-best-film,award,,NEEDS_QID (then P166) / published,
cph-dox-dox-award,award,,NEEDS_QID (then P166) / published,
annecy-cristal-feature,award,,NEEDS_QID (then P166) / published,
