Wave,Bucket,Film_Title,Film_Director_Name,Year,Country,Why_curated
2,Contemporary curation,Still Walking,Hirokazu Kore-eda,2008,Japan,Kore-eda hub; family/loss
2,Contemporary curation,Nobody Knows,Hirokazu Kore-eda,2004,Japan,Kore-eda; abandonment
2,Popular/genre depth,I Saw the TV Glow,Jane Schoenbrun,2024,USA,Trans allegory; media/horror
2,Popular/genre depth,Howl's Moving Castle,Hayao Miyazaki,2004,Japan,Ghibli gap; Miyazaki hub
2,Popular/genre depth,Kiki's Delivery Service,Hayao Miyazaki,1989,Japan,Ghibli gap; coming-of-age
2,Popular/genre depth,Castle in the Sky,Hayao Miyazaki,1986,Japan,Ghibli gap; tech/nature
2,Popular/genre depth,Porco Rosso,Hayao Miyazaki,1992,Japan,Ghibli gap; fascism/flight
2,Popular/genre depth,The Wind Rises,Hayao Miyazaki,2013,Japan,Ghibli gap; war/creation ethics
2,Popular/genre depth,The Tale of the Princess Kaguya,Isao Takahata,2013,Japan,Takahata is in; form/myth
2,Popular/genre depth,Only Yesterday,Isao Takahata,1991,Japan,Takahata; memory/rural
2,Popular/genre depth,Ponyo,Hayao Miyazaki,2008,Japan,Ghibli gap; childhood/sea
2,Popular/genre depth,Paprika,Satoshi Kon,2006,Japan,Kon is in; dream/media
2,Popular/genre depth,Tokyo Godfathers,Satoshi Kon,2003,Japan,Kon is in; city/family
2,Popular/genre depth,Millennium Actress,Satoshi Kon,2001,Japan,Kon is in; memory/cinema
2,Popular/genre depth,Toy Story 3,Lee Unkrich,2010,USA,Pixar hub; mortality/objects
2,Popular/genre depth,"Monsters, Inc.",Pete Docter,2001,USA,Docter is in; fear/labor
2,Popular/genre depth,Soul,Pete Docter,2020,USA,Docter is in; existential
2,Popular/genre depth,The Iron Giant,Brad Bird,1999,USA,Bird is in; pacifism/Cold War
2,Popular/genre depth,Toy Story 2,John Lasseter,1999,USA,Pixar hub; collecting/identity
2,Popular/genre depth,Pinocchio,Ben Sharpsteen,1940,USA,Disney canon; fairy-tale/ideology
2,Popular/genre depth,Fantasia,James Algar,1940,USA,Music/abstraction; canon
2,Popular/genre depth,Snow White and the Seven Dwarfs,David Hand,1937,USA,Feature-animation origin; gender
2,Popular/genre depth,Aladdin,Ron Clements,1992,USA,Orientalism crit lit; high search
2,Popular/genre depth,Mulan,Tony Bancroft,1998,USA,Gender/nation; high search
2,Popular/genre depth,Moana,Ron Clements,2016,USA,Myth/Pacific; representation
2,Popular/genre depth,Zootopia,Byron Howard,2016,USA,Allegory/race/policing
2,Popular/genre depth,Encanto,Jared Bush,2021,USA,Family/trauma; huge search
2,Popular/genre depth,The Triplets of Belleville,Sylvain Chomet,2003,France,Form/satire; animation crit
2,Popular/genre depth,Wolfwalkers,Tomm Moore,2020,Ireland,Cartoon Saloon; colonial/nature
2,Popular/genre depth,Flee,Jonas Poher Rasmussen,2021,Denmark,Animated doc; refugee/memory
2,Popular/genre depth,Fantastic Planet,Rene Laloux,1973,France,SF allegory; animation canon
2,Popular/genre depth,Watership Down,Martin Rosen,1978,UK,Myth/violence; animation
2,Popular/genre depth,The Act of Killing,Joshua Oppenheimer,2012,Denmark,Doc; perpetrator/performance
2,Popular/genre depth,Sans Soleil,Chris Marker,1983,France,Essay-film canon; memory/image
2,Popular/genre depth,Shoah,Claude Lanzmann,1985,France,Holocaust doc; testimony
2,Popular/genre depth,Night and Fog,Alain Resnais,1956,France,Holocaust essay-film canon
2,Popular/genre depth,Grizzly Man,Werner Herzog,2005,USA,Herzog doc; nature/madness
2,Popular/genre depth,Hoop Dreams,Steve James,1994,USA,Doc; race/class/sport
3,Canon backfill,Yojimbo,Akira Kurosawa,1961,Japan,Genre-template canon
3,Canon backfill,Ran,Akira Kurosawa,1985,Japan,Late Kurosawa Lear; color/war
3,Canon backfill,"The Good, the Bad and the Ugly",Sergio Leone,1966,Italy,Leone (OUaTime in America in); Western myth
3,Canon backfill,Once Upon a Time in the West,Sergio Leone,1968,Italy,Leone; Western elegy canon
3,Canon backfill,Le Samourai,Jean-Pierre Melville,1967,France,Minimalist noir; huge influence
3,Canon backfill,Army of Shadows,Jean-Pierre Melville,1969,France,Resistance/ethics; canon
3,Canon backfill,Le Cercle Rouge,Jean-Pierre Melville,1970,France,Heist/fatalism
3,Canon backfill,Playtime,Jacques Tati,1967,France,Modernity/architecture; form canon
3,Canon backfill,Mon Oncle,Jacques Tati,1958,France,Modernity satire
3,Canon backfill,The Red Shoes,Michael Powell,1948,UK,Art/obsession; Technicolor canon
3,Canon backfill,A Matter of Life and Death,Michael Powell,1946,UK,Powell-Pressburger; afterlife/color
3,Canon backfill,Black Narcissus,Michael Powell,1947,UK,Repression/color; canon
3,Canon backfill,Paths of Glory,Stanley Kubrick,1957,USA,Kubrick; war/class injustice
3,Canon backfill,Lolita,Stanley Kubrick,1962,USA/UK,Kubrick; desire/satire
3,Canon backfill,Ordet,Carl Theodor Dreyer,1955,Denmark,Faith/miracle; Dreyer canon
3,Canon backfill,Wild Strawberries,Ingmar Bergman,1957,Sweden,Memory/aging; Bergman
3,Canon backfill,Cries and Whispers,Ingmar Bergman,1972,Sweden,Death/red; Bergman
3,Canon backfill,Fanny and Alexander,Ingmar Bergman,1982,Sweden,Childhood/theatre; Bergman
3,Canon backfill,Scenes from a Marriage,Ingmar Bergman,1973,Sweden,Marriage; talk-cinema
3,Canon backfill,The Earrings of Madame de...,Max Ophuls,1953,France,Camera movement/objects canon
3,Canon backfill,L'Atalante,Jean Vigo,1934,France,Poetic realism canon
3,Canon backfill,Throne of Blood,Akira Kurosawa,1957,Japan,Macbeth/Noh; Kurosawa
3,Canon backfill,High and Low,Akira Kurosawa,1963,Japan,Class/crime; form
3,Canon backfill,The Hidden Fortress,Akira Kurosawa,1958,Japan,Star Wars source; adventure
3,Canon backfill,Floating Weeds,Yasujiro Ozu,1959,Japan,Ozu color; theatre/family
