theorist,concept,native,one_liner,part,major,sub,era,source,confidence
Aleida Assmann,Cultural vs Communicative Memory,,Long-term institutional memory distinguished from short-term lived recollection,Culture,"14. Memory, Time, Trauma & Resilience",A. Cultural & Public Memory,Contemporary,Web,med
Alfred Sohn-Rethel,Real Abstraction,Realabstraktion,Commodity exchange enacts abstraction in reality before it appears in thought,Critics,VI. Marxist & Materialist,C. Commodity & Political Economy,Modern,Web,high
Alfred Sohn-Rethel,Exchange Abstraction,,Act of market exchange strips commodities of all concrete qualities,Critics,VI. Marxist & Materialist,C. Commodity & Political Economy,Modern,Web,high
Alfred Sohn-Rethel,Intellectual and Manual Labour Division,Kopf- und Handarbeit,Exchange abstraction grounds the social split between thinking and making,Critics,VI. Marxist & Materialist,C. Commodity & Political Economy,Modern,Web,high
Alfred Sohn-Rethel,Commodity Form and Thought Form,,Abstract concepts of science derive from the form of commodity exchange,Critics,VI. Marxist & Materialist,C. Commodity & Political Economy,Modern,Web,high
Alisa Lebow,Cinema of Me,,First-person documentary inscribing the self as site of identity production,Critics,III. Identity-Based & Political,A. Feminist & Gender Criticism,Contemporary,Web,high
Alisa Lebow,First Person Plural,,The self in autobiographical film is always constituted with others,Critics,III. Identity-Based & Political,A. Feminist & Gender Criticism,Contemporary,Web,high
Alisa Lebow,Cinema of Me to Cinema of We,,Personal documentary moves from singular to collective political voice,ART,7. Visual Culture & Media Studies,A. Visual Culture & Spectacle,Contemporary,Web,med
Alisa Lebow,Filming Revolution,,Database documentary form mapping the politics of nonfiction filmmaking,Critics,X. Digital & Media-Specific,C. Platform & Media Studies,Contemporary,Web,med
Alistair Fox,Coming-of-Age Cinema,,National cinema genre staging youth identity formation and cultural change,ART,7. Visual Culture & Media Studies,A. Visual Culture & Spectacle,Contemporary,Web,high
Alistair Fox,Neuropsychoanalysis of Authorship,,Filmmaking as expression of the director's formative emotional experience,Critics,IV. Psychoanalytic & Psychological,B. Object Relations & Post-Freudian,Contemporary,Web,med
Alistair Fox,Personal Cinema,,Auteur films read as projections of the maker's inner psychic life,Critics,IV. Psychoanalytic & Psychological,A. Freudian & Lacanian,Contemporary,Web,med
Allan Sekula,The Body and the Archive,,Photographic archives bind portraiture to policing and eugenic classification,ART,7. Visual Culture & Media Studies,B. Photography & the Image,Modern,Web,high
Allan Sekula,Traffic in Photographs,,Image circulation is an unequal exchange legitimating power and memory,ART,7. Visual Culture & Media Studies,B. Photography & the Image,Modern,Web,high
Allan Sekula,Photography Between Labour and Capital,,Documentary photography mediates and represents the social relations of work,ART,7. Visual Culture & Media Studies,B. Photography & the Image,Modern,Web,high
Allan Sekula,Critical Realism in Documentary,,Photographs are social constructs not transparent reflections of reality,ART,7. Visual Culture & Media Studies,B. Photography & the Image,Modern,Web,med
Allyson Nadia Field,Uplift Cinema,,Early Black filmmaking promoting education and respectability for racial progress,Critics,III. Identity-Based & Political,C. Postcolonial & Critical Race,Contemporary,Web,high
Allyson Nadia Field,Archival Ephemera Method,,Reconstructing lost films through surviving documents and paratexts,History,X. Digital History,C. Archives & Data,Contemporary,Web,high
Allyson Nadia Field,Possibility of Black Modernity,,Early Black cinema as a claim to modern self-representation,Critics,III. Identity-Based & Political,C. Postcolonial & Critical Race,Contemporary,Web,med
Allyson Nadia Field,Speculative Archive,,Speculation as method for film history weighted against non-extant works,History,X. Digital History,C. Archives & Data,Contemporary,Web,med
Alvin K. Wong,Unruly Comparison,,Comparing queer figures across times and places without forcing equivalence,Critics,III. Identity-Based & Political,B. Queer Theory,Contemporary,Web,high
Alvin K. Wong,Queer Sinophone,,Queerness theorized through Sinitic-language cultures beyond China-centrism,Critics,III. Identity-Based & Political,B. Queer Theory,Contemporary,Web,high
Alvin K. Wong,Queer Vernacularism,,Local idioms of queer life linking minor transnational Asian sites,Culture,8. Global & Transnational Culture,B. Diaspora & Deterritorialization,Contemporary,Web,med
Alvin K. Wong,Hong Kong as Undefinable Time-Space,,Hong Kong troubles colonial and China-centric framings of the city,Culture,8. Global & Transnational Culture,B. Diaspora & Deterritorialization,Contemporary,Web,med
Amy Herzog,Musical Moment,,The instant when music dominates film and asserts its own logic,ART,4. Music & Sound Studies,A. Sociology & Politics of Music,Contemporary,Web,high
Amy Herzog,Difference and Repetition in Film,,Musical sequences fuse cliché repetition with productive sensory difference,Critics,II. Post-Structuralist & Deconstructive,A. Deconstruction,Contemporary,Web,high
Amy Herzog,Cinematic Refrain,,Deleuzian refrain as repetition that territorializes filmic space and time,ART,7. Visual Culture & Media Studies,A. Visual Culture & Spectacle,Contemporary,Web,med
Anatoly Detwyler,Aesthetics of Information,,Modern Chinese writers made information newly perceptible as abstraction,Critics,X. Digital & Media-Specific,B. Computational & Cultural Analytics,Contemporary,Web,high
Anatoly Detwyler,Literary Information,,Literature as a long historical practice of organizing and storing information,Critics,V. Historical & Cultural Materialist,C. Memory & Book History,Contemporary,Web,med
Anatoly Detwyler,Perceptibility of Abstraction,,New media made the abstraction underlying modern reality visible to writers,Culture,"7. Media & Communication",B. Media Archaeology & Materiality,Contemporary,Web,med
Andreas Kratky,Database Narrative,,Storytelling structured by selection from a database rather than fixed sequence,Critics,X. Digital & Media-Specific,C. Platform & Media Studies,Contemporary,Web,high
Andreas Kratky,Poetics of the Database,,Aesthetic principles for meaning generated from data retrieval and recombination,ART,"11. Digital, New Media & AI Arts",B. Interactive & Immersive Media,Contemporary,Web,high
Andreas Kratky,Soft Cinema,,Algorithmic system generating film from variable media databases,ART,"11. Digital, New Media & AI Arts",A. Algorithmic & Generative Art,Contemporary,Web,med
Andreas Kratky,Layered Interactive Media,,Interfaces that stratify archives of place and memory for exploration,ART,"11. Digital, New Media & AI Arts",B. Interactive & Immersive Media,Contemporary,Web,med
Andrew Higson,Heritage Film,,Costume drama reinventing and inventing a national past for the screen,ART,7. Visual Culture & Media Studies,A. Visual Culture & Spectacle,Contemporary,Web,high
Andrew Higson,Concept of National Cinema,,National cinema is a constructed and contested critical category not a given,Culture,8. Global & Transnational Culture,A. Hybridization & World Culture,Contemporary,Web,high
Andrew Higson,Culturally English Filmmaking,,Englishness produced and circulated through contemporary film culture,Culture,8. Global & Transnational Culture,A. Hybridization & World Culture,Contemporary,Web,med
Andrew Higson,Transnational Cinema,,National film cultures reframed by cross-border production and circulation,Culture,8. Global & Transnational Culture,A. Hybridization & World Culture,Contemporary,Web,med
Ann Laura Stoler,Ruination,,Imperial power as an ongoing process corroding present bodies and landscapes,History,VI. Postcolonial & Decolonial History,A. Empire & Imperialism,Contemporary,Web,high
Ann Laura Stoler,Along the Archival Grain,,Reading colonial archives for their anxieties and epistemic uncertainties,History,VI. Postcolonial & Decolonial History,A. Empire & Imperialism,Contemporary,Web,high
Ann Laura Stoler,Carnal Knowledge and Imperial Power,,Race and empire governed through the intimate and the domestic,History,"XI. Gender, Body & Emotions History",A. Gender & Sexuality,Contemporary,Web,high
Ann Laura Stoler,Colonial Common Sense,,Tacit racial categories naturalized as self-evident knowledge in empire,History,VI. Postcolonial & Decolonial History,A. Empire & Imperialism,Contemporary,Web,high
Ann Laura Stoler,Imperial Durabilities,,Colonial structures persisting as durable traces in postcolonial presents,History,VI. Postcolonial & Decolonial History,A. Empire & Imperialism,Contemporary,Web,med
Anne Friedberg,Mobilized Virtual Gaze,,Modern spectatorship combines spatial mobility with temporal displacement of vision,ART,7. Visual Culture & Media Studies,A. Visual Culture & Spectacle,Contemporary,Web,high
Anne Friedberg,The Virtual Window,,The framed screen as a recurring metaphor structuring mediated vision,Culture,"7. Media & Communication",C. Visual & Sound Culture,Contemporary,Web,high
Anne Friedberg,Flâneuse,,The female window-shopper gaining a consumer gaze in modern public space,Culture,9. Identity & Difference,"A. Gender, Race & Sexuality",Contemporary,Web,high
Anne Friedberg,Window Shopping Spectatorship,,Cinema viewing modeled on the consumerist browsing of the shop window,ART,7. Visual Culture & Media Studies,A. Visual Culture & Spectacle,Contemporary,Web,med
Antonio Negri,Multitude,moltitudine,Plural networked singularities as the creative political subject against Empire,Politics,3. Radical & Critical Traditions,C. Critical Theory & Neo-Marxism,Contemporary,Web,high
Antonio Negri,Empire,Impero,Decentered global sovereignty replacing nation-state imperialism,Politics,10. International Relations & Security,A. International Relations,Contemporary,Web,high
Antonio Negri,Immaterial Labour,lavoro immateriale,Cognitive affective communicative work producing relations and subjectivities,Economics,"XIII. Platform, Digital & Data Economy",Gig & Automation Economy,Contemporary,Web,high
Antonio Negri,Constituent Power,potere costituente,The multitude's immanent capacity to found and create new social order,Politics,3. Radical & Critical Traditions,C. Critical Theory & Neo-Marxism,Contemporary,Web,high
Antonio Negri,Biopolitical Production,,Production of life subjectivity and society itself as the new economic terrain,Politics,3. Radical & Critical Traditions,D. Post-Structuralism & Postmodern Politics,Contemporary,Web,high
Anup Grewal,Proletarian Woman,,1930s Shanghai figure of working-class womanhood against New Woman and Modern Girl,Culture,9. Identity & Difference,"A. Gender, Race & Sexuality",Contemporary,Web,high
Anup Grewal,Transnational Socialist Imaginary,,Global socialist visions of femininity circulating into Chinese leftist culture,Culture,8. Global & Transnational Culture,A. Hybridization & World Culture,Contemporary,Web,high
Anup Grewal,Revolutionary Women's Culture,,Leftist women rewriting femininity and experience in early-century China,Culture,9. Identity & Difference,"A. Gender, Race & Sexuality",Contemporary,Web,med
Athena Athanasiou,Dispossession,,Condition of those stripped of land citizenship and belonging to the world,Politics,"6. Postcolonial, Feminist & Environmental Politics",B. Feminism & Gender in Politics,Contemporary,Web,high
Athena Athanasiou,Agonistic Mourning,,Dissident grief refiguring political life beyond sovereign subjectivity,Politics,3. Radical & Critical Traditions,D. Post-Structuralism & Postmodern Politics,Contemporary,Web,high
Athena Athanasiou,The Performative in the Political,,Critical agency enacted through reworking and resisting regulatory norms,Culture,4. Post-Structuralism & Postmodernism,B. Performativity & Discourse,Contemporary,Web,high
Athena Athanasiou,Double Sense of Dispossession,,Being dispossessed both as injury and as relational openness to others,Politics,3. Radical & Critical Traditions,D. Post-Structuralism & Postmodern Politics,Contemporary,Web,med
Barbara Creed,Monstrous-Feminine,,Female monstrosity in horror expressing patriarchal fears of woman's body,Critics,III. Identity-Based & Political,A. Feminist & Gender Criticism,Contemporary,Web,high
Barbara Creed,Imaginary Abjection,,Horror works by confronting the spectator with the abject border of life,Critics,IV. Psychoanalytic & Psychological,A. Freudian & Lacanian,Contemporary,Web,high
Barbara Creed,Femme Castratrice,,Woman as castrating threat rather than castrated victim in horror,Critics,III. Identity-Based & Political,A. Feminist & Gender Criticism,Contemporary,Web,high
Barbara Creed,Archaic Mother,,The all-engulfing maternal figure as primal source of cinematic horror,Critics,IV. Psychoanalytic & Psychological,A. Freudian & Lacanian,Contemporary,Web,high
Barbara Creed,Radical Abjection,,Monstrous-feminine reclaimed as nonhuman figure challenging anthropocentrism,Critics,XVI. Post-Humanist & Non-Human,A. Posthumanism & Cyborg Theory,Contemporary,Web,med
